year,nos_DET oies_NOUN
1800,1.8864987794131594e-08
1801,2.1430643926123594e-08
1802,8.951360541686881e-09
1803,5.070882025393075e-08
1804,1.4831105232815389e-08
1805,3.41145314219915e-08
1806,5.76333825108577e-09
1807,8.540865792383556e-09
1808,4.5321479902327155e-09
1809,4.0662548883574345e-08
1810,0.0
1811,5.0141535368197765e-09
1812,8.00162425207418e-09
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,9.270415546325239e-09
1817,2.8023721676539992e-08
1818,4.172412104708201e-08
1819,7.24573512300708e-09
1820,1.6613073583471305e-08
1821,8.875339574387908e-09
1822,1.2030739071633434e-08
1823,5.929612023614084e-09
1824,1.1789557774477544e-08
1825,3.25801385869795e-08
1826,1.7615968683770689e-09
1827,7.373818444733615e-09
1828,3.485474309172787e-08
1829,2.5719527840806222e-08
1830,6.262101504006523e-09
1831,1.5591206548037917e-08
1832,1.352996914505411e-08
1833,2.3167257445777523e-08
1834,1.8669062296083894e-08
1835,1.5882484660778573e-08
1836,2.8899224790990274e-08
1837,2.574419688539109e-08
1838,1.325553999897977e-08
1839,8.389769878824893e-09
1840,1.2102408852854296e-08
1841,3.017657901338566e-08
1842,1.408735617047796e-08
1843,6.497602123012314e-09
1844,6.037417454862748e-09
1845,5.5802281129224696e-09
1846,3.5127007969038004e-09
1847,2.3730184928183462e-08
1848,2.011305477722658e-08
1849,2.011059585527164e-08
1850,5.431196825611551e-09
1851,1.2898877521649865e-08
1852,1.6276363812295358e-08
1853,1.5527023222716707e-08
1854,8.832629738719788e-09
1855,9.021793090369101e-09
1856,8.28350277259915e-09
1857,3.417056471111124e-09
1858,9.29798454896158e-09
1859,1.171199848215565e-08
1860,1.830873536112776e-09
1861,1.1789909493131745e-08
1862,3.162590467287174e-09
1863,3.496234635136375e-09
1864,7.192092144059359e-09
1865,1.0355057922240007e-08
1866,2.919367858567057e-09
1867,5.82337378318698e-09
1868,1.2843672791973404e-08
1869,1.0255390092694938e-08
1870,4.587239033071455e-09
1871,0.0
1872,5.442605477412599e-09
1873,1.1373408437265198e-08
1874,5.974609251779839e-09
1875,2.8607636259891933e-09
1876,1.209202959984168e-09
1877,1.2988113695655557e-08
1878,4.831270938865373e-09
1879,6.720257905712401e-09
1880,1.7328185109022343e-08
1881,2.091752326904839e-09
1882,3.9932310791357395e-09
1883,6.319338829996468e-09
1884,8.582206056928499e-09
1885,3.86738152613475e-09
1886,1.0970888419947755e-08
1887,1.1752063988623718e-08
1888,8.87686035788704e-09
1889,8.14467782106476e-09
1890,9.176141124722648e-09
1891,7.649064048820264e-09
1892,7.522214851007902e-09
1893,6.158416665513755e-09
1894,3.150769645188234e-09
1895,1.083350631425617e-08
1896,2.9485144326102386e-09
1897,6.992056267307589e-09
1898,5.658354784721098e-09
1899,4.4220627160029835e-09
1900,4.671947717582725e-09
1901,3.912117296778206e-09
1902,6.8743973291596205e-09
1903,2.214090244478939e-08
1904,3.7622376325430196e-09
1905,1.9094808956232612e-08
1906,8.745113411201544e-09
1907,1.1314255032868203e-08
1908,1.964555629285769e-09
1909,5.500983391026892e-09
1910,4.275320542035388e-09
1911,2.128149656499545e-09
1912,1.0418842455450772e-09
1913,3.71209285532359e-09
1914,6.696743715117748e-10
1915,4.712304768617059e-09
1916,0.0
1917,7.676497215669542e-09
1918,0.0
1919,5.524709134618888e-09
1920,9.086678076641874e-09
1921,4.543648568500203e-09
1922,3.6889677978990676e-09
1923,6.369568872344189e-09
1924,3.867487219366694e-09
1925,5.499088961968823e-09
1926,1.1146138456652466e-09
1927,7.804457635707251e-09
1928,9.14083297942625e-09
1929,3.342121912552898e-09
1930,4.201441416995522e-09
1931,0.0
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,1.196828414151696e-09
1936,0.0
1937,5.036447148221157e-09
1938,0.0
1939,3.058810094103137e-09
1940,0.0
1941,5.9030051957620344e-09
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,0.0
1945,4.357008087652048e-09
1946,0.0
1947,1.1920870957027319e-09
1948,1.4133454406817236e-08
1949,2.945102384188658e-09
1950,1.0635361480382244e-09
1951,4.264560815592233e-09
1952,2.1089607837865287e-09
1953,6.464296431474281e-09
1954,4.886268056836229e-09
1955,1.8771215692936494e-09
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,8.272243445794913e-10
1959,3.8753740216890264e-09
1960,6.228750015768725e-09
1961,4.86371165564492e-09
1962,2.5367825617905737e-09
1963,2.5864212993553792e-09
1964,1.2167936658258327e-09
1965,1.6416130677043839e-09
1966,1.6617224263271169e-09
1967,1.9721342336964653e-09
1968,1.1228539820162808e-08
1969,4.995933444718048e-09
1970,2.7592350626548523e-09
1971,6.166076982339064e-09
1972,4.104117490300041e-09
1973,2.205281512956958e-09
1974,2.2502286700643026e-09
1975,2.2845920710778955e-09
1976,3.4281161798155324e-09
1977,7.052138428775834e-09
1978,2.3762365408686037e-09
1979,2.9259866751729646e-09
1980,2.8425752862659692e-09
1981,5.692994575756671e-09
1982,2.483000915987077e-09
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,2.4062232206745193e-09
1986,2.3977942409381114e-09
1987,2.4443267410134695e-09
1988,4.797243047249822e-09
1989,5.488122178931576e-10
1990,3.8140557934163155e-09
1991,5.861465035561508e-09
1992,1.65298330578878e-09
1993,2.2156829704300662e-09
1994,1.5824779264761446e-09
1995,3.795715575183323e-09
1996,2.6690460952494277e-09
1997,1.438468344439059e-09
1998,5.2449422582867555e-09
1999,3.1991408688814005e-09
2000,2.6508188977203417e-09
2001,6.1336963841363e-09
2002,4.819343757400674e-09
2003,4.583615376141381e-09
2004,6.607187019724847e-09
2005,5.854874363109275e-09
2006,1.2353669753828456e-09
2007,1.1983438685803094e-09
2008,8.514879357157668e-10
2009,5.245011536203492e-09
2010,2.3618964561933353e-09
2011,5.353560705856353e-09
2012,7.489356135259584e-09
2013,9.761937924679387e-09
2014,6.71287994635783e-09
2015,5.098123256885856e-09
