year,nos_DET airs_NOUN,nos_DET mers_NOUN
1800,3.772997558826319e-08,4.0245306465180875e-07
1801,6.191074786165984e-08,2.7383600809116615e-07
1802,4.475680270843441e-09,7.452007366737234e-07
1803,7.021221204439598e-08,7.411289135728083e-07
1804,8.404293261321527e-08,3.6089022614760324e-07
1805,1.8762992382015398e-07,4.0937438239296853e-07
1806,1.2391177506287931e-07,3.803803281243745e-07
1807,3.131650672116848e-08,3.387876574834081e-07
1808,7.478043961839376e-08,3.172503681980743e-07
1809,1.8072244145628247e-08,3.546677840304824e-07
1810,6.786367467981336e-08,1.1887843625046912e-06
1811,4.763445815569867e-08,2.9583506044872365e-07
1812,2.9339290108509886e-08,4.2942053823935566e-07
1813,5.463909147351842e-08,2.5881674936556465e-07
1814,3.461344899591268e-08,4.688549068987413e-07
1815,8.091670444798638e-09,3.506390644503199e-07
1816,9.270415546325239e-09,1.049874608582968e-06
1817,8.095742032310227e-08,1.3529230358244604e-06
1818,3.099506074022429e-08,6.044037004215852e-07
1819,1.0040518816367694e-07,6.117470343625087e-07
1820,5.93324074316115e-08,3.1327510008338777e-07
1821,5.719663320746804e-08,4.546146019634989e-07
1822,5.413832582235045e-08,5.634396273990205e-07
1823,2.8659792761231984e-08,5.178528024174511e-07
1824,3.621078548121659e-08,8.277953789104231e-07
1825,6.95629991387392e-08,5.890841521249968e-07
1826,4.4039921931471326e-08,5.742805857522626e-07
1827,3.3182182335167454e-08,4.949675709298162e-07
1828,4.769596628761974e-08,7.888178892301312e-07
1829,3.172075158097698e-08,7.964480346345226e-07
1830,9.706257486641334e-08,1.1397024337611583e-06
1831,5.1450980143030733e-08,3.897801619245911e-07
1832,3.111892965534935e-08,2.584224034762883e-07
1833,3.8225973497674204e-08,4.980960248701649e-07
1834,8.681113605746305e-08,6.50616826192163e-07
1835,5.52105419160398e-08,4.0991936600676127e-07
1836,3.1587525484155776e-08,6.89548976140486e-07
1837,1.8090515530033713e-08,4.2651872433907556e-07
1838,4.86036455527028e-08,4.595253941808153e-07
1839,5.593180230079042e-08,4.5654331870537135e-07
1840,4.58617570586739e-08,2.649790387110329e-07
1841,5.3290552415319326e-08,4.5329071696187384e-07
1842,1.8783141708667017e-08,2.5155995331260783e-07
1843,3.839492035417891e-08,2.3804851556619155e-07
1844,4.390849023261367e-08,2.727815058278793e-07
1845,1.7298706467272496e-08,3.9898630710411e-07
1846,4.5665111247927825e-08,4.156696045143349e-07
1847,2.6426796750911308e-08,2.8368356819186147e-07
1848,2.172209789819135e-08,3.258314679732699e-07
1849,2.1786478399121734e-08,3.5780100748894483e-07
1850,2.308258650884909e-08,2.71559852826897e-07
1851,1.1608989325395669e-08,3.057034110298673e-07
1852,3.8412219849348617e-08,5.384220997939337e-07
1853,3.1054046445433414e-08,6.109286005973047e-07
1854,3.273268500691984e-08,4.5773804568938203e-07
1855,3.980202833986368e-08,4.0120444211311224e-07
1856,5.539592606851329e-08,2.0242810361281727e-07
1857,3.954022459451423e-08,4.0760601871525637e-07
1858,4.9426128856389084e-08,2.5887544813363306e-07
1859,4.277425569298998e-08,2.174358089135353e-07
1860,1.51047069019139e-08,2.563222896156958e-07
1861,5.470517772110384e-08,3.4190737263628534e-07
1862,3.343309987191567e-08,2.457784522569284e-07
1863,1.9978482868054925e-08,2.452358967008905e-07
1864,2.4453112201783256e-08,2.790531548058084e-07
1865,2.8241066374334878e-08,2.9229503328842554e-07
1866,3.2113044667880786e-08,2.6614903081423336e-07
1867,1.8925964795357686e-08,3.2659421833614033e-07
1868,2.7663294210888978e-08,3.3344150296432673e-07
1869,4.102156014873515e-08,2.7982563766126844e-07
1870,1.3188312220080434e-08,3.618184862830276e-07
1871,1.6993883855676017e-08,2.963308531889197e-07
1872,3.4469832321804006e-08,2.4068410720001765e-07
1873,2.7535620894525437e-08,3.615546620983068e-07
1874,2.509335778055899e-08,2.3181483799206148e-07
1875,1.94531928343622e-08,3.095346179371461e-07
1876,3.0834675479596285e-08,2.2551635137091353e-07
1877,3.834585893258691e-08,3.3459855008910466e-07
1878,5.4955707762260886e-08,2.9349971208958436e-07
1879,4.4598075343849075e-08,3.219614308491714e-07
1880,2.3104245627791897e-08,2.239828360561802e-07
1881,4.671580100534811e-08,2.830838164435967e-07
1882,1.3976308999019693e-08,2.7686403170079643e-07
1883,3.6652167523243406e-08,2.4771809359336316e-07
1884,2.772712726084592e-08,2.647280341605551e-07
1885,2.707166935067562e-08,1.9401363404725203e-07
1886,2.774989482645651e-08,2.06510845535135e-07
1887,2.3504128421336645e-08,1.8476857299720706e-07
1888,2.346027505595316e-08,1.813415764218007e-07
1889,4.322944491264025e-08,2.2053281156786397e-07
1890,1.7696843102044113e-08,2.320252860954497e-07
1891,1.9122660899206778e-08,1.861272262981828e-07
