year,trois_DET yeux_NOUN
1800,2.5782149615238836e-07
1801,2.762171789072454e-07
1802,4.72184268573983e-07
1803,3.0815360219094146e-07
1804,3.856087573694822e-07
1805,3.212451815670647e-07
1806,1.9595350408962986e-07
1807,1.2241907221266501e-07
1808,2.4246992325061e-07
1809,4.563241589039535e-07
1810,1.2168659679900884e-07
1811,1.554387605295915e-07
1812,7.734903562095496e-08
1813,7.189354045422647e-08
1814,1.258670891957081e-07
1815,7.821948599939788e-08
1816,3.036061002603674e-07
1817,3.191590565165825e-07
1818,1.40669895287715e-07
1819,2.8775919302947983e-07
1820,9.611849804969097e-08
1821,1.3904698903388635e-07
1822,8.922798144794797e-08
1823,1.7097048043979157e-07
1824,1.1368501873221248e-07
1825,2.791325584006188e-07
1826,1.9994124755839948e-07
1827,2.1752765011484598e-07
1828,1.5042573409118631e-07
1829,3.086343269842473e-07
1830,1.0228098834552668e-07
1831,1.6058942886587602e-07
1832,1.6506562872109498e-07
1833,1.01935931695607e-07
1834,1.5308630452182115e-07
1835,1.1571524538567246e-07
1836,2.3522625269833952e-07
1837,1.1202204319715747e-07
1838,1.098316162462254e-07
1839,1.2934228710292928e-07
1840,1.0573683084658114e-07
1841,1.695024760550723e-07
1842,1.006239744860693e-07
1843,1.3408687715710244e-07
1844,9.714753379519436e-08
1845,1.0769840291802169e-07
1846,1.3172628143820475e-07
1847,6.364003724002032e-08
1848,1.0136979256003542e-07
1849,1.4077416565783096e-07
1850,1.3849552260580822e-07
1851,1.1351012574323249e-07
1852,1.7643578109627356e-07
1853,6.628844650968801e-08
1854,8.93654285016865e-08
1855,1.0613874223963649e-07
1856,4.2970672353703776e-08
1857,1.2838368945722323e-07
1858,1.0766087399360913e-07
1859,5.906921174414492e-08
1860,1.1351416162597161e-07
1861,1.1176834391335433e-07
1862,9.532951142365853e-08
1863,1.1537574096109893e-07
1864,1.5055445867773187e-07
1865,1.76506665949816e-07
1866,1.5229368166558288e-07
1867,1.033648846515689e-07
1868,9.08936854671083e-08
1869,9.474027340417024e-08
1870,8.601073187008978e-08
1871,9.134212231032279e-08
1872,8.103434889772387e-08
1873,6.644464889404844e-08
1874,1.212845596176848e-07
1875,1.0527610072585958e-07
1876,4.800535764459823e-07
1877,1.1380061371024652e-07
1878,1.1474268291067347e-07
1879,5.6205792020591616e-08
1880,5.134277003548959e-08
1881,7.73948323762319e-08
1882,1.1047939252328831e-07
1883,9.731781713817611e-08
1884,1.0034579389639475e-07
1885,5.0920522909336796e-08
1886,1.0712750331265397e-07
1887,9.075205298358924e-08
1888,1.0335201650057968e-07
1889,1.0776034886639252e-07
1890,1.3370947726798477e-07
1891,1.121862709396737e-07
1892,1.0656471260972467e-07
1893,1.5519209761727382e-07
1894,9.578339987825757e-08
1895,9.930713673611535e-08
1896,1.7691087350613088e-07
1897,9.497543163039524e-08
1898,9.053367666655987e-08
1899,9.949641111006713e-08
1900,7.111743072218957e-08
1901,8.49488341891913e-08
1902,9.722362009911834e-08
1903,1.1988488779479667e-07
1904,1.0319280363546568e-07
1905,1.0785986082062493e-07
1906,7.716276628766394e-08
1907,6.068555080673832e-08
1908,5.107844458507316e-08
1909,6.766209936781564e-08
1910,4.649411167179096e-08
1911,5.799207669632267e-08
1912,9.116487242888383e-08
1913,5.302989691813309e-08
1914,5.893134513712539e-08
1915,4.2410743361642744e-08
1916,5.7134801778602196e-08
1917,4.1672411299487067e-08
1918,8.155327435588333e-08
1919,4.235610262526279e-08
1920,8.329454770361622e-08
1921,6.209653236055601e-08
1922,7.525494538640487e-08
1923,4.352538596208433e-08
1924,5.1566498626698376e-08
1925,6.488924952918751e-08
1926,9.808601930672012e-08
1927,8.696395203955376e-08
1928,7.198406271058388e-08
1929,5.01318300205611e-08
1930,4.516549678701409e-08
1931,1.0150767337790967e-07
1932,7.781270738860258e-08
1933,4.3588517684156614e-08
1934,4.193553060360955e-08
1935,4.547948151412129e-08
1936,6.062357016389797e-08
1937,4.406891207509034e-08
1938,1.2446605524019105e-07
1939,5.6587985852729616e-08
1940,5.0715659227762444e-08
1941,2.9515025090631752e-08
1942,4.2478965012193726e-08
1943,2.322588166236983e-08
1944,7.069009200222354e-08
1945,9.803267886354661e-08
1946,7.79581839083221e-08
1947,6.914105199484766e-08
1948,6.523132767277673e-08
1949,4.712163892417465e-08
1950,6.912984962248458e-08
1951,7.78282311930667e-08
1952,5.272401781830638e-08
1953,4.7404840164411155e-08
1954,5.863521534976712e-08
1955,3.941955295516664e-08
1956,5.05826207586324e-08
1957,7.774833293838768e-08
1958,3.3088973339090444e-08
1959,4.107896245386655e-08
1960,5.6058749753340464e-08
1961,4.863711566827078e-08
1962,3.1709782577493684e-08
1963,5.43148490628198e-08
1964,2.6161064425878067e-08
1965,5.143720827049947e-08
1966,5.871419106462383e-08
1967,5.2261556859889424e-08
1968,3.638046830456432e-08
1969,4.9050982775522556e-08
1970,4.184839710874577e-08
1971,4.316254043068568e-08
1972,5.7970657940664694e-08
1973,3.638714418663369e-08
1974,3.544110260822464e-08
1975,4.1693804408993174e-08
1976,5.313579964916215e-08
1977,6.17062094754317e-08
1978,5.8217794141057766e-08
1979,4.7986181250792015e-08
1980,5.344041487109763e-08
1981,6.135782992799932e-08
1982,1.030445382355083e-07
1983,3.2839641672666176e-08
1984,3.1314647153113384e-08
1985,4.3913573222198465e-08
1986,3.296967077126567e-08
1987,3.360949141217873e-08
1988,2.6984492806914062e-08
1989,2.9635860432364325e-08
1990,3.05124451260852e-08
1991,3.985796181993351e-08
1992,2.9202704032726956e-08
1993,3.711268847794713e-08
1994,2.6374632144943178e-08
1995,3.958389216407454e-08
1996,4.911044904076789e-08
1997,5.753873311142854e-08
1998,3.909866108653404e-08
1999,4.021777011420369e-08
2000,4.0204085394179856e-08
2001,3.2859090004500047e-08
2002,3.066855125410939e-08
2003,2.9168461090911535e-08
2004,3.4797851933277e-08
2005,2.8823997633153908e-08
2006,3.9531742102028034e-08
2007,3.7947554432093966e-08
2008,5.06635322028437e-08
2009,4.958920318820503e-08
2010,4.7237929123866707e-08
2011,4.7417253901116396e-08
2012,7.114888056491964e-08
2013,7.16805113043506e-08
2014,7.081005981568467e-08
2015,5.319781037904647e-08
2016,9.30031680557164e-08
2017,7.370740862100433e-08
2018,8.209064339403938e-08
2019,8.826417641216722e-08
