year,tes_DET auteurs_NOUN
1800,2.515331631869344e-08
1801,2.3811825844433088e-08
1802,1.7902721083373763e-08
1803,1.1702035340732664e-08
1804,1.9774808235339947e-08
1805,3.695740957709859e-08
1806,3.458002950651462e-08
1807,2.8469550272802735e-08
1808,1.8128591960930862e-08
1809,2.7108365552308555e-08
1810,1.6380887313260928e-08
1811,2.0056613703189896e-08
1812,2.6672081432366213e-08
1813,8.627224934443234e-09
1814,2.5173417128598885e-08
1815,2.1577788000826104e-08
1816,2.0858434979231788e-08
1817,1.0898113744772786e-08
1818,2.3842355423298045e-08
1819,2.587762470973587e-08
1820,2.1359666035891678e-08
1821,2.8598316381689415e-08
1822,4.3110148340019805e-08
1823,1.976537300496517e-08
1824,1.0105335235266466e-08
1825,1.3208164340028361e-08
1826,1.145037931138404e-08
1827,8.295545916858771e-09
1828,1.559291185060374e-08
1829,2.8291480991260443e-08
1830,1.5655253093882493e-08
1831,1.091384405071949e-08
1832,2.4353944860777688e-08
1833,1.853380560135065e-08
1834,3.4537763093922536e-08
1835,2.949604294144592e-08
1836,1.142527511488467e-08
1837,2.087367334535628e-08
1838,1.3886755967362774e-08
1839,1.25846553178377e-08
1840,1.719815967415883e-08
1841,2.632424900284036e-08
1842,1.7441489585934278e-08
1843,1.417658640479047e-08
1844,1.0428266361550698e-08
1845,1.4508592383055685e-08
1846,1.6978054739880122e-08
1847,1.5640348571821505e-08
1848,5.631655086713039e-09
1849,1.1731181359664333e-08
1850,2.511928531845342e-08
1851,2.1283147910722278e-08
1852,2.864639925270751e-08
1853,1.074947753032518e-08
1854,1.506742641765868e-08
1855,1.8574279891936385e-08
1856,1.9673318973900678e-08
1857,1.7573431820849805e-08
1858,9.787352261980686e-09
1859,1.2221215595076274e-08
1860,1.0527523019998597e-08
1861,1.7920662287451705e-08
1862,9.487771512883825e-09
1863,2.3474717281146695e-08
1864,1.7261021389991527e-08
1865,5.177528628053096e-09
1866,1.216403244796993e-08
1867,1.067618526917613e-08
1868,1.1361710683388537e-08
1869,8.30198221279943e-09
1870,7.454262984651905e-09
1871,9.559059765962274e-09
1872,4.8378714367913744e-09
1873,7.781805422268917e-09
1874,1.0754296619897019e-08
1875,1.1443054503956773e-08
1876,1.9951848173604958e-08
1877,9.277224100046055e-09
1878,1.2078177569208037e-08
1879,9.163987790827832e-09
1880,7.059631101924424e-09
1881,8.367008919041297e-09
1882,1.9966155395678697e-09
1883,1.2638677937548692e-08
1884,9.242375753615306e-09
1885,1.0957580620640783e-08
1886,1.6133659241912568e-08
1887,2.676859051087277e-08
1888,5.706553229956057e-09
1889,9.397705447167226e-09
1890,7.865263662587552e-09
1891,5.099376032546843e-09
1892,6.268512375839919e-09
1893,1.1700991342511458e-08
1894,1.8904617871129403e-09
1895,3.611168697403855e-09
1896,1.1204355165883584e-08
1897,7.574727622916555e-09
1898,7.921696743018458e-09
1899,6.633094074004475e-09
1900,7.786579381274805e-09
1901,5.029864968975062e-09
1902,1.1293652957267142e-08
1903,5.400220270956879e-09
1904,3.7622376325430196e-09
1905,7.225062881310862e-09
1906,5.658603086100555e-09
1907,1.3371392937333582e-08
1908,1.0313916609661078e-08
1909,1.1552065692921332e-08
1910,1.1222716866932103e-08
1911,1.755723522123276e-08
1912,1.5628264071754217e-08
1913,7.95448479307126e-09
1914,8.705767051697677e-09
1915,2.3561523843085297e-09
1916,1.648119329900055e-08
1917,1.4256351654751143e-08
1918,1.378365155346728e-08
1919,4.603924352863942e-09
1920,6.815008557481406e-09
1921,9.087297137000405e-09
1922,6.640141769764796e-09
1923,1.9108707505210987e-08
1924,1.1602462102189293e-08
1925,1.759708534443405e-08
1926,1.3375366481049866e-08
1927,1.4493992672726108e-08
1928,2.399468712610542e-08
1929,1.8938690837799754e-08
1930,2.10072066408884e-08
1931,1.710803587684495e-08
1932,2.1919073223131136e-08
1933,1.261772819560747e-08
1934,1.4377896206951846e-08
1935,9.574627313213568e-09
1936,1.091224310911798e-08
1937,2.266401277761787e-08
1938,1.4261735903353667e-08
1939,1.070583532936098e-08
1940,1.5214697723919812e-08
1941,1.1806010835613279e-08
1942,2.730790527039062e-08
1943,8.709705845433291e-09
1944,2.5705489292704442e-08
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,1.3112958274774655e-08
1948,1.6307831973705333e-08
1949,1.5707213196769487e-08
1950,9.57182533234402e-09
1951,6.396841278899501e-09
1952,5.272402070488624e-09
1953,1.2928593307037772e-08
1954,7.818028668893362e-09
1955,8.447047061821422e-09
1956,3.139611037816792e-08
1957,4.417518795207798e-09
1958,7.445019101215422e-09
1959,1.007597205671118e-08
1960,1.314958320008941e-08
1961,7.64297514166401e-09
1962,2.5367825617905737e-09
1963,4.526237162849611e-09
1964,5.475571385193945e-09
1965,4.924839036579698e-09
1966,1.0524242033405073e-08
1967,1.9228309167118596e-08
1968,6.737123692257541e-09
1969,9.083515634111805e-09
1970,1.2416557448879928e-08
1971,5.138397374260251e-09
1972,1.1799338117679525e-08
1973,6.615844427848572e-09
1974,6.18812873165453e-09
1975,1.0851811893530794e-08
1976,6.2848797277581525e-09
1977,1.2341241639735046e-08
1978,1.009900552073617e-08
1979,1.1118749698724173e-08
1980,7.3906957220870595e-09
1981,9.488323904349727e-09
1982,9.9320033308814e-09
1983,1.6419821946556112e-08
1984,1.275781880138993e-08
1985,1.2031115659283387e-08
1986,8.991728306373403e-09
1987,6.110816741511371e-09
1988,1.2592763221075387e-08
1989,1.5915554429923873e-08
1990,8.172976295739431e-09
1991,9.37834432335194e-09
1992,1.0468893973936133e-08
1993,9.970573700002205e-09
1994,1.16048384235512e-08
1995,2.006306737412089e-08
1996,1.2277611816102763e-08
1997,1.1507746977557076e-08
1998,1.4781200374791581e-08
1999,1.325358303660984e-08
2000,1.2370488078339292e-08
2001,1.2705514140787244e-08
2002,1.0514931481075962e-08
2003,1.3334153559085848e-08
2004,1.982156075386321e-08
2005,1.981649788707074e-08
2006,2.2648394271129746e-08
2007,2.0371846126687743e-08
2008,1.3198063170127838e-08
2009,8.105927484791664e-09
2010,1.2281861749841028e-08
2011,7.265546803081335e-09
2012,7.1489305863980945e-09
2013,1.589801318369055e-08
