year,vos_DET auteurs_NOUN,vos_DET moteurs_NOUN
1800,5.030663263738688e-08,0.0
1801,1.1905913033238846e-07,0.0
1802,4.699464284385613e-08,0.0
1803,3.2375632263992316e-07,0.0
1804,4.449331569844617e-08,0.0
1805,3.4114532532214525e-08,0.0
1806,6.339671898558663e-08,0.0
1807,2.391442421867396e-07,0.0
1808,6.118399653587403e-08,0.0
1809,7.228897658251299e-08,0.0
1810,1.3572734758326988e-07,0.0
1811,7.521230349638586e-08,0.0
1812,1.3336041071454474e-07,0.0
1813,8.339650969801937e-08,0.0
1814,8.496028414128887e-08,0.0
1815,2.724195871106616e-07,0.0
1816,2.4103081841531093e-07,0.0
1817,1.2610674104962527e-07,0.0
1818,9.775365517050716e-08,0.0
1819,3.8402396285164286e-07,0.0
1820,8.42520151422832e-08,0.0
1821,2.238557831324428e-07,0.0
1822,1.373509377344817e-07,0.0
1823,7.807322877084744e-08,0.0
1824,2.0463304384321646e-07,0.0
1825,8.981551768982854e-08,0.0
1826,8.631824854887782e-08,0.0
1827,7.005127389270172e-08,0.0
1828,8.89713192009367e-08,0.0
1829,1.6546229242297983e-07,0.0
1830,1.1793624299372141e-07,0.0
1831,1.2940700511165915e-07,0.0
1832,1.1094574547954039e-07,0.0
1833,9.266902978311009e-08,0.0
1834,1.0174638553905879e-07,0.0
1835,3.6302822081779595e-08,3.025235173481633e-09
1836,1.2903840618250229e-07,5.376600054063374e-09
1837,4.453050350683441e-08,0.0
1838,4.292270250338959e-08,0.0
1839,5.453350537809598e-08,2.0974426639952526e-09
1840,4.840963252483732e-08,0.0
1841,7.447836436469402e-08,0.0
1842,1.2678621530426426e-07,0.0
1843,7.856191386323985e-08,0.0
1844,9.440325687837259e-08,0.0
1845,4.966402855632879e-08,5.580227946389016e-10
1846,9.191567240662835e-08,0.0
1847,2.7505439703645607e-08,0.0
1848,5.631655186633111e-08,0.0
1849,8.379414850878675e-08,8.379414939696517e-10
1850,8.011014962505669e-08,0.0
1851,1.7993934608995232e-07,0.0
1852,1.1849192804724851e-07,0.0
1853,1.1048074100017402e-07,0.0
1854,8.728716577310891e-08,0.0
1855,8.331890910540096e-08,0.0
1856,5.280732978674152e-08,0.0
1857,3.5635018047486255e-08,0.0
1858,1.1940569660806588e-07,0.0
1859,2.2405563182559263e-08,0.0
1860,5.858795404378725e-08,5.034902272882391e-09
1861,7.451222838739113e-08,0.0
1862,5.8733821833856226e-08,0.0
1863,4.045642809646921e-08,4.994620828036034e-10
1864,1.217860841062901e-07,0.0
1865,1.845083046347895e-07,0.0
1866,5.4494865953103044e-08,9.731225825149181e-10
1867,1.1549691159018494e-07,0.0
1868,6.817026010352834e-08,0.0
1869,8.643828808274634e-08,0.0
1870,5.217984444527701e-08,5.734048791339319e-10
1871,2.973929724703339e-08,0.0
1872,3.507456680651444e-08,0.0
1873,5.6268441461782004e-08,0.0
1874,6.63181591309403e-08,0.0
1875,4.291145216939185e-08,0.0
1876,7.376138078107886e-08,0.0
1877,1.0947124584603785e-07,0.0
1878,4.166971079300197e-08,0.0
1879,5.620579357490385e-08,0.0
1880,5.840240158150323e-08,0.0
1881,6.484431708253524e-08,0.0
1882,9.250985399944511e-08,0.0
1883,3.222862893226264e-08,0.0
1884,4.4891539374702916e-08,1.9805090900604227e-09
1885,4.8342266412149115e-08,0.0
1886,1.3552273919748004e-07,0.0
1887,5.288428894800745e-08,0.0
1888,4.438430378783664e-08,0.0
1889,5.388017498830777e-08,0.0
1890,6.030035548665325e-08,0.0
1891,5.418087045683251e-08,0.0
1892,3.510367085901578e-08,0.0
1893,4.249307394843527e-08,0.0
1894,3.780923507612499e-08,0.0
1895,9.208480000744146e-08,6.018614495673091e-10
1896,6.191880363992652e-08,1.179405795248556e-09
1897,3.029891082473313e-08,0.0
1898,4.696434718898246e-08,3.960848538042683e-09
1899,4.2009595802028343e-08,0.0
1900,3.7375580963505683e-08,0.0
1901,2.794369535763508e-08,5.588738916095792e-10
1902,2.8479647085077886e-08,4.910283846193408e-10
1903,3.510143065099669e-08,1.6200660812870638e-09
1904,4.030968892010378e-08,1.0749250378694342e-09
1905,4.8511136441220515e-08,2.0643036169332163e-09
1906,2.4177667590219443e-08,0.0
1907,3.5999904723915677e-08,3.599990305858114e-09
1908,3.143289117879533e-08,3.437972351250096e-09
1909,4.01571786379229e-08,0.0
1910,4.649410978441182e-08,5.344150677544235e-10
1911,4.309503154331651e-08,5.320374141248863e-10
1912,2.8651816919023076e-08,3.646594803896619e-09
1913,1.909076341455318e-08,5.302989602995467e-09
1914,1.1250529602380155e-07,0.0
1915,2.4739600590351074e-08,2.3561523843085297e-09
1916,2.9666147094431494e-08,2.197492410260793e-09
1917,3.618920063619413e-08,2.1932848870420685e-09
1918,3.9053678513312207e-08,4.594550517822427e-09
1919,3.038589824200244e-08,9.207848372660976e-10
1920,7.420787362377723e-08,7.572231730534895e-09
1921,1.0298936242714163e-07,3.0290989716519334e-09
1922,2.5084981203349344e-08,1.623145795548453e-08
1923,5.732611851883007e-08,1.4862327368803108e-08
1924,3.480738519634485e-08,1.804827398643738e-08
1925,3.959344208048776e-08,3.739380360912037e-08
1926,9.585678872880976e-08,2.229227691330493e-09
1927,4.2367055197445325e-08,1.4493992672726108e-08
1928,6.62710384347065e-08,1.8281665847830197e-08
1929,3.5649300400564243e-08,1.1140405931087116e-08
1930,4.411513399027456e-08,1.3654684494213143e-08
1931,4.219981963871078e-08,1.3686427990933225e-08
1932,6.9045077322194e-08,1.2055490383744427e-08
1933,3.441198770381959e-08,1.261772819560747e-08
1934,2.7557634396657704e-08,1.0783422155213884e-08
1935,3.590485420090772e-08,7.180970484910176e-09
1936,2.9099314957647948e-08,4.849885826274658e-09
1937,2.5182236518261902e-08,7.554670999887492e-09
1938,3.630259948206316e-08,1.8151300906765755e-08
