year,avions_VERB hérité_VERB,avions_VERB mérité_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,9.524730337773235e-09
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,0.0,2.881669125542885e-09
1807,0.0,1.7081731584767113e-08
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,7.020380277111826e-09
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,2.2026739543434815e-08
1815,0.0,2.697223555614414e-09
1816,0.0,9.270415546325239e-09
1817,0.0,1.556873407970727e-09
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,0.0,2.9584463767662328e-09
1822,0.0,2.0051231786055723e-09
1823,9.882686891060644e-10,0.0
1824,2.5263338088166165e-09,1.6842225392110777e-09
1825,0.0,1.7610886082763955e-09
1826,1.7615968683770689e-09,2.642395191543301e-09
1827,0.0,2.7651818612639545e-09
1828,0.0,0.0
1829,1.714635211591542e-09,8.57317605795771e-10
1830,5.218417697960831e-09,0.0
1831,0.0,4.677361609140007e-09
1832,1.3529969367098715e-09,0.0
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,9.334530925997342e-10,3.733812370398937e-09
1835,7.563087933704082e-09,3.025235173481633e-09
1836,6.72075017860152e-09,1.3441500135158435e-09
1837,2.0873671680021744e-09,0.0
1838,0.0,8.837027110075724e-09
1839,2.0974426639952526e-09,1.3982950353153e-09
1840,6.369688665408546e-10,5.732719632334238e-09
1841,3.852329122366882e-09,0.0
1842,0.0,0.0
1843,1.1813822142769936e-09,1.1813822142769936e-09
1844,1.6465684371524958e-09,5.488561161115513e-09
1845,5.580227946389016e-10,5.580227946389016e-10
1846,2.3418005312692003e-09,2.9272506640865004e-09
1847,2.1572894581822766e-09,2.1572894581822766e-09
1848,2.413566457803995e-09,8.045221711050488e-10
1849,2.513824481908955e-09,1.0893239199560867e-08
1850,0.0,2.7155984128057753e-09
1851,6.449438760824933e-10,2.579775504329973e-09
1852,6.510545436100301e-10,0.0
1853,0.0,5.971931837933653e-10
1854,2.0782657816909023e-09,3.63696517347023e-09
1855,1.0613874223963649e-09,7.960405667972736e-09
1856,2.5885946719483854e-09,3.6240324075009767e-09
1857,9.763018171682347e-10,2.9289055625270066e-09
1858,2.936205500958522e-09,0.0
1859,3.5645213447565993e-09,1.018434669930457e-09
1860,2.288591982591015e-09,3.661747127736703e-09
1861,1.8863854922557266e-09,1.8863854922557266e-09
1862,4.517986262886353e-10,1.2650361647104091e-08
1863,0.0,2.9967726078439227e-09
1864,4.794727948009836e-10,4.794727948009836e-10
1865,1.4120533631256649e-09,3.765475486972036e-09
