year,véritables_ADJ êtres_NOUN,véritables_ADJ maîtres_NOUN
1800,9.432493897065797e-09,5.0306631749208464e-08
1801,7.143547975374531e-09,6.191074675143682e-08
1802,2.2378401354217203e-09,2.9091921760482364e-08
1803,3.1205427575287104e-08,3.1205427575287104e-08
1804,0.0,4.449331569844617e-08
1805,0.0,3.1271653710973624e-08
1806,2.881669125542885e-09,4.8988376022407465e-08
1807,5.693910232196231e-09,1.1387820109121094e-07
1808,0.0,5.211970233176544e-08
1809,3.162642769893864e-08,4.0662548883574345e-08
1810,7.020380277111826e-09,5.148278958699848e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,0.0,3.467370746079723e-08
1813,0.0,1.8404746526812232e-07
1814,0.0,1.3845379953636439e-07
1815,1.6183340889597275e-08,3.236668177919455e-08
1816,0.0,3.9399267848239106e-08
1817,2.0239355080775567e-08,2.80237220096069e-08
1818,1.1921177378582115e-09,2.5034472272977837e-08
1819,3.1053151161586356e-09,1.376689624521532e-07
1820,1.1866481131050932e-09,9.255855104584043e-08
1821,1.972297702934611e-08,3.4515210245444905e-08
1822,1.4035862250239006e-08,1.0426640528748976e-07
1823,3.9530747564242574e-09,8.20263039713609e-08
1824,2.2737005167527968e-08,7.915846111927749e-08
1825,1.3208164340028361e-08,8.717388766399381e-08
1826,6.1655889282974385e-09,2.290075862276808e-08
1827,4.608636583469661e-09,7.834682236307344e-08
1828,3.668920500743411e-09,3.393751413227619e-08
1829,6.001223074036943e-09,3.3435387791769244e-08
1830,1.878630406793036e-08,6.366470017837855e-08
1831,3.1182412207897414e-09,5.6128342862393765e-08
1832,3.92369123858316e-08,4.6001897402447867e-08
1833,1.1583628500844156e-09,7.18184978154568e-08
1834,1.3068342852307069e-08,8.867804268675172e-08
1835,4.5378527602224494e-09,1.8907719834260206e-08
1836,8.064899859050456e-09,5.309392392405243e-08
1837,2.365682938432201e-08,5.6358917532861597e-08
1838,1.8936486156917454e-08,4.797243136067664e-08
1839,1.3982949909063791e-08,4.544459031308179e-08
1840,1.52872523528913e-08,7.707323135264232e-08
1841,5.1364388298225094e-09,4.943822418113086e-08
1842,1.2074877098200432e-08,7.781587640920407e-08
1843,4.371114314949409e-08,7.206431718032036e-08
1844,1.2623690537338916e-08,6.366730787021879e-08
1845,2.622707206967334e-08,8.7051553521178e-08
1846,1.9905304071698993e-08,4.5665110803838616e-08
1847,7.011190739092399e-09,6.47186837454683e-08
1848,7.24069959545659e-09,6.033916122305527e-08
1849,2.3462362719328667e-08,7.206296714912241e-08
1850,5.431196825611551e-09,5.295417082606946e-08
1851,1.5478653025979838e-08,4.70809027319774e-08
1852,2.0833745395520964e-08,8.593919886834556e-08
1853,1.0152284346531815e-08,4.717826129763125e-08
1854,9.352196350675968e-09,4.7800114089113777e-08
1855,1.0613874223963649e-08,6.102978034050466e-08
1856,6.212626857404757e-09,8.335274515047786e-08
1857,1.2203773103180993e-08,1.0153539165003167e-07
1858,1.1255455234504552e-08,7.438387683578185e-08
1859,2.6988518087023294e-08,7.791025069536772e-08
1860,1.1442959468865865e-08,9.840945125461076e-08
1861,2.4051415081771665e-08,5.234719679947375e-08
1862,2.2138133104476765e-08,5.2860439581081664e-08
1863,1.9479021062807078e-08,8.241124049845894e-08
1864,1.342523781033833e-08,1.1795030729899736e-07
1865,5.177528628053096e-09,7.154403647291474e-08
1866,2.3841502994059738e-08,7.687668102107637e-08
1867,1.2132028714972876e-08,8.929173134220036e-08
1868,1.2349684830326169e-08,5.77965266757019e-08
1869,1.953407746668745e-08,6.543915986867432e-08
1870,1.204150201772336e-08,6.995539791887495e-08
1871,3.18635318130589e-09,7.434824311758348e-08
