year,deux_DET in_ADJ,deux_DET mines_NOUN
1800,3.144164484325529e-09,1.0375742576229641e-07
1801,0.0,1.9049461030817838e-07
1802,2.2378401354217203e-09,1.767893706983159e-07
1803,0.0,1.6382849743479255e-07
1804,2.4718509461507665e-09,3.3122803766438835e-07
1805,5.685755422035754e-09,4.832892108730391e-08
1806,1.152667650217154e-08,1.8154515135648808e-07
1807,0.0,2.0213381901612593e-07
1808,4.5321479902327155e-09,3.829665118360026e-07
1809,1.129515236897305e-08,4.856915722939448e-07
1810,7.020380277111826e-09,1.3104709850608742e-07
1811,5.0141535368197765e-09,2.908209024710118e-07
1812,2.6672082320544632e-09,2.160438619114302e-07
1813,2.8757416448144113e-09,9.489947427887557e-08
1814,3.1466771410748606e-09,6.608022040666128e-08
1815,2.697223555614414e-09,8.900838066594474e-08
1816,0.0,1.1124498477954603e-07
1817,1.556873407970727e-08,9.02986549977669e-08
1818,0.0,1.4663048375496146e-07
1819,2.070210003424222e-09,1.790731687378866e-07
1820,3.5599443393152796e-09,1.3765117845565555e-07
1821,0.0,1.7257604012499428e-07
1822,8.02049271442229e-09,1.9249182514613494e-07
1823,5.929612356680991e-09,1.6504087163582426e-07
1824,6.736890156844311e-09,1.162113569819212e-07
1825,0.0,1.0478477463493618e-07
1826,8.807984341885344e-10,5.2847907827668905e-08
1827,2.7651818612639545e-09,1.327287263985788e-07
1828,1.8344602503717056e-09,1.1281930528683759e-07
1829,3.429270423183084e-09,1.0973665354185869e-07
1830,1.0436835840010872e-09,9.706257353414571e-08
1831,4.677361609140007e-09,5.456921980950824e-08
1832,2.705993873419743e-09,6.494385040856088e-08
1833,1.1583628278799551e-08,7.992703388026712e-08
1834,0.0,4.387229424196448e-08
1835,3.025235173481633e-09,9.22696727911898e-08
1836,6.720750067579218e-10,1.5054480506648815e-07
1837,1.3915781860163179e-09,1.2802519222532283e-07
1838,1.2624323808552163e-09,1.8620877906272426e-07
1839,1.3982950353153e-09,1.0696956920241973e-07
1840,1.9109065441114126e-09,9.172351944641832e-08
1841,5.1364388298225094e-09,7.704657933871317e-08
1842,4.024959032733477e-09,1.2007794580881637e-07
1843,5.906910960362666e-09,5.1390124600203535e-08
1844,2.195424508855126e-09,7.629100418071744e-08
1845,7.254296274794569e-09,1.149526989152605e-07
1846,5.854501328173001e-10,5.795956425913573e-08
1847,3.775256551818984e-09,9.168480019638992e-08
1848,0.0,9.654266186487348e-08
1849,4.1897072478036534e-09,8.211826862947191e-08
1850,2.0366988096043315e-09,1.0658723503809142e-07
1851,2.579775504329973e-09,1.4898203914981423e-07
1852,5.859490670445666e-09,7.94286556526913e-08
1853,1.1943863675867306e-09,8.838459475413174e-08
1854,2.597832227113628e-09,1.1222635176721951e-07
1855,3.714855978387277e-09,1.0507735126452644e-07
1856,1.0354378465748937e-09,1.1182728831826694e-07
1857,4.393358121745905e-09,9.372497711268579e-08
1858,1.468102750479261e-09,7.976692106836936e-08
1859,3.055304009791371e-09,1.0591720300823226e-07
1860,1.830873536112776e-09,5.813023484790847e-08
1861,9.431927461278633e-10,8.488735048217677e-08
1862,1.8071945051545413e-09,9.849210202972358e-08
1863,9.989241711583219e-09,1.0838327213491539e-07
1864,1.1986820203091497e-08,6.185198975217077e-08
1865,9.41368871743009e-10,5.6482133192758965e-08
1866,6.811858299649032e-09,7.639012089555308e-08
1867,8.249779526181555e-09,1.4024624839237276e-07
1868,1.975949626142892e-09,7.360412146439899e-08
1869,8.30198221279943e-09,9.474027340417024e-08
1870,1.7202146374017957e-09,8.601073187008978e-08
1871,3.18635318130589e-09,8.284518315804235e-08
1872,1.2094678591978436e-09,6.470653257650838e-08
1873,1.7958013409646867e-09,7.542365731971756e-08
1874,1.1949218281515073e-09,8.543691332185688e-08
1875,5.721527140956084e-10,1.2701789842139988e-07
1876,2.418405919968336e-09,1.8198504458943887e-07
1877,5.566334393414252e-09,1.0885276169325664e-07
1878,1.1715831993441839e-07,1.0749578205349053e-07
1879,1.832797580370027e-09,7.63665690683979e-08
1880,7.059631101924424e-09,8.214843316700637e-08
1881,5.578006168072136e-09,1.3108314500520635e-07
1882,3.3276925659464496e-09,7.919908040499024e-08
1883,4.423537092179686e-09,9.22623506482978e-08
1884,4.621187876807653e-09,1.135491878301309e-07
1885,2.5782542767416317e-09,8.701608056327359e-08
1886,4.5174246565693466e-09,2.45876972115866e-07
1887,1.9586773869484375e-09,1.1295039925585115e-07
1888,5.706553229956057e-09,1.4076164367438082e-07
1889,1.8795409673089125e-09,1.1715805570133853e-07
1890,6.554386478008212e-10,8.913965476864405e-08
1891,3.1871099093194744e-09,9.497587605267199e-08
1892,8.14906586654729e-09,1.504442952438012e-07
1893,6.158416554491453e-10,9.545545531786104e-08
1894,6.9316934414587195e-09,6.616616365917594e-08
1895,6.018614495673091e-09,9.930713917860601e-08
1896,8.255840344695287e-09,9.022454339202568e-08
1897,8.15739897852552e-09,1.567385989886816e-07
1898,2.8291774478717002e-09,6.959776666093376e-08
1899,3.3165470370022376e-09,6.798921425854587e-08
1900,3.114631885736685e-09,1.0122553950608904e-07
1901,8.941982043708663e-09,1.0730378408041474e-07
1902,3.928227076954727e-09,7.316322703232458e-08
1903,1.6200660812870638e-09,7.398301526961859e-08
1904,5.374625189347171e-09,7.578221428161669e-08
1905,5.676835002077496e-09,7.689531278387562e-08
1906,3.6009290549365858e-09,8.642229776256727e-08
1907,7.199980611716228e-09,1.0131401206869839e-07
1908,5.40252775849126e-09,7.367083920684081e-08
1909,4.950885035270858e-09,1.1332026073063162e-07
1910,1.3894791983659616e-08,1.2291546269693754e-07
1911,2.6601870706244313e-09,8.352987390658484e-08
1912,7.814131564032323e-09,6.876436131619812e-08
1913,1.113627856597077e-08,1.2143846195300512e-07
1914,2.678697486047099e-09,1.0379952986028229e-07
1915,4.712304768617059e-09,2.8862866541246035e-07
1916,0.0,4.768558605761086e-07
1917,6.57985488317081e-09,1.5352994164885558e-07
1918,3.44591288836682e-09,8.72964598386261e-08
1919,3.6831393490643904e-09,1.5745420656188003e-07
1920,5.300562211374427e-09,9.313845250602526e-08
1921,3.7863738810983705e-09,1.2495033807624623e-07
1922,1.4018077698629838e-08,9.665095335176233e-08
1923,3.1847844361720945e-09,8.70507741446147e-08
1924,2.578324886925998e-09,7.09039369439779e-08
1925,6.598906754362588e-09,7.69872441352959e-08
1926,1.114613823460786e-08,3.009457438807317e-08
1927,1.4493992672726108e-08,5.574612615966146e-08
1928,1.5996457936040542e-08,1.0511957970749108e-07
1929,1.0026365737658693e-08,5.124587021398952e-08
1930,9.453243077217621e-09,7.982738559064728e-08
1931,1.2545892325022123e-08,6.15889250710211e-08
1932,5.4797684168050864e-09,6.57572192253042e-08
1933,3.4411986593596566e-09,4.244145057619164e-08
1934,5.990790086229936e-09,7.188948281111607e-08
1935,1.3165112555668657e-08,2.992071124197082e-08
1936,7.274828739411987e-09,3.8799084833840425e-08
1937,5.036447148221157e-09,6.673292674008735e-08
1938,9.075649898271365e-09,4.7971293604121e-08
1939,3.058810094103137e-09,4.8940960617471774e-08
1940,0.0,5.0715657229361e-08
1941,0.0,3.8369533328364014e-08
1942,6.068423541449874e-09,6.371844740726829e-08
1943,2.9032352077962287e-09,7.83873517207212e-08
1944,0.0,8.03296504869877e-08
1945,0.0,7.189063211399116e-08
1946,2.7842208538686464e-09,6.542919184227003e-08
1947,2.3841741914054637e-09,5.722018148190955e-08
1948,0.0,4.1313175103141475e-08
1949,1.9634016634739737e-09,1.2271260452223487e-07
1950,1.0635361480382244e-09,8.508289006670111e-08
1951,6.396841278899501e-09,5.650542833635086e-08
1952,3.1634410646574906e-09,5.9050900613755175e-08
1953,2.1547654771580937e-09,4.632745786992132e-08
1954,4.886268278880834e-09,5.570345695815604e-08
1955,3.754243138587299e-09,4.411235643431155e-08
1956,1.744228317335228e-09,5.494319132992587e-08
