year,cents_ADJ auteurs_NOUN
1800,1.8864987794131594e-08
1801,1.4287095950749062e-08
1802,1.5664880947952042e-08
1803,1.5602713787643552e-08
1804,2.4718509905596875e-08
1805,1.7057265822018053e-08
1806,1.4408345627714425e-08
1807,1.1387820464392462e-08
1808,1.5862518409903714e-08
1809,3.388545621874073e-08
1810,2.3401266702194334e-08
1811,3.008491944456182e-08
1812,8.535066342574282e-08
1813,5.751483289628823e-09
1814,2.8320094713762956e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-08
1817,2.3353100786493997e-08
1818,1.9073883805731384e-08
1819,5.2790355198339967e-08
1820,4.2719332071783356e-08
1821,6.212737702071536e-08
1822,3.909990198280866e-08
1823,1.680056804787e-08
1824,1.6000115010683658e-08
1825,2.905796137042671e-08
1826,2.8185549894033102e-08
1827,4.885154680778214e-08
1828,1.7427371545863934e-08
1829,1.457439946506156e-08
1830,3.339787468803479e-08
1831,2.3386808933878456e-08
1832,2.1647950987357945e-08
1833,2.4325620628928846e-08
1834,3.173740381612333e-08
1835,3.7059130875150004e-08
1836,2.5538851033957144e-08
1837,3.270208637218275e-08
1838,8.837027110075724e-09
1839,2.027527834513876e-08
1840,1.6561189752906103e-08
1841,3.467096121312352e-08
1842,3.287049921141261e-08
1843,1.8902115428431898e-08
1844,1.811225303072206e-08
1845,1.7298706467272496e-08
1846,1.4636253098387897e-08
1847,1.7258315665458213e-08
1848,2.252662056889676e-08
1849,1.5920887719289567e-08
1850,1.0862393651223101e-08
1851,7.094382858952031e-09
1852,1.6276363368206148e-08
1853,1.970737528722566e-08
1854,2.0263090760863633e-08
1855,2.4411910715116392e-08
1856,1.346069211649592e-08
1857,1.610898081594314e-08
1858,2.4468379322684086e-08
1859,1.782260738991681e-08
1860,1.9224172476128842e-08
1861,2.4051415081771665e-08
1862,1.626475132354699e-08
1863,1.897955925755923e-08
1864,2.2535221688713136e-08
1865,1.3179164426446732e-08
1866,3.0166798836717135e-08
1867,1.4073153309368536e-08
1868,1.432563490055827e-08
1869,1.1720445947105418e-08
1870,2.2362790730312554e-08
1871,3.18635318130589e-09
1872,1.7537283625301825e-08
1873,1.3767810003173508e-08
1874,1.9118749250424116e-08
1875,2.1741803024610817e-08
1876,2.8416270225761764e-08
1877,8.658742167710898e-09
1878,1.6305540029293297e-08
1879,3.848874996492668e-08
1880,9.626769603698904e-09
1881,2.3009274485730202e-08
1882,9.317538740560849e-09
1883,1.0110942305630033e-08
1884,3.300848483434038e-09
1885,5.156508553483263e-09
1886,1.8069698626277386e-08
1887,9.140494583448344e-09
1888,1.268122939990235e-08
1889,1.566284169030041e-08
1890,1.6385966361553983e-08
1891,1.466070642663908e-08
1892,3.761107425503951e-09
1893,6.158416554491453e-10
1894,5.671385139294216e-09
1895,4.213029924926559e-09
1896,6.486732040400511e-09
1897,5.2440420894583895e-09
1898,7.355861253444118e-09
1899,1.2713430308508578e-08
1900,1.038210584169974e-08
1901,6.147612641171918e-09
1902,1.9641135384773634e-09
1903,1.6200660812870638e-09
1904,4.299700151477737e-09
1905,7.741138396966107e-09
1906,1.18316245689698e-08
1907,4.6285588695127444e-09
1908,4.911389073214423e-09
1909,6.0510818578052294e-09
1910,5.878565634276356e-09
1911,0.0
1912,7.814131564032323e-09
1913,7.42418571064718e-09
1914,1.7411533548283842e-08
1915,5.890381071793627e-09
1916,6.592477230782379e-09
1917,3.289927441585405e-09
1918,6.89182577673364e-09
1919,4.603924352863942e-09
1920,3.786115865267448e-09
1921,4.543648568500203e-09
1922,5.902348387820666e-09
1923,7.431163684401554e-09
1924,9.02413699321869e-09
1925,1.4297631523163545e-08
1926,1.114613823460786e-08
1927,2.0068604555945058e-08
1928,2.170947865920425e-08
1929,1.1140405931087116e-08
1930,8.402882833991043e-09
1931,1.0264820993199919e-08
1932,4.383814644626227e-09
1933,1.3764794637438627e-08
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,1.6974599503782883e-08
1937,2.5182236296217297e-09
1938,5.186085783037697e-09
1939,7.647025235257843e-09
1940,5.5787225505810056e-08
1941,0.0
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.9606536838523425e-08
1946,1.6705325123211878e-08
1947,2.26496545963073e-08
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,2.5524867552917385e-08
1951,2.1322803522849654e-09
1952,6.326882129314981e-09
1953,1.508335856215126e-08
1954,5.863521668203475e-09
1955,8.447047505910632e-09
1956,1.657016923672927e-08
1957,1.501956425897788e-08
1958,8.272243334772611e-09
1959,6.975672928177801e-09
1960,1.2457499920515147e-08
1961,6.25334317660986e-09
1962,5.7077609305622445e-09
1963,1.3578711488548834e-08
1964,9.125952438182594e-09
1965,1.91521518644322e-08
1966,1.3293779410616935e-08
1967,6.902469706915326e-09
1968,2.110965446888713e-08
1969,1.090021850558287e-08
1970,9.197449912790034e-09
