year,pourriez_VERB être_VERB,pourriez_VERB etre_VERB,pourriez_VERB mettre_VERB
1800,1.1633408547595536e-07,0.0,6.288328968651058e-09
1801,7.857902772911984e-08,4.7623651688866175e-09,4.7623651688866175e-09
1802,7.832440473976021e-08,0.0,2.4616241489638924e-08
1803,1.6967950955404376e-07,0.0,1.950339267864365e-08
1804,1.9527622896475805e-07,0.0,1.9774807569206132e-08
1805,6.822906328807221e-08,0.0,1.9900143755080535e-08
1806,1.8442682403474464e-07,0.0,3.1698359492793315e-08
1807,9.964342950752325e-08,0.0,0.0
1808,9.744118045773575e-08,0.0,3.852325747288887e-08
1809,8.810219043198231e-08,0.0,1.129515236897305e-08
1810,1.3806747745093162e-07,0.0,4.680253518074551e-09
1811,4.011322829455821e-08,0.0,2.5070767684098882e-09
1812,1.2535878113340004e-07,0.0,8.00162425207418e-09
1813,5.463909147351842e-08,2.8757416448144113e-09,2.8757416448144113e-09
1814,8.496028414128887e-08,0.0,0.0
1815,8.90083740046066e-08,0.0,2.697223555614414e-09
1816,7.879853569647821e-08,2.3176038865813098e-09,9.270415546325239e-09
1817,1.0275364559220179e-07,0.0,2.3353100786493997e-08
1818,8.940882878505363e-08,0.0,0.0
1819,7.763287612760905e-08,0.0,3.1053151161586356e-09
1820,1.4358441546846734e-07,0.0,9.493184904840746e-09
1821,1.6074226039108908e-07,2.9584463767662328e-09,1.3806083387635226e-08
1822,1.383534993237845e-07,0.0,1.5038423839541792e-08
1823,1.2452186126665765e-07,0.0,1.1859224713361982e-08
1824,1.3557990996559965e-07,8.421112696055388e-10,1.0947446504872005e-08
1825,1.1359021812040737e-07,0.0,5.283265824829186e-09
1826,8.103345550125596e-08,0.0,5.284790383086602e-09
1827,6.544264152807955e-08,0.0,9.217273166939322e-09
1828,1.1190207516165174e-07,0.0,3.668920500743411e-09
1829,1.0716470200122785e-07,0.0,2.0575622983187714e-08
1830,1.4715938334575185e-07,0.0,6.262101504006523e-09
1831,7.639690835503643e-08,0.0,9.354723218280014e-09
1832,7.712082350508354e-08,0.0,3.6530916958099624e-08
1833,1.0656938087549861e-07,0.0,2.0850531967653296e-08
1834,8.214387037241977e-08,0.0,1.0267983796552471e-08
1835,1.2403464211274695e-07,0.0,2.193295500774184e-08
1836,9.677879830860547e-08,0.0,1.344150035720304e-08
1837,8.906100390504434e-08,0.0,2.7831563720326358e-09
1838,1.0036337272367746e-07,0.0,2.0830134062066463e-08
1839,1.0696957275513341e-07,1.3982950353153e-09,1.957613093850341e-08
1840,9.17235141173478e-08,6.369688665408546e-10,1.9746034141121527e-08
1841,7.062603657459476e-08,6.420548537278137e-10,1.4767261191650505e-08
