year,voudriez_VERB être_VERB,voudriez_VERB mettre_VERB
1800,2.829747991484055e-08,1.8864987794131594e-08
1801,0.0,4.7623651688866175e-09
1802,4.475680270843441e-09,8.951360541686881e-09
1803,1.5602713787643552e-08,5.851017448321727e-09
1804,3.213406074564773e-08,7.4155526164076946e-09
1805,3.695740957709859e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,0.0,0.0
1809,4.0662548883574345e-08,0.0
1810,9.126494404654295e-08,0.0
1811,4.763445815569867e-08,0.0
1812,3.467370746079723e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,0.0,0.0
1816,1.3905623319487859e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,1.9073883805731384e-08,1.4305412854298538e-08
1819,1.6561680027393777e-08,1.035105001712111e-09
1820,2.3732962262101864e-08,1.1866481131050932e-09
1821,6.607196922914227e-08,2.5639868894700157e-08
1822,4.912551787583652e-08,6.015369535816717e-09
1823,5.237824041159911e-08,0.0
1824,3.8737120178211626e-08,0.0
1825,2.8177417732422327e-08,3.522177216552791e-09
1826,3.170874407487645e-08,2.1139161532346407e-08
1827,5.2538457140371975e-08,9.217273055917019e-10
1828,3.118582370120748e-08,9.172301251858528e-10
1829,3.5150023336427694e-08,0.0
1830,6.78394300734908e-08,4.174734336004349e-09
1831,2.9623292263636358e-08,0.0
1832,5.817886972181441e-08,0.0
1833,8.224376557564028e-08,1.1583628500844156e-09
1834,2.42697808516823e-08,8.401078055442213e-09
1835,8.24376584773745e-08,6.806779140333674e-09
1836,3.49478987970997e-08,5.376600054063374e-09
1837,3.896418832027848e-08,2.0873671680021744e-09
1838,4.1660268124132926e-08,2.5248647617104325e-09
1839,2.586845759822154e-08,2.0974426639952526e-09
1840,2.4841785517537573e-08,3.821813088222825e-09
1841,3.4028907691663335e-08,1.2841097074556274e-09
1842,4.159124245006751e-08,0.0
1843,5.316219997553162e-08,1.1813822142769936e-09
1844,3.402907822191992e-08,4.390849017710252e-09
1845,5.022205229465726e-08,7.812318791877715e-09
1846,2.2832555401919308e-08,9.952652035849496e-09
1847,2.588747349818732e-08,2.1572894581822766e-09
1848,3.298540818263973e-08,7.24069959545659e-09
1849,3.267971848686102e-08,2.262441967104678e-08
1850,3.4623880651452055e-08,2.0366988096043315e-09
1851,3.740674614505224e-08,2.579775504329973e-09
1852,3.190167419120371e-08,3.2552727180501506e-09
1853,3.762317035693741e-08,1.7915795513800958e-09
1854,5.0397943596180994e-08,4.676098175337984e-09
1855,3.767925349507095e-08,3.1841622671890946e-09
1856,5.487820686767009e-08,3.1063134287023786e-09
1857,3.3194261561675376e-08,7.810414537345878e-09
1858,5.04048642824273e-08,1.2234189661342043e-08
1859,3.920973412618878e-08,0.0
1860,3.982150076353719e-08,9.15436793036406e-09
1861,2.87673795895671e-08,6.13075279431996e-09
1862,2.1234535907410645e-08,4.517986262886353e-10
1863,4.0955889346605545e-08,0.0
1864,4.2193605054308136e-08,1.9178911792039344e-09
1865,4.330296832222302e-08,0.0
1866,4.6223323835192787e-08,0.0
1867,2.814630661873707e-08,1.0190904120577216e-08
1868,2.0747471296544973e-08,1.4819622196071691e-09
1869,3.076617005604021e-08,3.4184632902167778e-09
1870,3.956493799250893e-08,2.8670243956696595e-09
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,2.4189358072135292e-08,6.047339518033823e-09
1873,2.6338419445437466e-08,1.1972008939764578e-09
1874,2.9275584623178474e-08,4.779687312606029e-09
1875,1.5448122780981066e-08,1.3159512590732447e-08
1876,9.673623679873344e-09,3.02300739996042e-09
1877,2.4120781816350245e-08,2.4739263970730008e-09
1878,3.01954443671093e-08,5.435179861734696e-09
1879,2.932476128592043e-08,2.443730107160036e-09
1880,1.7328185109022343e-08,1.9253538763308597e-09
1881,1.9523021421719022e-08,2.7890030285249168e-09
1882,2.7952617998039386e-08,3.9932310791357395e-09
1883,2.401348808689363e-08,7.58320695126713e-09
1884,2.0465261485469455e-08,3.300848483434038e-09
1885,1.160214413431504e-08,1.933690763067375e-09
1886,2.3877817056927597e-08,1.2906927748801422e-09
1887,9.793386546164129e-09,1.3057849246322917e-09
1888,1.4583413587843097e-08,0.0
1889,2.4434033463194282e-08,1.2530273485467092e-09
1890,1.5075089621063853e-08,6.554386478008212e-10
1891,1.0198752065093686e-08,2.5496880162734215e-09
1892,1.3163876211308434e-08,4.387958441043338e-09
1893,1.539604177480669e-08,8.005941687372342e-09
1894,8.822155450616265e-09,3.150769645188234e-09
1895,1.5648398132839247e-08,2.4074457982692365e-09
1896,1.1204354777305525e-08,4.717623180994224e-09
1897,9.322741689743452e-09,1.1070755867592652e-08
1898,3.508180057565369e-08,2.26334195829736e-09
1899,2.1004797901014172e-08,6.080336234504102e-09
1900,1.4015843596837385e-08,6.22926377147337e-09
1901,1.4530721514915967e-08,5.588738916095792e-10
1902,9.820567470342212e-09,4.910283735171106e-09
1903,1.2420506401156217e-08,5.400220270956879e-10
1904,3.0097901060344157e-08,5.374625189347171e-09
1905,2.0126959654476195e-08,5.160759042333041e-10
1906,1.0288369267641428e-08,1.5432553013283723e-09
1907,1.7999951751335175e-08,6.685696440911215e-09
1908,8.349361202419914e-09,1.0313916831705683e-08
1909,7.701377313651392e-09,3.850688656825696e-09
1910,1.068830179917768e-08,3.206490406526541e-09
1911,9.576673676292558e-09,4.788336838146279e-09
1912,1.82329742415277e-08,1.0418842455450772e-09
1913,1.3257474229533273e-08,1.590896969716482e-09
1914,9.37544086809794e-09,2.0090231700464756e-09
1915,1.1780762143587253e-08,4.712304768617059e-09
1916,2.5271162940043723e-08,9.888715624128963e-09
1917,1.2063066989753679e-08,0.0
1918,1.6080926812378493e-08,1.1486376294556067e-09
1919,1.4732557396257562e-08,2.762354567309444e-09
1920,1.514446346106979e-08,6.815008557481406e-09
1921,2.2718241510233383e-08,1.5145494858259667e-09
1922,1.0329110011753073e-08,7.377935484775833e-10
1923,1.6985516992917837e-08,2.1231896241147297e-09
1924,1.675911143195208e-08,5.156649773851996e-09
1925,1.0998178368026856e-08,3.299453377181294e-09
1926,1.3375366592072169e-08,0.0
1927,1.0034302277972529e-08,3.3447675740205796e-09
1928,1.4853853258500749e-08,2.2852082448565625e-09
1929,1.7824650200282122e-08,5.570202965543558e-09
1930,4.201441416995522e-09,9.453243521306831e-09
1931,6.843213995466613e-09,2.2810713318222042e-09
1932,2.301502632917618e-08,6.575722188983946e-09
1933,5.735331320977366e-09,2.2941324395731044e-09
1934,7.188948103475923e-09,0.0
1935,1.555876849579363e-08,3.590485242455088e-09
1936,1.8187071404440758e-08,1.2124714565686645e-09
1937,5.0364472592434595e-09,1.2591118148108649e-09
1938,1.6854778905894818e-08,2.5930428915188486e-09
1939,1.8352860564618823e-08,0.0
1940,5.0715658339584024e-09,0.0
1941,8.854508237732261e-09,0.0
1942,3.034211770724937e-09,6.068423541449874e-09
1943,8.709705845433291e-09,0.0
1944,1.927911696952833e-08,6.4263723231761105e-09
1945,8.714016175304096e-09,0.0
