year,divers_DET effets_NOUN,divers_DET méfaits_NOUN
1800,2.4210066129626284e-07,0.0
1801,1.166779455274991e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,6.826187259889593e-08,0.0
1804,1.1123329102247226e-07,0.0
1805,1.2224374001945648e-07,0.0
1806,2.3053352649071712e-07,0.0
1807,1.7935816742919997e-07,0.0
1808,1.4276266657731185e-07,0.0
1809,1.829814717524414e-07,0.0
1810,2.2465216886757844e-07,0.0
1811,1.4290337269073916e-07,0.0
1812,3.2806661565132345e-07,2.6672082320544632e-09
1813,2.674439834038367e-07,0.0
1814,2.108273697842833e-07,0.0
1815,1.2407228489053068e-07,0.0
1816,1.2515060632267705e-07,0.0
1817,1.214361260437613e-07,0.0
1818,1.227881227805483e-07,1.1921177378582115e-09
1819,1.5319553536841113e-07,1.035105001712111e-09
1820,1.0561168295453172e-07,0.0
1821,1.4595003161588238e-07,0.0
1822,1.223125138949399e-07,0.0
1823,1.0376821180102525e-07,4.941343334508019e-09
1824,1.2884302336146902e-07,0.0
1825,1.0566531827294057e-07,0.0
1826,1.3211975868898662e-07,0.0
1827,2.2029282042979048e-07,0.0
1828,1.5409465464744088e-07,1.8344602503717056e-09
1829,7.287199910166464e-08,8.57317605795771e-10
1830,1.0958677876260481e-07,6.262101504006523e-09
1831,1.5435294642429653e-07,1.5591206103948707e-09
1832,9.20037930285389e-08,2.705993873419743e-09
1833,1.054110185805257e-07,0.0
1834,9.241185838781973e-08,0.0
1835,1.1344631900556124e-07,0.0
1836,7.527240075688724e-08,6.720750067579218e-10
1837,7.30578553209682e-08,2.7831563720326358e-09
1838,6.501526916835587e-08,1.2624323808552163e-09
1839,7.201219354158184e-08,2.0974426639952526e-09
1840,9.108655074641092e-08,5.095750932326837e-09
1841,1.3932590814391688e-07,1.2841097074556274e-08
1842,9.726984329105903e-08,3.3541325272778977e-09
1843,9.864541650195235e-08,1.5357969118667825e-08
1844,6.092303150850853e-08,5.488561161115513e-09
1845,1.3001931353784357e-07,1.1718478631905782e-08
1846,8.079212143741188e-08,5.854501328173001e-10
1847,5.9325459211834186e-08,1.5101026207275936e-08
1848,8.930195916079242e-08,1.6090443422100975e-09
1849,8.463209155706863e-08,5.02764896381791e-09
1850,7.19633561629962e-08,1.765138968323754e-08
1851,1.0125618876699605e-07,6.449438760824933e-09
1852,9.049657823112511e-08,3.2552727180501506e-09
1853,6.569124977318097e-08,7.166318205520383e-09
1854,9.092412850408849e-08,1.0391328908454511e-09
1855,7.270503488143731e-08,2.1227748447927297e-09
1856,8.024643527448916e-08,1.0354378687793542e-08
1857,7.761599118971674e-08,4.393358121745905e-09
1858,1.0961834151501648e-07,4.893676130990343e-09
1859,1.0642642145342052e-07,5.092173349652285e-10
