year,ces_DET auteurs_NOUN
1800,3.4019858787814883e-06
1801,2.590726694506884e-06
1802,3.871463434279576e-06
1803,3.489156966907103e-06
1804,3.697888956821771e-06
1805,4.238730753058917e-06
1806,3.0171075593443675e-06
1807,3.490367049607812e-06
1808,4.493624686574549e-06
1809,3.822279666110262e-06
1810,4.404118470802132e-06
1811,3.236636189285491e-06
1812,4.542255680917151e-06
1813,5.719849923480069e-06
1814,3.3858245558349154e-06
1815,5.677655707359008e-06
1816,3.8008704450476216e-06
1817,4.558525347420073e-06
1818,3.001752418185788e-06
1819,4.356757102641495e-06
1820,3.5741840633818356e-06
1821,4.605314984473807e-06
1822,3.3976812687797064e-06
1823,2.762210954188049e-06
1824,3.20086485317006e-06
1825,3.125051705410442e-06
1826,3.3708155626754888e-06
1827,3.657413941482446e-06
1828,3.7184509551480005e-06
1829,3.496998544960661e-06
1830,3.7718725138802256e-06
1831,2.910878208695067e-06
1832,3.386551242101632e-06
1833,3.0325940088005154e-06
1834,3.0309221585866908e-06
1835,2.778678492632025e-06
1836,3.4484167770187923e-06
1837,2.9932847098734783e-06
1838,3.1674428839778557e-06
1839,2.9657837501417816e-06
1840,3.0300608386824024e-06
1841,3.936438361051842e-06
1842,3.2736332400418178e-06
1843,3.959993108537674e-06
1844,3.1795235884146678e-06
1845,3.3286059988313355e-06
1846,3.649696111551748e-06
1847,3.446809273555118e-06
1848,3.2744051736699475e-06
1849,3.2000985470403975e-06
1850,3.2050849654297053e-06
1851,3.069287828338929e-06
1852,3.7103599481724814e-06
1853,3.526425757627294e-06
1854,2.9007394459767966e-06
1855,3.0366294652139914e-06
1856,2.896637454341544e-06
1857,2.6330859554946073e-06
1858,2.685160040982737e-06
1859,3.126594549485162e-06
1860,2.781554627517835e-06
1861,2.703661920122613e-06
1862,2.3751052822262864e-06
1863,2.503803500530921e-06
1864,2.5378495536187984e-06
1865,2.7855104178797774e-06
1866,2.955859912390224e-06
1867,2.6510909378885117e-06
1868,2.7253284144990175e-06
1869,3.1210572046802554e-06
1870,2.520114463777645e-06
1871,2.8985191988795123e-06
1872,2.7333973662280187e-06
1873,3.194131920736254e-06
1874,3.050635513091038e-06
1875,3.1702981573289435e-06
1876,3.1191390803542163e-06
1877,3.091171151936578e-06
1878,3.076915589872442e-06
1879,2.789517935752883e-06
1880,2.8514490963971184e-06
1881,2.7799387112281693e-06
1882,3.111392629762122e-06
1883,3.0263314556577825e-06
1884,2.845331465550771e-06
1885,3.0326715432238416e-06
1886,3.065395446810726e-06
1887,3.433561460042256e-06
1888,3.345308186908369e-06
1889,3.226545516099577e-06
1890,3.296856505130563e-06
1891,3.198583613084338e-06
1892,3.5404557934270997e-06
1893,3.627307307851879e-06
1894,3.0959462264945614e-06
1895,3.5961222693003947e-06
1896,3.6632345086218265e-06
1897,3.949929066493496e-06
1898,3.804111997851578e-06
1899,3.8123708918647026e-06
1900,3.921840743714711e-06
1901,3.922735800188093e-06
1902,3.8035058764762653e-06
1903,4.308295785904193e-06
1904,4.781266568443243e-06
1905,4.559530566439207e-06
1906,4.348893639871676e-06
1907,4.661987418330682e-06
1908,4.586255158756103e-06
1909,4.97233918395068e-06
1910,4.692698666985962e-06
1911,4.810150358025567e-06
1912,4.795793188350217e-06
1913,5.258444502942439e-06
1914,5.18194030973973e-06
1915,3.322174961795099e-06
1916,3.5104941389363375e-06
1917,3.670462319860235e-06
1918,3.704356345224369e-06
1919,3.92806805393775e-06
1920,4.537281370176061e-06
1921,5.215351279730385e-06
1922,5.452294203678321e-06
1923,4.8185789864874096e-06
1924,5.030311626796902e-06
1925,5.438598918772186e-06
1926,6.284192977545899e-06
1927,5.853342941009032e-06
1928,6.020380851623486e-06
1929,6.132793942015269e-06
1930,6.885111929477716e-06
1931,6.327691949081782e-06
1932,6.1132293467380805e-06
1933,7.468548346878379e-06
1934,7.158994321798673e-06
1935,7.730314564469154e-06
1936,8.265417818620335e-06
1937,7.447646567015909e-06
1938,8.011205864022486e-06
1939,7.579731573059689e-06
1940,7.209230943772127e-06
1941,8.039893145905808e-06
1942,7.388305448330357e-06
1943,7.510669547627913e-06
1944,7.374262168013956e-06
1945,6.293698220360966e-06
1946,5.951272100901406e-06
1947,5.6218827921838965e-06
1948,6.506825116048276e-06
1949,5.819522698402579e-06
1950,6.8821425429632654e-06
1951,5.9863771184609504e-06
1952,6.882593538648507e-06
1953,6.6312909439147916e-06
1954,6.61405226765055e-06
1955,6.319329600046331e-06
1956,6.611497269659594e-06
1957,6.5715011032807524e-06
1958,6.553271418852091e-06
1959,6.324610239971662e-06
1960,6.399694711944903e-06
1961,6.361039709190663e-06
1962,5.971586119812855e-06
1963,6.0380006061677705e-06
1964,6.175227895255375e-06
1965,5.707888249162352e-06
1966,5.506394018084393e-06
1967,5.512608368007932e-06
1968,5.1898311994591495e-06
1969,4.379162874101894e-06
1970,4.3922423174080905e-06
1971,4.76843297292362e-06
1972,4.772575607603358e-06
1973,4.713238013209775e-06
1974,4.493144160733209e-06
1975,4.232777996548975e-06
1976,4.395987502903154e-06
1977,4.322960649005836e-06
1978,4.362176127870043e-06
1979,3.9846086110628676e-06
1980,4.180859832558781e-06
1981,4.227364797770861e-06
1982,4.2490352143431664e-06
1983,4.2325247591179505e-06
1984,4.212979661133431e-06
1985,3.931167270820879e-06
1986,4.1242060433432925e-06
1987,4.167577117186738e-06
1988,4.3481011857693375e-06
1989,3.892725146670273e-06
1990,4.076135837749462e-06
1991,3.856257990264567e-06
1992,4.235494031945564e-06
1993,4.149420249177638e-06
1994,4.016856507860211e-06
1995,4.33904506280669e-06
1996,4.180793894192902e-06
1997,4.555149644147605e-06
1998,4.617456397681963e-06
1999,4.603563581895287e-06
2000,4.671184683502361e-06
2001,4.741785460282699e-06
2002,4.7470534809690434e-06
2003,4.947387651554891e-06
2004,4.687138471126673e-06
2005,4.881614358964725e-06
2006,4.848815365221526e-06
2007,4.37195780023103e-06
2008,4.008379562492337e-06
2009,4.031030016449222e-06
2010,3.718097445926105e-06
2011,3.1673959028921672e-06
2012,2.662806423359143e-06
2013,2.7408732989897544e-06
2014,2.1035134807334543e-06
2015,2.2713248313266376e-06
2016,2.129958943442034e-06
2017,2.379265197305358e-06
2018,2.1320333303265215e-06
2019,2.0943609797541285e-06
