year,ses_DET auteurs_NOUN
1800,1.6569747032235682e-06
1801,1.481095537769761e-06
1802,1.3583689906226937e-06
1803,1.2599191698825507e-06
1804,1.1691854737705398e-06
1805,1.1627370355427047e-06
1806,1.5820363792329317e-06
1807,1.867602509975086e-06
1808,1.1806245474588195e-06
1809,1.1475875023592153e-06
1810,1.5561842729994169e-06
1811,9.827741003221035e-07
1812,1.2295829669994873e-06
1813,1.2595748160038056e-06
1814,1.5796319345895427e-06
1815,2.0013398653873082e-06
1816,1.3372574798609094e-06
1817,1.5023828456861565e-06
1818,1.7083047225696646e-06
1819,1.8414517839460132e-06
1820,1.7574258919239583e-06
1821,1.8263476562196956e-06
1822,1.6572342929066508e-06
1823,1.3509632523778237e-06
1824,1.4197996378584321e-06
1825,1.5242222133338146e-06
1826,1.2771577253545274e-06
1827,2.0499214272717836e-06
1828,1.7748403280393177e-06
1829,1.7283522666389217e-06
1830,1.6135348772650104e-06
1831,1.917718382316025e-06
1832,1.9117846683514017e-06
1833,1.5881155022157145e-06
1834,1.4851238496760288e-06
1835,1.4906845819950831e-06
1836,1.4167341202409034e-06
1837,1.310866597492577e-06
1838,1.3028301886208737e-06
1839,1.3444607169788014e-06
1840,1.5312731704852922e-06
1841,1.5402895883198653e-06
1842,1.60059209974861e-06
1843,1.3302364223477525e-06
1844,1.333720426544005e-06
1845,1.5591156667937867e-06
1846,1.6697037636959067e-06
1847,1.5230463539239736e-06
1848,1.8487919710707956e-06
1849,1.7982224065349328e-06
1850,1.9545519123198574e-06
1851,1.691042882612237e-06
1852,1.647168039298208e-06
1853,1.4368468121972455e-06
1854,1.2240985967082452e-06
1855,1.4169522053464334e-06
1856,1.597162929911633e-06
1857,1.5523198655387205e-06
1858,1.3393991018517681e-06
1859,1.7812422683505247e-06
1860,1.4404397639111721e-06
1861,1.647286158146244e-06
1862,1.5943974069898559e-06
1863,1.629744804887423e-06
1864,1.4801324823565665e-06
1865,1.524076161274479e-06
1866,1.6596606187135876e-06
1867,1.3340378508530648e-06
1868,1.6138569023382843e-06
1869,1.6223050067765143e-06
1870,1.587184666362873e-06
1871,1.727003379414782e-06
1872,1.667251442682982e-06
1873,1.4911137462547686e-06
1874,1.3693803637693236e-06
1875,1.569414877167219e-06
1876,1.744275238024784e-06
1877,1.5653769409595952e-06
1878,1.5822412180455103e-06
1879,1.4967846446722888e-06
1880,1.6288493824845318e-06
1881,1.6727046094899833e-06
1882,1.7217480845488353e-06
1883,1.5899456435874981e-06
1884,1.5546995904003325e-06
1885,1.605607817367627e-06
1886,1.5385057423600301e-06
1887,1.6224377326068407e-06
1888,1.6143204533136668e-06
1889,1.6690324784462973e-06
1890,1.8011454301358754e-06
1891,1.6827940427788235e-06
1892,1.6567677860734875e-06
1893,1.7360575910174703e-06
1894,1.7461565917642474e-06
1895,2.0649866172561815e-06
1896,1.9808120157449594e-06
1897,1.7614154685929861e-06
1898,1.900641436236583e-06
1899,1.9103310506807247e-06
1900,1.6024781359647022e-06
1901,1.8778162740318294e-06
1902,1.6125371864461613e-06
1903,1.7728923040749578e-06
1904,1.6833326128562476e-06
1905,1.8718073455659123e-06
1906,1.7469650757107047e-06
1907,1.995937608967324e-06
1908,1.8137760164904648e-06
1909,1.7504129559142712e-06
1910,1.9153435530938623e-06
1911,1.8972453972310177e-06
1912,1.7889152950090192e-06
1913,1.6608963662179121e-06
1914,1.62998740194098e-06
1915,1.4725952013350252e-06
1916,1.6711929617940768e-06
1917,1.6285140276295351e-06
1918,1.7941719860914418e-06
1919,1.863668479984426e-06
1920,1.6106136726534714e-06
1921,1.8530512946313138e-06
1922,1.6984007373821441e-06
1923,1.890700360718256e-06
1924,1.6372363589312044e-06
1925,1.728913552767608e-06
1926,1.4779780102003315e-06
1927,1.526328865963933e-06
1928,1.4876705591859718e-06
1929,1.6187009990176193e-06
1930,1.6091520365080214e-06
1931,1.6001714939761769e-06
1932,1.4806334149852773e-06
1933,1.6311282138303795e-06
1934,1.5156699504359494e-06
1935,1.4960355230186906e-06
1936,1.616224473366401e-06
1937,1.465606167982969e-06
1938,1.5389709844271238e-06
1939,1.4192879262964198e-06
1940,1.4783614190605476e-06
1941,1.2514370730798419e-06
1942,1.3593269088119087e-06
1943,1.2454878728362928e-06
1944,1.32383264173086e-06
1945,1.8038013251953089e-06
1946,1.5229688514750706e-06
1947,1.659385290508908e-06
1948,1.6992760478728997e-06
1949,1.551087336792989e-06
1950,1.6229561978775564e-06
1951,1.6375913318711355e-06
1952,1.5659034318105114e-06
1953,1.6613241484719765e-06
1954,1.6134456899408178e-06
1955,1.461339188324473e-06
1956,1.4442209987919341e-06
1957,1.4436452175914383e-06
1958,1.4319253907046914e-06
1959,1.5501495411740507e-06
1960,1.5537270954268934e-06
1961,1.5807062467843025e-06
1962,1.4529421790143715e-06
1963,1.447749319538616e-06
1964,1.5003065811924898e-06
1965,1.6137056348952683e-06
1966,1.482810311870253e-06
1967,1.4090898545759956e-06
1968,1.5625635967353446e-06
1969,1.5369308385970726e-06
1970,1.5221780174101696e-06
1971,1.4320713219717618e-06
1972,1.5703380071840911e-06
1973,1.5045532748558799e-06
1974,1.6291655668965177e-06
1975,1.4335815095023463e-06
1976,1.4546638880119644e-06
1977,1.5132713215848526e-06
1978,1.5362369225613293e-06
1979,1.603440701103409e-06
1980,1.5082705075997183e-06
1981,1.4782809714120049e-06
1982,1.4680742381756318e-06
1983,1.6040902437453042e-06
1984,1.4439531668131167e-06
1985,1.5249439400122355e-06
1986,1.4452704490963697e-06
1987,1.4323755053169407e-06
1988,1.6742378221579202e-06
1989,1.5904578560821392e-06
1990,1.4553347043033682e-06
1991,1.5280839846809613e-06
1992,1.5532532486872697e-06
1993,1.5603947502995652e-06
1994,1.5249813003492818e-06
1995,1.4738221096877169e-06
1996,1.448224445255164e-06
1997,1.612043547538633e-06
1998,1.6397596596107178e-06
1999,1.6407022087605583e-06
2000,1.6262773812059095e-06
2001,1.673184762296387e-06
2002,1.5921358524906282e-06
2003,1.5246770885823935e-06
2004,1.5496055283392707e-06
2005,1.700615868571731e-06
2006,1.540914425390838e-06
2007,1.4691695682245154e-06
2008,1.3253410031666135e-06
2009,1.2239949995773713e-06
2010,1.1450474843854863e-06
2011,9.29990001452552e-07
2012,8.279142420519747e-07
2013,9.123228252860827e-07
2014,1.0277202484587633e-06
2015,9.690867344147591e-07
2016,9.134609548766548e-07
2017,8.296486377901147e-07
2018,8.283926717922441e-07
2019,9.163148000368437e-07
