year,mauvais_ADJ auteurs_NOUN,mauvais_ADJ moteurs_NOUN
1800,1.7292904752608251e-07,0.0
1801,1.0239084957675004e-07,0.0
1802,3.8043282302169246e-08,0.0
1803,1.2872239096850535e-07,0.0
1804,1.730295640101076e-07,0.0
1805,1.2224374756897305e-07,0.0
1806,8.933174200365102e-08,0.0
1807,1.252660219996926e-07,0.0
1808,1.3369836437959748e-07,0.0
1809,1.7394535234416253e-07,0.0
1810,2.2699229251799125e-07,0.0
1811,9.777599707661011e-08,0.0
1812,5.067695596494559e-08,0.0
1813,3.767221508077512e-07,0.0
1814,5.664018765116907e-08,0.0
1815,3.776112933451259e-08,0.0
1816,1.1588019788177917e-07,0.0
1817,1.821541957269801e-07,0.0
1818,1.6928072454902576e-07,0.0
1819,9.833497216504838e-08,0.0
1820,1.044250339532482e-07,0.0
1821,2.199111861500569e-07,0.0
1822,1.373509377344817e-07,0.0
1823,1.096978223813494e-07,0.0
1824,1.0610602174665473e-07,0.0
1825,1.2767892765275235e-07,0.0
1826,7.662946188702335e-08,0.0
1827,1.0968555130830282e-07,0.0
1828,4.953042775923677e-08,0.0
1829,1.5260253860560624e-07,0.0
1830,1.033246732617954e-07,0.0
1831,5.612834086399232e-08,0.0
1832,5.68258712307923e-08,0.0
1833,7.29768601104297e-08,1.1583628500844156e-09
1834,5.600718466780563e-08,0.0
1835,4.9916380362446944e-08,0.0
1836,2.9571300075303952e-08,0.0
1837,6.192522761239161e-08,0.0
1838,6.817134590164642e-08,0.0
1839,4.61437359433603e-08,0.0
1840,4.58617570586739e-08,6.369688665408546e-10
1841,2.5682194149112547e-08,0.0
1842,3.152884531232303e-08,0.0
1843,2.8943864194275193e-08,0.0
1844,3.2931367854871496e-08,0.0
1845,2.9575208060350633e-08,0.0
1846,3.1614305839866574e-08,0.0
1847,2.2651539310913904e-08,0.0
1848,1.206783295515379e-08,0.0
1849,2.3462362719328667e-08,0.0
1850,1.8330290174617403e-08,0.0
1851,3.0957306051959677e-08,1.9348316282474798e-09
1852,4.1667489236729693e-08,6.510545436100301e-10
1853,5.0761421732659073e-08,0.0
1854,1.9223959313308114e-08,2.0782657816909023e-09
1855,3.3964397516683675e-08,0.0
1856,4.7630141608578924e-08,0.0
1857,3.7099468386259105e-08,1.4644527812635033e-09
