year,leurs_DET ondes_NOUN,leurs_DET mondes_NOUN
1800,4.96778000069753e-07,9.432493897065797e-09
1801,3.4527146874907544e-07,0.0
1802,2.3273537408385891e-07,2.2378401354217203e-09
1803,3.3155766665515785e-07,1.950339223455444e-09
1804,4.226865257805912e-07,7.4155526164076946e-09
1805,3.2977381847487663e-07,0.0
1806,2.362968700708734e-07,0.0
1807,2.391442421867396e-07,5.693910232196231e-09
1808,2.923235342677799e-07,0.0
1809,1.784634093837667e-07,0.0
1810,2.971960952891095e-07,0.0
1811,3.7606152503144585e-07,1.0028307073639553e-08
1812,1.440292436427626e-07,0.0
1813,2.1280487771946355e-07,0.0
1814,2.611742022651242e-07,0.0
1815,2.481445724455966e-07,2.697223555614414e-09
1816,2.3407798721564177e-07,1.8540831092650478e-08
1817,1.665854512111764e-07,6.227493631882908e-09
1818,2.1219695156560192e-07,7.152706427149269e-09
1819,1.428444846851562e-07,1.5526575580793178e-08
1820,1.495176604748849e-07,0.0
1821,1.7356219927933125e-07,4.930744257336528e-09
1822,1.954995099140433e-07,3.0076847679083585e-09
1823,1.4725203811849497e-07,1.2847492847356534e-08
1824,2.1979104758429457e-07,6.736890156844311e-09
1825,2.4919402785705813e-07,8.805443041381977e-10
1826,3.1268345468404846e-07,6.1655889282974385e-09
1827,1.2904182256079366e-07,2.7651818612639545e-09
1828,1.917010952756648e-07,1.4675682002973645e-08
1829,1.3031227941162626e-07,1.1145129263923081e-08
1830,1.3880991511783236e-07,9.39315203396518e-09
1831,1.2784788339104125e-07,4.677361609140007e-09
1832,2.489514372427948e-07,2.705993873419743e-09
1833,1.633291617508803e-07,2.3167257001688313e-09
1834,1.9229133840781287e-07,1.8669061851994684e-09
1835,1.9890921976184472e-07,3.781543966852041e-09
1836,1.8414854707771156e-07,8.736974699274924e-09
1837,1.4263675907066897e-07,4.174734669071256e-09
1838,1.5969769506796183e-07,6.312161904276081e-09
1839,1.2165166840549801e-07,1.3283802502428443e-08
1840,1.3440043317158867e-07,5.0957510988602905e-09
1841,1.9004823359480838e-07,1.2841097074556274e-09
1842,1.5630258243248818e-07,0.0
1843,1.943373746371435e-07,1.2404512972352677e-08
1844,1.0428266250528395e-07,3.841993001518773e-09
1845,1.367155897935568e-07,2.2320911785556063e-09
1846,1.1123552212666254e-07,6.439951683034906e-09
1847,1.10561081179128e-07,1.1325769655456952e-08
1848,1.2067832244611054e-07,0.0
1849,1.592088869628583e-07,5.865590679832167e-09
1850,1.8805519630404888e-07,1.1541293254424545e-08
1851,1.3092360351407706e-07,1.9348316282474798e-09
1852,1.4127883218861825e-07,1.9531636308300904e-09
1853,1.1107793085329831e-07,5.971931837933653e-10
1854,1.1586331877255773e-07,7.27393034694046e-09
1855,1.6026949367642374e-07,3.1841622671890946e-09
1856,1.0820325585525481e-07,2.0708757375587084e-08
1857,1.5230307703895107e-07,1.4644527812635033e-09
1858,1.512145838544754e-07,4.404308417971237e-09
1859,1.629495471888731e-07,3.5645213447565993e-09
1860,1.2541484392669666e-07,9.154367819341758e-10
1861,1.3251857416962665e-07,5.659156698811785e-09
1862,1.7123168308263992e-07,1.8071945051545413e-09
1863,1.2586444597673108e-07,5.9935452156878455e-09
1864,1.385676440257555e-07,8.63051052846231e-09
1865,1.228486310456134e-07,1.506190216993275e-08
1866,9.00138375503623e-08,1.4596838737723772e-09
1867,1.0967353603064112e-07,5.338092634588065e-09
1868,9.435159142867633e-08,1.975949626142892e-09
1869,9.425191738188232e-08,1.3185501579471293e-08
1870,1.5997996349881305e-07,1.0894692703544706e-08
1871,8.072094459521395e-08,1.0621177271019633e-09
1872,1.3848406488214948e-07,1.2699412854644265e-08
1873,4.9085237374679735e-08,8.979006871356887e-09
1874,8.902167536462002e-08,1.0754296120296658e-08
1875,7.266339707712177e-08,3.432916173551348e-09
1876,8.403960549685507e-08,1.813804439976252e-09
1877,5.133397351642088e-08,3.0924081073635534e-09
1878,8.33394268595633e-08,6.039088673581716e-09
1879,8.430869036235578e-08,1.221865097988939e-08
1880,7.57305838039457e-08,4.492492378105339e-09
1881,7.669758161910067e-08,6.972507571312292e-10
1882,6.721938916598447e-08,6.655385353937504e-09
1883,6.382532247162231e-08,1.8958017378167824e-09
1884,7.856019568208694e-08,3.300848483434038e-09
1885,5.801071978339678e-08,1.9336907075562237e-09
1886,6.905206362262106e-08,6.453463874400711e-10
1887,7.704130911001528e-08,3.9173548849191775e-09
1888,7.16489472196713e-08,3.1703073499755874e-09
1889,6.57839365203472e-08,1.8795409673089125e-09
1890,7.930807299771914e-08,1.9663159989136147e-09
1891,5.86428245963333e-08,5.099376032546843e-09
1892,7.710270089056337e-08,6.2685125978845235e-09
1893,6.34316919545519e-08,6.158416554491453e-10
