year,vastes_ADJ marchés_NOUN
1800,0.0
1801,1.6668277424969347e-08
1802,1.5664880947952042e-08
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.1700633351097167e-08
1811,0.0
1812,0.0
1813,0.0
1814,2.5173417128598885e-08
1815,1.6183340889597275e-08
1816,0.0
1817,1.401186100480345e-08
1818,0.0
1819,0.0
1820,0.0
1821,3.94459531705138e-09
1822,9.023054303725075e-09
1823,1.4824030003524058e-08
1824,3.3684450784221553e-09
1825,7.924898959288385e-09
1826,8.807984341885344e-10
1827,9.217273055917019e-10
1828,2.4765213879618386e-08
1829,1.5431716349212365e-08
1830,2.0873671680021744e-09
1831,9.354723218280014e-09
1832,1.352996914505411e-08
1833,1.50587169400751e-08
1834,3.733812370398937e-09
1835,9.075705520444899e-09
1836,0.0
1837,2.7831563720326358e-09
1838,3.787297142565649e-09
1839,0.0
1840,5.095750932326837e-09
1841,1.4125206782011901e-08
1842,2.2137275124123335e-08
1843,1.9492807368237663e-08
1844,1.3172547497219966e-08
1845,2.0088821273134272e-08
1846,2.517435504501009e-08
1847,2.3730184040005042e-08
1848,2.011305433313737e-08
1849,2.76520690789539e-08
1850,2.7834882843080777e-08
1851,1.483370937194195e-08
1852,2.018269107395554e-08
1853,5.3747388761848924e-09
1854,2.0782657816909023e-09
1855,4.2455496895854594e-09
1856,1.1389816201301528e-08
1857,6.345961978126979e-09
1858,8.808616946964776e-09
1859,1.6804172275897145e-08
1860,1.6935580049448618e-08
1861,8.017138064531082e-09
1862,3.298130124562704e-08
1863,2.3974180862751382e-08
1864,1.3904711160250827e-08
1865,1.0825742080555756e-08
1866,1.4596838404656864e-08
1867,1.1161466417775046e-08
1868,9.87974857480367e-09
1869,2.6859355628516823e-08
1870,3.4404292748035914e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,1.9155214303623325e-08
1874,1.1949218503559678e-08
1875,1.0298748520654044e-08
1876,2.478866001354163e-08
1877,6.80329748092845e-09
1878,1.7513357875031943e-08
1879,1.4051448005147904e-08
1880,1.9895322722618403e-08
1881,9.064259565150223e-09
1882,7.986462158271479e-09
1883,1.0742875922176154e-08
1884,1.4523733327109767e-08
1885,1.933690718658454e-08
1886,1.7424351739236954e-08
1887,1.5016526688782506e-08
1888,1.0779045211961602e-08
1889,1.2530273707511697e-08
1890,1.1142456735058204e-08
1891,2.932141285327816e-08
1892,1.6924984080901595e-08
1893,4.310891643655168e-09
1894,2.5836310868498913e-08
1895,9.629783193076946e-09
1896,1.1794058174530164e-08
1897,7.574727511894253e-09
1898,1.810673566637888e-08
1899,3.8693048765026106e-09
1900,8.30568502863116e-09
1901,1.2854099118442264e-08
1902,8.347482705062248e-09
1903,1.1340462791054051e-08
1904,1.7198800605910947e-08
1905,1.4450125540577119e-08
1906,1.388929860013377e-08
1907,2.1599941391059474e-08
1908,9.822778146428846e-09
1909,5.5009836685826485e-09
1910,6.412980813053082e-09
1911,1.8089272302290738e-08
1912,1.3023552902780011e-08
1913,2.121195885607108e-09
1914,1.5402511266415786e-08
1915,8.246533234057551e-09
1916,7.69122365795738e-09
1917,1.973956464951243e-08
1918,1.378365155346728e-08
1919,5.524709134618888e-09
1920,3.028892692213958e-09
1921,6.058197943303867e-09
1922,7.377935595798135e-09
1923,1.8047112249064412e-08
1924,1.1602462102189293e-08
1925,5.499089184013428e-09
1926,1.5604593173179637e-08
1927,1.6723836537835268e-08
1928,1.4853853258500749e-08
1929,1.4482528065684619e-08
1930,1.8906487042613662e-08
1931,2.2810713318222042e-08
1932,1.8631212128639163e-08
1933,2.982372038218273e-08
1934,1.0783422155213884e-08
1935,1.6755597798123745e-08
1936,2.424942913137329e-08
1937,1.3850230295986421e-08
1938,1.6854778905894818e-08
1939,1.070583532936098e-08
1940,1.2678914806940611e-08
1941,8.854508237732261e-09
1942,2.1239483061208375e-08
1943,1.1612940831184915e-08
1944,2.8918675454292497e-08
1945,2.3963544037997053e-08
1946,2.5057987684817817e-08
1947,2.1457568166738383e-08
1948,1.4133454406817236e-08
1949,3.6322930441201606e-08
1950,2.0207187034770868e-08
1951,2.2388944032059044e-08
1952,2.4253049346611988e-08
1953,3.878577814475648e-08
1954,3.224936762080688e-08
1955,4.6928040120519654e-08
1956,2.9651880950609666e-08
1957,2.8272120644601273e-08
1958,3.6397871383542224e-08
1959,4.650448559573306e-08
1960,4.014083287984249e-08
1961,5.002674541287888e-08
1962,5.644341172228451e-08
1963,4.849539791962343e-08
1964,4.6846555079582686e-08
1965,3.1190648286383293e-08
1966,4.265087483190655e-08
1967,3.451235031093347e-08
1968,4.4015873612579526e-08
1969,4.7688455850902756e-08
1970,5.28853369985427e-08
1971,4.4704059121158934e-08
1972,5.181448159419233e-08
1973,2.9771300091852027e-08
1974,2.5315072704756858e-08
1975,2.1703623787061588e-08
1976,3.828062844490887e-08
1977,3.0559267116814226e-08
1978,4.81187889533885e-08
1979,4.330460257051527e-08
1980,3.9227540327146926e-08
1981,2.6567308353264707e-08
1982,4.034876610603533e-08
1983,5.7469375036589554e-08
1984,3.595385322796574e-08
1985,4.2108904807491854e-08
1986,3.476801424540099e-08
1987,3.238733015109574e-08
1988,4.4374498742172364e-08
1989,3.896566624916886e-08
1990,3.868542108875772e-08
1991,3.458264430378222e-08
1992,3.8018615811097334e-08
1993,3.212740296021366e-08
1994,4.0616935592652226e-08
1995,5.53089982702204e-08
1996,4.217092808289635e-08
1997,3.5002731380018304e-08
1998,3.480734278582531e-08
1999,2.9249287436527993e-08
2000,4.152949628632996e-08
2001,4.687896648647438e-08
2002,2.1906107150471144e-08
2003,3.4168767371056674e-08
2004,2.99525808600265e-08
2005,3.1526248278623825e-08
2006,2.84134404893166e-08
2007,2.3966876483427768e-08
2008,2.5970381400952647e-08
2009,2.7178696626606325e-08
2010,3.212179322531483e-08
2011,1.911985947344874e-08
2012,2.0765941854961056e-08
2013,1.812931316180766e-08
2014,2.273717392142771e-08
2015,1.7289288223309995e-08
2016,2.009199917551996e-08
2017,8.804639684001359e-09
2018,1.755397427416483e-08
2019,1.3010037491767434e-08
