year,ces_DET arrêts_NOUN,ces_DET marais_NOUN
1800,1.4463156361443907e-07,6.759953663504348e-07
1801,2.047816956007864e-07,7.238795021180522e-07
1802,3.2448681963614945e-07,8.414278909185668e-07
1803,4.661310697429144e-07,7.294268513646784e-07
1804,3.8066504259859357e-07,7.267242025932319e-07
1805,3.212451815670647e-07,6.140615624872225e-07
1806,4.005520111149963e-07,6.656655813230827e-07
1807,1.8647555748430023e-06,8.882499997753257e-07
1808,2.1391738016518502e-06,6.0957389358407e-07
1809,1.972133674144061e-06,8.96835111063865e-07
1810,1.848700151185767e-06,4.516444587210344e-07
1811,6.518399757737825e-07,7.120097791357693e-07
1812,3.051286171285028e-06,9.01516372664446e-07
1813,2.4731377550324396e-06,5.86651310641173e-07
1814,6.670955450260863e-07,6.230420872554987e-07
1815,1.7397092477722254e-06,6.931864398040943e-07
1816,5.84036158102208e-07,3.5227577654950437e-07
1817,5.869412831316367e-07,3.798771164298387e-07
1818,5.51950513738575e-07,6.497041553643612e-07
1819,1.275249360332964e-06,4.026558535485947e-07
1820,7.962408687944844e-07,3.5836773548680867e-07
1821,6.508581975595007e-07,3.471243896768783e-07
1822,1.0286282048355133e-06,8.190928042495216e-07
1823,8.469462642324288e-07,5.336650801268661e-07
1824,1.1461134334922463e-06,6.38320347690069e-07
1825,1.7258668378872244e-06,5.53862378183112e-07
1826,2.1024659133672685e-06,6.130356986489005e-07
1827,3.226967265845815e-06,3.8989065842542914e-07
1828,2.7397663586725685e-06,6.301371175965187e-07
1829,2.0849964101898877e-06,5.03245431104915e-07
1830,1.8013978149156173e-06,4.0390555255953586e-07
1831,1.3767034374723153e-06,3.9601663459620795e-07
1832,1.773778933511494e-06,3.396022343338245e-07
1833,1.1062365246061745e-06,4.6797858388458735e-07
1834,1.0716041742853122e-06,4.4619058314765425e-07
1835,9.136210223914532e-07,4.908444140028223e-07
1836,9.839178076731514e-07,4.321442332866354e-07
1837,8.57907949125547e-07,4.1538608286373346e-07
1838,8.666598461104513e-07,4.94242286208646e-07
1839,1.2787407683845231e-06,4.635348140880069e-07
1840,1.0484507697583467e-06,3.821813177040667e-07
1841,1.1101128336576949e-06,3.961478469705071e-07
1842,1.2168792693501018e-06,3.1730094818271937e-07
1843,8.99031846302023e-07,3.839492084267704e-07
1844,1.433612240475668e-06,5.164736229801292e-07
1845,1.287916617798146e-06,3.3927786802223636e-07
1846,1.203685428663448e-06,3.776153469914334e-07
1847,1.7592695513712897e-06,4.5626672218190834e-07
1848,1.16333903577015e-06,5.736243267051577e-07
1849,1.537622651426318e-06,3.737219085309107e-07
1850,1.0556888554447141e-06,3.4963330364234935e-07
1851,1.1028539859125885e-06,3.411753048965238e-07
