year,vingt - six mètres
1800,1.0334305855508319e-08
1801,2.614982896886886e-09
1802,1.7244529360027627e-08
1803,9.214279117486512e-08
1804,1.0873621647533582e-07
1805,7.493364506672151e-08
1806,5.3718839154726084e-08
1807,3.4264434844999414e-08
1808,7.470443819102002e-09
1809,6.671589858342486e-08
1810,5.1285806712542126e-09
1811,2.7593034523931692e-09
1812,0.0
1813,4.720598312246693e-08
1814,0.0
1815,5.9128351104220656e-09
1816,6.332852109380838e-08
1817,1.7061235757509507e-09
1818,7.428940307363519e-08
1819,9.044872406605009e-09
1820,1.2948726535455535e-09
1821,4.1041221976456654e-08
1822,1.6447144091102928e-08
1823,3.454679031733576e-08
1824,2.2968846380422292e-08
1825,1.5377127127180756e-08
1826,5.381930989756256e-08
1827,3.72244208790562e-08
1828,1.4032351280945932e-08
1829,1.4048240792874367e-08
1830,1.597948973142138e-08
1831,1.88259310363037e-08
1832,2.223940853696149e-08
1833,1.774329128068075e-08
1834,3.8869224283644144e-08
1835,3.236846168874763e-08
1836,1.5421328214415553e-08
1837,1.8977470261916096e-08
1838,1.238803726266724e-08
1839,2.3691994144314776e-08
1840,3.479269494732762e-08
1841,3.088707600795715e-08
1842,1.6137457592435567e-08
1843,1.484460998568693e-08
1844,1.7353524839336387e-08
1845,2.0131334821371638e-08
1846,1.0891228363618666e-08
1847,1.5315558599127144e-08
1848,1.233262292288373e-08
1849,8.256789918448248e-09
1850,2.3033205565070602e-08
1851,2.0469849815185626e-08
1852,3.780771962169638e-08
1853,2.0918534460179217e-08
1854,7.38813898948365e-09
1855,1.8035143156680533e-08
1856,7.372482180301176e-09
1857,1.3909213336660287e-08
1858,2.2516148945328496e-08
1859,1.6165355276598348e-08
1860,1.8064735485268102e-08
1861,3.666329106977173e-08
1862,7.030541127051038e-08
1863,2.1382192016972112e-08
1864,2.992237568832934e-08
1865,3.663319958491229e-08
1866,2.45608084981086e-08
1867,2.5551992521855027e-08
1868,2.163964651913375e-08
1869,1.9286325425582618e-08
1870,1.0681589834860006e-08
1871,1.2831418594316801e-08
1872,3.250420732570092e-08
1873,2.427356982082074e-08
1874,1.900997581572028e-08
1875,3.0177456977753536e-08
1876,1.992249387683387e-08
1877,2.6549484388738165e-08
1878,1.528772664016742e-08
1879,2.5538010817172108e-08
1880,2.1200948552291266e-08
1881,1.6905664423916278e-08
1882,1.758631995585347e-08
1883,3.065308362693031e-08
1884,1.8187105155220706e-08
1885,3.266958614744908e-08
1886,2.4178973490052158e-08
1887,3.2411808348342674e-08
1888,1.9569254661178093e-08
1889,3.802734127589247e-08
1890,2.0241129661258128e-08
1891,2.2487062878440156e-08
1892,1.3142658517040218e-08
1893,1.9020237829181497e-08
1894,1.3221738370816638e-08
1895,9.962936253771204e-09
1896,2.341567473251871e-08
1897,7.730209361511697e-09
1898,8.115370597749916e-09
1899,1.5251025331508572e-08
1900,1.3192810399687005e-08
1901,5.550611525961813e-09
1902,1.3517881036761992e-08
1903,7.1531909284772155e-09
1904,8.309317678367734e-09
1905,3.988527286225008e-09
1906,1.02161825665803e-08
1907,9.093903408086135e-09
1908,1.0849729115136597e-08
1909,1.516516334731932e-08
1910,1.0027209285112804e-08
1911,7.633353504843399e-09
1912,6.897265869554303e-09
1913,2.1649070092166767e-08
1914,1.034123098264672e-08
1915,1.6884525777527415e-08
1916,4.837344302899282e-09
1917,4.82440931648398e-09
1918,6.318848111419584e-09
1919,6.080967729360509e-09
1920,4.171688328113987e-09
1921,5.849871698160314e-09
1922,2.4431661138635263e-09
1923,7.038848615081861e-09
1924,1.7098868099196807e-08
1925,1.5840742051409507e-08
1926,8.641992010893773e-09
1927,1.3576948454385729e-08
1928,7.590990946937382e-09
1929,1.1108364006418014e-08
1930,1.0463214294986756e-08
1931,3.788563684992141e-09
1932,4.8515280681726836e-09
1933,7.612786845356823e-09
1934,5.309670481068451e-09
1935,5.305495598406651e-09
1936,1.0737834621465936e-08
1937,1.394759063799711e-08
1938,1.147528916334295e-08
1939,6.776870176139482e-09
1940,5.629229971049199e-09
1941,3.2809635008845817e-09
1942,6.728790857835065e-09
1943,1.6056864282631977e-08
1944,1.419780204514609e-08
1945,1.9223696412495883e-08
1946,2.1556303408942767e-08
1947,1.316782771709768e-08
1948,6.016032561007023e-09
1949,9.734467454336482e-09
1950,1.176276409609045e-08
1951,3.5397178521634487e-09
1952,4.672112918768789e-09
1953,1.1908261043913626e-08
1954,7.564706194784776e-09
1955,7.271478530412878e-09
1956,1.5435025702004168e-08
1957,6.845143563083411e-09
1958,1.0978702391639672e-08
1959,9.431857073138872e-09
1960,1.4541394754985504e-08
1961,5.367690292246152e-09
1962,8.393109318660663e-09
1963,7.845401661654705e-09
1964,1.00669694802491e-08
1965,1.5084658855357702e-08
1966,1.1610092442992936e-08
1967,5.9750751013609715e-09
1968,8.399588580232376e-09
1969,1.7973865951148582e-08
1970,4.046301960158871e-09
1971,9.63276480803188e-09
1972,7.914206179293615e-09
1973,9.139922596546057e-09
1974,8.707005783037403e-09
1975,3.157783368124001e-09
1976,1.1360462792708859e-08
1977,5.1957287361403814e-09
1978,3.2717348830146875e-09
1979,7.729734186057158e-09
1980,8.140167651049524e-09
1981,8.355391045711258e-09
1982,8.182457378325125e-09
1983,9.024510916333384e-09
1984,7.641757449050601e-09
1985,5.2867310529336464e-09
1986,5.9251892281508844e-09
1987,9.399151679190254e-09
1988,7.244394861771752e-09
1989,1.3261174380829743e-08
1990,8.954993191423455e-09
1991,1.4145834725809436e-08
1992,7.845546434737116e-09
1993,1.334535770780576e-08
1994,8.08271849450648e-09
1995,5.335972108611031e-09
1996,9.333651185272629e-09
1997,1.2038752217335968e-08
1998,7.803840240683257e-09
1999,1.0967314167942277e-08
2000,8.189499745014928e-09
2001,1.0510427195242755e-08
2002,6.205350011612154e-09
2003,1.0437243957994724e-08
2004,4.796653740868351e-09
2005,9.809870249455344e-09
2006,1.1218546092095494e-08
2007,8.289745778711222e-09
2008,7.90302490116801e-09
2009,1.7211799985261678e-08
2010,1.501290292083013e-08
2011,7.553567549223317e-09
2012,1.5373217365777236e-08
2013,1.2628797563252192e-08
2014,1.7724147483022534e-08
2015,1.2502224144839147e-08
2016,1.6735162589043284e-08
2017,8.645961280251413e-09
2018,1.0886976653523561e-08
2019,1.3879255966742221e-08
