year,grands_ADJ arbres_NOUN,grands_ADJ marbres_NOUN
1800,3.9176288737508e-06,0.0
1801,2.4835733256622916e-06,0.0
1802,2.3832997158024227e-06,8.951360541686881e-09
1803,4.797834662895184e-06,1.950339223455444e-09
1804,3.3666610761429183e-06,0.0
1805,3.5393827602092642e-06,1.1371510844071508e-08
1806,1.7347648508803104e-06,0.0
1807,2.2974927560426295e-06,0.0
1808,2.1391738300735597e-06,0.0
1809,3.1355343708128203e-06,0.0
1810,1.631068357710319e-06,0.0
1811,2.0783666059287498e-06,4.011322829455821e-08
1812,1.9630651877378114e-06,1.3336041604361526e-08
1813,1.5040128573673428e-06,0.0
1814,7.520558256146614e-07,0.0
1815,1.348611817775236e-06,0.0
1816,2.998979425683501e-06,0.0
1817,2.3384238829748938e-06,0.0
1818,2.453378328937106e-06,0.0
1819,1.4926214362276369e-06,0.0
1820,2.0291681721573696e-06,0.0
1821,1.3105917560096714e-06,0.0
1822,1.2040765113852103e-06,3.0076847679083585e-09
1823,1.916253040690208e-06,0.0
1824,1.1031658004867495e-06,0.0
1825,1.5233416661430965e-06,0.0
1826,2.0011741526104743e-06,1.0569580766173203e-08
1827,1.6065706631707144e-06,2.7651818612639545e-09
1828,1.4070310498937033e-06,0.0
1829,1.7797913187678205e-06,4.286587973467704e-09
1830,1.7753058045855141e-06,0.0
1831,1.6277218719551456e-06,3.1182412207897414e-09
1832,1.861723831098061e-06,2.705993873419743e-09
1833,2.859997948689852e-06,6.950177322551099e-09
1834,1.91357889889332e-06,0.0
1835,2.0125376067881007e-06,2.2689263801112247e-09
1836,1.729248992887733e-06,6.048674894287842e-09
1837,1.475072849643766e-06,0.0
1838,1.59634578267287e-06,2.5248647617104325e-09
1839,1.7038224768839427e-06,2.0974426639952526e-09
1840,1.4452823506871937e-06,8.280594876453051e-09
1841,1.8799365761879017e-06,3.2102742686390684e-09
1842,1.767627850313147e-06,2.0124795163667386e-09
1843,1.5487920563828084e-06,0.0
1844,1.6580943338340148e-06,5.488561272137815e-10
1845,1.5429329778271494e-06,8.928364714222425e-09
1846,1.6931218169702333e-06,5.854501328173001e-10
1847,1.3936089544586139e-06,1.0786447290911383e-09
1848,1.4272222870204132e-06,0.0
1849,1.7110764929384459e-06,3.3517659758786067e-09
1850,1.5804782833583886e-06,2.0366988096043315e-09
1851,1.636222577872104e-06,2.3217978650791338e-08
1852,1.5683904166508e-06,1.3021090872200602e-08
1853,1.779038484528428e-06,1.7915795513800958e-09
1854,1.7727606973494403e-06,5.195664454227256e-10
1855,1.8022358290181728e-06,5.306937111981824e-10
1856,1.600786958988465e-06,3.1063134287023786e-09
1857,1.6719168343115598e-06,5.369659827891837e-09
1858,1.834639192566101e-06,0.0
1859,1.8734106106421677e-06,9.165912473463322e-09
1860,2.0679717636085115e-06,2.746310290291376e-09
1861,1.9491078546707286e-06,3.772770984511453e-09
