year,devrez_VERB être_VERB,devrez_VERB mettre_VERB
1800,2.2009151834367913e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,6.051504897186533e-08,0.0
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,2.3401266702194334e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,9.536941902865692e-09,1.1921177378582115e-09
1819,0.0,0.0
1820,2.4919611263385377e-08,0.0
1821,1.1833785507064931e-08,0.0
1822,1.604098542884458e-08,0.0
1823,0.0,0.0
1824,5.052667617633233e-09,0.0
1825,2.8177417732422327e-08,0.0
1826,4.932471142637951e-08,0.0
1827,3.6869092223668076e-09,1.8434546111834038e-09
1828,3.668920500743411e-09,9.172301140836225e-09
1829,0.0,2.571952872898464e-09
1830,2.1917355041978226e-08,2.0873671680021744e-09
1831,6.236482441579483e-09,0.0
1832,0.0,0.0
1833,6.950177322551099e-09,0.0
1834,4.667265685043276e-09,0.0
1835,1.739510224751939e-08,4.5378527602224494e-09
1836,2.2850549896702432e-08,6.720750067579218e-10
1837,1.0436836284100082e-08,2.0873671680021744e-09
1838,8.837027110075724e-09,6.312161904276081e-10
1839,1.7478688718597368e-08,6.9914751765765e-10
1840,3.821813088222825e-09,6.369688665408546e-10
1841,1.6051371787284552e-08,5.1364388298225094e-09
1842,1.609983613093391e-08,0.0
1843,9.451057714215949e-09,5.906911071384968e-10
1844,9.330554107123135e-09,1.097712254427563e-09
1845,3.9061593959388574e-09,1.674068439427856e-09
1846,2.9272506640865004e-09,0.0
1847,3.775256551818984e-09,1.0786447290911383e-09
1848,2.172209789819135e-08,0.0
1849,1.4245005175439474e-08,8.379414939696517e-10
1850,1.0862393651223101e-08,2.0366988096043315e-09
1851,1.3543821175687754e-08,0.0
1852,6.510545436100301e-09,6.510545436100301e-10
1853,1.1943863675867306e-08,1.7915795513800958e-09
1854,1.1430461910322265e-08,2.5978321716024766e-09
1855,6.368324534378189e-09,0.0
1856,7.248064815001953e-09,4.141751386299575e-09
1857,6.345961978126979e-09,1.4644527812635033e-09
1858,1.4191660291373864e-08,9.787352039936081e-10
1859,4.582956236731661e-09,0.0
1860,4.57718396518203e-09,9.154367819341758e-10
1861,9.431927239234028e-09,4.715963730639317e-10
