year,pourrons_VERB être_VERB,pourrons_VERB etre_VERB,pourrons_VERB mettre_VERB
1800,1.5720821977538435e-08,0.0,0.0
1801,5.000483582762172e-08,0.0,2.8574191901498125e-08
1802,7.608656460433849e-08,0.0,0.0
1803,1.1702034896643454e-08,0.0,9.751696339321825e-09
1804,6.179627121127851e-08,0.0,7.4155526164076946e-09
1805,1.1371510844071508e-08,0.0,5.685755422035754e-09
1806,4.610670600868616e-08,0.0,1.152667650217154e-08
1807,9.394951661079176e-08,0.0,5.693910232196231e-09
1808,3.3991110370834576e-08,0.0,2.4926814390369145e-08
1809,5.1957702140725814e-08,0.0,6.7770917766551975e-09
1810,2.8081521108447305e-08,0.0,0.0
1811,5.0141535368197765e-09,0.0,0.0
1812,8.00162425207418e-09,0.0,1.0668832928217853e-08
1813,4.601186631703058e-08,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,0.0,6.293354282149721e-09
1815,7.012781111370714e-08,0.0,5.394447111228828e-09
1816,2.3176038865813098e-08,0.0,3.476405652236281e-08
1817,3.7364962679475866e-08,0.0,9.341240669868967e-09
1818,9.536941902865692e-09,0.0,1.5497530370112145e-08
1819,2.5877625375869684e-08,0.0,5.175524897538253e-09
1820,7.594547923872597e-08,0.0,4.746592452420373e-09
1821,3.8459806006585495e-08,0.0,3.944595405869222e-08
1822,7.118187284049782e-08,0.0,7.017931125119503e-09
1823,6.81905376609393e-08,0.0,1.9765373782121287e-09
1824,8.926379280183028e-08,0.0,2.863178316658832e-08
1825,7.660735690251386e-08,0.0,5.195211372210906e-08
1826,3.170874407487645e-08,0.0,7.927186018719112e-09
1827,4.055600300034712e-08,0.0,1.935627302884768e-08
1828,4.953042775923677e-08,0.0,3.393751413227619e-08
1829,6.515613648616636e-08,0.0,7.715858174606183e-09
1830,5.844628248041772e-08,0.0,2.1917355041978226e-08
1831,6.704218691311326e-08,0.0,3.274153215215847e-08
1832,5.817886972181441e-08,0.0,2.976593194148336e-08
1833,6.370995464521911e-08,0.0,9.266902800675325e-09
1834,6.534171603789218e-08,0.0,1.213489042584115e-08
1835,6.504255622985511e-08,0.0,5.445423312266939e-08
1836,4.771732520225669e-08,0.0,3.2259599436201825e-08
1837,7.027470161347082e-08,0.0,1.6698937344017395e-08
1838,4.418513199766494e-08,0.0,8.837027110075724e-09
1839,4.61437359433603e-08,0.0,2.307186797168015e-08
1840,6.624475901162441e-08,0.0,1.3376346252869098e-08
1841,3.338685417020315e-08,0.0,2.43980835534785e-08
1842,4.8299508392801727e-08,0.0,2.4149754196400863e-08
1843,5.0208743829216473e-08,0.0,2.7171790151214736e-08
