year,nouveaux_ADJ êtres_NOUN,nouveaux_ADJ etres_NOUN,nouveaux_ADJ mètres_NOUN
1800,1.2576657582030748e-07,0.0,9.432493897065797e-09
1801,1.1905913055443307e-07,0.0,0.0
1802,1.1189200677108602e-07,0.0,0.0
1803,4.05670562031446e-07,0.0,0.0
1804,4.943701981119375e-08,0.0,2.4718509461507665e-09
1805,1.648869130121966e-07,2.842877711017877e-09,2.842877711017877e-09
1806,8.35684019762084e-08,0.0,5.76333825108577e-09
1807,1.195721210933698e-07,0.0,0.0
1808,1.359644414833383e-07,2.2660739951163578e-09,4.5321479902327155e-09
1809,7.90660692473466e-08,2.259030518203531e-09,0.0
1810,5.3822915901946544e-08,0.0,0.0
1811,3.259199843341776e-08,1.2535384286138651e-08,0.0
1812,1.0935553973467904e-07,0.0,2.6672082320544632e-09
1813,4.601186631703058e-08,0.0,0.0
1814,5.664018942752591e-08,0.0,0.0
1815,1.4025562222741428e-07,0.0,2.697223555614414e-09
1816,5.3304887615013286e-08,0.0,0.0
1817,4.483795521537104e-07,0.0,0.0
1818,2.22926018977887e-07,0.0,2.384235475716423e-09
1819,1.2835302243274782e-07,2.070210003424222e-09,0.0
1820,1.4714436247231788e-07,1.1866481131050932e-09,0.0
1821,1.0058717947458717e-07,0.0,1.97229765852569e-09
1822,1.1429202118051762e-07,0.0,0.0
1823,1.0574474629265751e-07,0.0,2.9648061783404955e-09
1824,6.736890156844311e-08,1.6842225392110777e-09,0.0
1825,7.748789698780456e-08,0.0,8.805443041381977e-10
1826,5.372870504061211e-08,0.0,8.80798456392995e-09
1827,6.636436467033491e-08,0.0,6.452091305675367e-09
1828,7.154395120778645e-08,0.0,3.668920500743411e-09
1829,6.001223340490469e-08,0.0,2.571952872898464e-09
1830,1.3776623575267877e-07,0.0,0.0
1831,7.483778574624012e-08,0.0,0.0
1832,7.982681893281551e-08,0.0,1.3529969367098715e-09
1833,1.1004446776041732e-07,0.0,0.0
1834,7.000897994657862e-08,9.334530925997342e-10,1.213489042584115e-08
1835,9.983276072489389e-08,0.0,9.832014313815307e-09
1836,7.325617445985699e-08,0.0,6.720750067579218e-10
1837,5.914207434898344e-08,6.957890930081589e-10,3.478945576063097e-09
1838,7.763959075646198e-08,0.0,1.8936485712828244e-09
1839,4.055055669027752e-08,0.0,4.194885327990505e-09
1840,7.96211097053856e-08,6.369688665408546e-10,2.5478754661634184e-09
1841,4.943822418113086e-08,0.0,0.0
1842,9.324488559059319e-08,0.0,0.0
1843,8.565021403228457e-08,1.7720733769266417e-09,6.497602011990011e-09
1844,5.708103856250091e-08,5.488561272137815e-10,5.488561272137815e-10
1845,5.970844085823046e-08,5.580227946389016e-10,0.0
1846,1.293844746896866e-07,0.0,0.0
1847,8.305564591637449e-08,0.0,0.0
1848,7.562508130831702e-08,1.6090443422100975e-09,0.0
1849,8.798385664476882e-08,0.0,9.217356655710773e-09
1850,4.616517301769818e-08,0.0,0.0
1851,7.739326690625603e-08,0.0,0.0
