year,aux_ADP ondes_NOUN,aux_ADP mondes_NOUN
1800,1.5720823043352539e-07,5.0306631749208464e-08
1801,2.3335588750228453e-07,2.619300909501021e-08
1802,1.3650824826072494e-07,1.7902721083373763e-08
1803,8.386458461018265e-08,2.3404069793286908e-08
1804,1.87860678790841e-07,3.9549615138412264e-08
1805,1.0802935390685775e-07,1.1371510622026904e-08
1806,1.671368039524168e-07,2.881669125542885e-09
1807,1.195721210933698e-07,1.7081731584767113e-08
1808,1.5409302811519865e-07,2.4926813502190726e-08
1809,1.3780085539316644e-07,2.710836577435316e-08
1810,1.8721013361755467e-07,2.574139434941003e-08
1811,1.2284675676710322e-07,7.521229861140455e-09
1812,1.0935553973467904e-07,2.400487453257938e-08
1813,1.1790540810352468e-07,1.1502966579257645e-08
1814,5.97868634599763e-08,3.1466771410748606e-09
1815,5.39444717784221e-08,5.394447111228828e-09
1816,1.1356259221884102e-07,9.270415546325239e-09
1817,1.71256075987003e-07,1.0898113522728181e-08
1818,1.4424624339426373e-07,1.192117760062672e-08
1819,4.5544620519422097e-08,3.51935712794571e-08
1820,8.899861114741725e-08,4.034603673375159e-08
1821,1.3017164235407108e-07,1.3806083831724436e-08
1822,9.724847416237026e-08,2.3058916553964082e-08
1823,2.065481496948962e-07,3.360113653982921e-08
1824,1.4484314192486636e-07,2.6105449357771704e-08
1825,2.0164463876426453e-07,6.604082458672167e-08
1826,1.2243098135300556e-07,1.4973573492227388e-08
1827,1.843454668915001e-07,9.217273222450473e-09
1828,1.1281930528683759e-07,4.769596595455283e-08
1829,6.687077558353849e-08,1.0287811325060403e-08
1830,1.2106729641025993e-07,2.5048406460115302e-08
1831,2.8843732025052304e-07,2.6505050154668197e-08
1832,1.5288865995444212e-07,2.5706941575442954e-08
1833,1.969216907315996e-07,5.6759779099024854e-08
1834,1.4001795989315724e-07,4.947301368574131e-08
1835,2.208421676641592e-07,3.781543966852041e-08
1836,2.0027835034852615e-07,4.032450107160912e-08
1837,1.6838095873161762e-07,2.7135774516295896e-08
1838,1.836839089719433e-07,2.0830133840021858e-08
1839,1.6639710809229769e-07,1.6080392128969834e-08
1840,1.764403818604876e-07,5.477932418784803e-08
1841,1.5858754442987788e-07,2.5682194149112547e-08
1842,1.663649680239132e-07,4.024958855097793e-08
1843,1.228637529493426e-07,4.2529758159659536e-08
1844,1.201994876964818e-07,1.920996517412732e-08
1845,1.1439467328955288e-07,2.9017186098379e-08
1846,1.6216968945492738e-07,3.45415576141761e-08
1847,1.2889805134363996e-07,3.289866512545814e-08
1848,1.3274615184855065e-07,3.53989756951556e-08
1849,1.5837094924364692e-07,1.843471353346615e-08
1850,1.1473403560557927e-07,2.3761486112050534e-08
1851,1.6123597390560462e-07,4.5791016756169256e-08
1852,1.263045845689703e-07,5.7292800059727256e-08
1853,1.6422811999206033e-07,3.822036265255235e-08
1854,1.465177374981863e-07,3.5330518621812246e-08
1855,1.586774267536839e-07,4.4578271740647324e-08
1856,1.827547810862029e-07,4.089979410704103e-08
1857,1.5035048339662183e-07,7.517524336364545e-08
1858,1.8644905064313377e-07,9.836288444864394e-08
1859,1.5938502384571507e-07,9.216833740666175e-08
1860,1.7759474246759055e-07,3.158256817181737e-08
1861,1.7260426798948458e-07,2.546620420096346e-08
1862,1.8388203670838266e-07,3.027050832216105e-08
1863,2.3724449249584723e-07,4.495158867356963e-08
1864,2.0185804028294285e-07,7.192091944219214e-08
1865,2.1651483450568776e-07,1.1437632085886662e-07
1866,2.1846601860886494e-07,6.033359856161269e-08
1867,2.3827303863299676e-07,4.901339600849042e-08
1868,4.2334721683801035e-07,6.668829721778735e-08
1869,2.4515264840374584e-07,5.7625524352289403e-08
1870,3.1135886047195527e-07,3.7271316255527154e-08
1871,2.1029930508120742e-07,5.735435748555062e-08
1872,3.537693373800721e-07,6.591599699401485e-08
1873,1.98735346568224e-07,1.915521402606757e-08
1874,2.1448846609928296e-07,3.7042577172297086e-08
1875,1.6935720736910298e-07,2.746333060965611e-08
1876,1.438951520160714e-07,3.143927784776679e-08
1877,2.0100652553534104e-07,5.999271601719869e-08
1878,2.2103064623024693e-07,1.72114023921921e-07
1879,1.4540194115397753e-07,6.659164764055703e-08
1880,1.3349119942773768e-07,5.005920011846854e-08
1881,1.5339516323820135e-07,3.765154232837631e-08
1882,1.8302309157114394e-07,2.6621539861437782e-08
1883,1.680944222148817e-07,4.297150424381613e-08
1884,1.4655767088811444e-07,3.366865364284877e-08
1885,2.1399510968800328e-07,1.8692343672910283e-08
1886,1.3616808608452047e-07,4.13021687406534e-08
1887,1.6191733387405094e-07,3.4603299392532705e-08
1888,1.4583413587843097e-07,3.8043687977662444e-08
1889,2.355691455235842e-07,3.32052249585324e-08
1890,2.0711861137279186e-07,2.4251230024141535e-08
1891,3.034128659429314e-07,3.4420788885825004e-08
1892,2.3945717564366475e-07,3.2596265242545996e-08
1893,2.9929904599157453e-07,3.1407923872794896e-08
1894,2.1677294625987997e-07,3.78092355202142e-08
1895,2.5157808636322443e-07,2.9491211694931962e-08
1896,2.2349739481342112e-07,3.007484788986048e-08
1897,2.6919416384885153e-07,3.146425275879494e-08
1898,2.5802097902705157e-07,4.1305989850748404e-08
1899,3.498957141800929e-07,3.040168117252051e-08
1900,2.06603910646308e-07,1.7130474816440255e-08
1901,2.2466730431602855e-07,4.0797793643410074e-08
1902,3.9675093504998316e-07,4.615666782115113e-08
1903,4.849397805539724e-07,1.9980815224585058e-08
1904,2.907672174146114e-07,3.3860137804708756e-08
1905,2.523611053462105e-07,2.631987205958808e-08
1906,2.844733986151482e-07,4.9898589038477326e-08
1907,3.311991049192997e-07,5.2971287245462406e-08
1908,2.61777041377087e-07,3.339744591990268e-08
1909,3.4656195369020537e-07,4.0707279935769947e-08
1910,2.800335039410129e-07,4.008113096976018e-08
