year,aux_ADP effets_NOUN,aux_ADP méfaits_NOUN
1800,2.9146403903723694e-06,0.0
1801,2.916948687925469e-06,7.143547975374531e-09
1802,3.5447387460862956e-06,0.0
1803,3.294123047226094e-06,0.0
1804,3.22823729703714e-06,0.0
1805,3.3034239095286466e-06,0.0
1806,3.319682914337818e-06,0.0
1807,3.23129415846779e-06,0.0
1808,3.3197984947719306e-06,6.798221985349073e-09
1809,3.024841817023116e-06,0.0
1810,2.831553274518228e-06,4.680253518074551e-09
1811,2.8706029389091725e-06,7.521229861140455e-09
1812,3.4993772715097293e-06,0.0
1813,3.899505799154213e-06,0.0
1814,2.3316877104662126e-06,0.0
1815,2.8860292853316594e-06,5.394447111228828e-09
1816,2.69073820824417e-06,4.6352077731626196e-08
1817,2.6793790324219913e-06,1.71256075987003e-08
1818,2.571397984763024e-06,3.5763532135746345e-09
1819,2.7678707829048577e-06,0.0
1820,2.8515155010566673e-06,0.0
1821,2.415078586892605e-06,0.0
1822,2.5775858176757538e-06,1.0025615893027862e-09
1823,2.381727507660969e-06,5.929612356680991e-09
1824,2.8168620929136523e-06,8.421112696055388e-10
1825,2.1423643765672296e-06,8.805443041381977e-10
1826,2.6908391070890048e-06,2.642395191543301e-09
1827,3.2813492438776848e-06,1.1060727445055818e-08
1828,2.5086244666017166e-06,1.6510142586412258e-08
1829,2.9363128115633685e-06,1.2002446148073886e-08
1830,2.5434569963511677e-06,8.349468672008697e-09
1831,2.2654021449852735e-06,2.3386808933878456e-08
1832,2.600460215163025e-06,1.0823975493678972e-08
1833,2.4198199763958428e-06,1.1583628278799551e-08
1834,2.843298032573216e-06,1.4935249481595747e-08
1835,2.5653993631635785e-06,2.0420337421001022e-08
1836,2.4248465262388663e-06,2.4866775305554256e-08
1837,2.291929354747424e-06,2.852735292435682e-08
1838,2.2572290121480876e-06,1.3255539776935166e-08
1839,2.7902976622584674e-06,2.307186797168015e-08
1840,2.5032876918018587e-06,2.4204817705708592e-08
1841,2.789086382293249e-06,1.3483152372373297e-08
1842,2.506207752439593e-06,1.542900918138912e-08
1843,2.316690589587722e-06,1.8311423488626133e-08
1844,2.6125551118028056e-06,2.305195678786731e-08
1845,2.680183555980875e-06,1.3950569588416784e-08
1846,2.6959978889351532e-06,3.805426018743674e-08
1847,2.9091047704099537e-06,3.3977308078192436e-08
1848,2.679863417842654e-06,2.413566591030758e-08
1849,2.6596263378309004e-06,1.6758828991214614e-08
1850,2.8432315613002856e-06,2.4440385715251978e-08
1851,2.7048946220631365e-06,1.1608989325395669e-08
1852,2.661511020463081e-06,2.2135854038651814e-08
1853,2.569125179263665e-06,2.329053394589664e-08
1854,2.5479539438322263e-06,2.7537021551893304e-08
1855,2.548921983702712e-06,2.2819829581521844e-08
1856,2.4622713006294816e-06,6.212626857404757e-09
1857,2.2435415409916004e-06,3.0753508184488965e-08
1858,2.342113369913079e-06,1.8595969208945462e-08
1859,2.4905818847287264e-06,2.6988518087023294e-08
1860,2.2835570545609585e-06,1.3731551978812817e-08
1861,2.2198040650067696e-06,1.9335450573976232e-08
1862,2.109899487123812e-06,3.11741068514948e-08
1863,2.0283155759415195e-06,2.6471489888990618e-08
1864,2.3748286412939024e-06,6.568777166648943e-08
1865,2.03241538798693e-06,1.4591217123438582e-08
1866,2.0284741060194733e-06,2.919367680931373e-08
1867,2.114369873851274e-06,2.0867089389753346e-08
1868,2.0875908361972506e-06,3.309715523869272e-08
1869,2.0417993558119463e-06,3.5161338729494673e-08
1870,2.415181397097399e-06,2.9243649279919737e-08
1871,2.8220466941064615e-06,2.0180236148803488e-08
1872,2.4213545728457575e-06,2.7213026498884574e-08
1873,2.2722873662672782e-06,2.3944018323618366e-08
1874,2.328305257037755e-06,3.1067965977626955e-08
1875,2.1867675599196446e-06,4.405575992905142e-08
1876,2.218887532379199e-06,2.418405919968336e-08
1877,2.0459370557723844e-06,4.576763856789512e-08
1878,1.9856523927330727e-06,2.7779808675632012e-08
1879,2.0063023420391346e-06,3.9099681714560575e-08
1880,2.3360961165508343e-06,4.043243251317108e-08
1881,2.1593854908630306e-06,3.137628468152798e-08
1882,1.861511182532638e-06,3.0614771162618126e-08
1883,1.9008571694456577e-06,5.181857787306399e-08
1884,1.919113319814869e-06,2.9047466654219534e-08
1885,1.8460300950096098e-06,3.674012205578947e-08
1886,1.6940343039451022e-06,2.7104547439815718e-08
1887,1.9306030321075696e-06,4.374379614091595e-08
1888,1.774103974838681e-06,3.8043688865840863e-08
1889,1.7153944966707968e-06,2.318100555953606e-08
1890,1.8470260645386816e-06,5.046877760150892e-08
1891,1.950511445691916e-06,2.4859458491732767e-08
1892,1.7645862779858135e-06,2.8835156484774416e-08
1893,1.9183468120687053e-06,2.5249507429325746e-08
1894,1.86084455577884e-06,3.65489274400943e-08
1895,1.8206309313484326e-06,5.2361947000534315e-08
1896,1.9990927206947617e-06,4.009979570618327e-08
1897,1.8727057735645758e-06,4.8944393427063915e-08
1898,1.8729154351859734e-06,4.866185321361627e-08
1899,2.2016344303210644e-06,5.5828543565894506e-08
1900,2.165707371659664e-06,6.333085167398167e-08
1901,1.6682385934885247e-06,4.135666742399735e-08
1902,1.85756039172702e-06,4.910283735171106e-08
1903,1.5768642960267698e-06,4.968202471644645e-08
1904,1.7225674007192993e-06,6.66453559006186e-08
1905,1.6313158894831759e-06,7.637923715719808e-08
