year,vrais_ADJ effets_NOUN,vrais_ADJ méfaits_NOUN
1800,2.829747991484055e-08,0.0
1801,2.6193008650921e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,1.1702034896643454e-08,0.0
1804,2.9662210465630778e-08,0.0
1805,2.55858996212055e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,2.2660739062985158e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,1.8880061958270744e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,5.60474440192138e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,3.8298885840504227e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,8.521773509073682e-08,0.0
1823,1.8777104315859106e-08,0.0
1824,3.705289586264371e-08,0.0
1825,7.924898959288385e-09,0.0
1826,3.435113882233054e-08,0.0
1827,7.373818444733615e-09,0.0
1828,1.834460228167245e-08,0.0
1829,6.001223074036943e-09,6.001223074036943e-09
1830,1.461157062010443e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,3.788391467196561e-08,0.0
1833,2.3167256557599103e-08,0.0
1834,2.5203233278148218e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,1.4113575197427508e-08,0.0
1837,3.478945487245255e-08,0.0
1838,2.1461350030449466e-08,0.0
1839,2.6567605004856887e-08,0.0
1840,2.6752692505738196e-08,0.0
1841,1.219904177673925e-08,0.0
1842,8.720745015011744e-09,0.0
1843,7.678984559333912e-09,0.0
1844,1.4819115712327857e-08,0.0
1845,1.562463758375543e-08,0.0
1846,1.1123552745573306e-08,0.0
1847,1.7258315665458213e-08,0.0
1848,3.218088551193432e-08,0.0
1849,1.3407063903514427e-08,8.379414939696517e-10
1850,1.2899092460827433e-08,0.0
1851,4.514607354622058e-09,0.0
1852,2.3437962681782665e-08,0.0
1853,1.2541057081705276e-08,0.0
1854,6.754363734984281e-09,0.0
1855,5.837630823180007e-09,0.0
1856,1.2942972915652717e-08,0.0
1857,8.78671624349181e-09,0.0
1858,5.872411001917044e-09,0.0
1859,1.629495471888731e-08,0.0
1860,9.15436793036406e-09,0.0
1861,5.187560159214399e-09,0.0
1862,2.2138133104476765e-08,0.0
1863,1.7980635647063536e-08,0.0
1864,1.342523781033833e-08,0.0
1865,1.6003271596787272e-08,0.0
1866,7.298419202328432e-09,0.0
1867,8.73506067478047e-09,0.0
1868,6.915823469455518e-09,0.0
1869,5.371870948067681e-09,0.0
1870,6.880858549607183e-09,0.0
1871,2.1242354542039266e-09,3.18635318130589e-09
1872,2.4189357183956872e-09,1.2094678591978436e-09
1873,4.788803575905831e-09,0.0
1874,4.779687312606029e-09,0.0
1875,6.293679799540541e-09,0.0
1876,1.6928840551599933e-08,0.0
1877,6.80329748092845e-09,0.0
1878,3.0195443923020093e-09,0.0
1879,5.498392852132383e-09,0.0
1880,3.2089231272180996e-09,0.0
1881,6.972507571312292e-10,0.0
1882,3.3276925659464496e-09,0.0
1883,6.319338829996468e-09,0.0
1884,5.941527270181268e-09,0.0
1885,1.2891271383708158e-09,0.0
1886,1.355227396970804e-08,0.0
1887,8.48760173255414e-09,0.0
1888,3.804368819970705e-09,0.0
1889,8.771191772893872e-09,0.0
1890,1.3108772733971819e-08,2.6217545912032847e-09
1891,9.561330394092238e-09,0.0
1892,1.8805537127519756e-09,0.0
1893,4.310891643655168e-09,0.0
1894,5.041231432301174e-09,0.0
1895,4.814891596538473e-09,0.0
1896,9.435246361988447e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,5.6583548957434e-10,0.0
1899,4.4220627160029835e-09,0.0
1900,8.824790675987515e-09,0.0
1901,1.2854099118442264e-08,0.0
1902,0.0,4.910283846193408e-10
1903,4.860198465905796e-09,0.0
1904,4.299700151477737e-09,0.0
1905,6.192911072844254e-09,5.160759042333041e-10
1906,2.572092316910357e-09,1.0288369045596824e-09
1907,1.131425531042396e-08,0.0
1908,8.349361202419914e-09,0.0
1909,8.251475058784763e-09,0.0
1910,4.809735720812114e-09,0.0
1911,5.320374141248863e-10,0.0
1912,7.814131564032323e-09,0.0
1913,4.772690687104841e-09,0.0
1914,8.705766774141921e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,6.592477230782379e-09,0.0
1917,4.386569774084137e-09,0.0
1918,1.1486376294556067e-09,0.0
1919,3.6831393490643904e-09,0.0
1920,2.2716695191604686e-09,0.0
1921,3.0290989716519334e-09,0.0
1922,8.853522359686394e-09,5.164555005876537e-09
1923,7.431163684401554e-09,0.0
