year,pourrais_VERB être_VERB,pourrais_VERB etre_VERB,pourrais_VERB mettre_VERB
1800,1.1004575384276905e-07,0.0,9.432493897065797e-09
1801,8.096020565062645e-08,0.0,7.143547975374531e-09
1802,8.056224487518193e-08,0.0,8.951360541686881e-09
1803,8.971560561121805e-08,0.0,1.950339223455444e-09
1804,9.640218934237055e-08,0.0,7.4155526164076946e-09
1805,8.812921237222326e-08,0.0,2.842877711017877e-09
1806,1.123850950079941e-07,0.0,2.881669125542885e-09
1807,1.4519470425966574e-07,0.0,8.540865792383556e-09
1808,1.246340701754889e-07,0.0,0.0
1809,1.7620438086396462e-07,0.0,2.710836710662079e-08
1810,5.616304221689461e-08,0.0,4.680253518074551e-09
1811,5.264861258069686e-08,0.0,7.521229861140455e-09
1812,8.535066342574282e-08,0.0,0.0
1813,8.052076339026826e-08,0.0,5.751483289628823e-09
1814,9.125363931161701e-08,0.0,2.5173417128598885e-08
1815,1.0519171667056071e-07,0.0,3.776112933451259e-08
1816,5.0987285504788815e-08,0.0,6.952811659743929e-09
1817,1.743698163636509e-07,0.0,3.269434145636296e-08
1818,1.1086694939876907e-07,1.1921177378582115e-09,2.384235386898581e-08
1819,9.00541365922436e-08,0.0,1.3456364911235141e-08
1820,1.6375743427943235e-07,0.0,1.6613073583471305e-08
1821,2.7316323780723906e-07,0.0,3.35290586406245e-08
1822,2.476327267686429e-07,0.0,2.606660132187244e-08
1823,1.927123918221696e-07,1.9765373782121287e-09,1.581229902569703e-08
1824,1.1452713266635328e-07,0.0,1.9368560089105813e-08
1825,1.6025906290906278e-07,0.0,2.7296874094417944e-08
1826,1.2243097557984584e-07,0.0,2.3781558056157337e-08
1827,1.576153749738296e-07,0.0,1.6591091167583727e-08
1828,1.476740436601176e-07,0.0,1.9261833017480967e-08
1829,2.1004281336445274e-07,0.0,4.543783305166471e-08
1830,2.5257142510781705e-07,0.0,2.6092090266160994e-08
1831,2.463410453401593e-07,0.0,6.860130952190957e-08
1832,2.0565553882079257e-07,0.0,4.058990654698391e-08
1833,1.5290389399069682e-07,0.0,2.3167256557599103e-08
1834,2.0349277463083126e-07,0.0,2.240287422239362e-08
1835,2.715148639254039e-07,0.0,3.1764969321557146e-08
1836,1.9759005454034195e-07,0.0,1.5457725766054864e-08
1837,1.6629358867703559e-07,0.0,3.478945487245255e-08
1838,1.7674052799065976e-07,0.0,2.9667161172142187e-08
1839,1.9016812302652397e-07,0.0,2.9364196407755117e-08
1840,1.732555290345772e-07,0.0,2.6752692505738196e-08
1841,1.4510439427795063e-07,0.0,3.5955071808757566e-08
1842,2.2539771293850208e-07,0.0,2.0124794275488966e-08
1843,1.4058448982723348e-07,0.0,2.2446261738195972e-08
1844,1.5367972139301855e-07,0.0,4.281077892187568e-08
1845,1.8247345678901183e-07,5.580227946389016e-10,2.1204865419122143e-08
1846,1.3875168747290445e-07,0.0,2.2832555401919308e-08
1847,1.224261723109521e-07,1.0786447290911383e-09,1.4022381478184798e-08
1848,1.7216774494954734e-07,0.0,3.378993085334514e-08
1849,1.0558062513155164e-07,0.0,2.8490010350878947e-08
1850,1.6836710869938543e-07,0.0,1.9009188889640427e-08
1851,1.6768541399869719e-07,6.449438760824933e-10,2.257303499675345e-08
1852,1.7057628554084658e-07,0.0,2.799534470909748e-08
1853,2.01851293013533e-07,0.0,1.851298847554972e-08
1854,1.6885908848962572e-07,5.195664454227256e-10,3.013485283531736e-08
1855,1.7088336790038738e-07,5.306937111981824e-10,2.3350523292720027e-08
1856,1.7291812071107415e-07,1.0354378465748937e-09,1.8120163147727908e-08
1857,2.0648784015975252e-07,0.0,3.514686497396724e-08
1858,1.5806573117060907e-07,0.0,2.104280660830682e-08
1859,1.7618920367112878e-07,1.5276520048956854e-09,3.6154432336843456e-08
1860,2.6822297627404623e-07,0.0,2.70053845952134e-08
1861,1.7873502144993836e-07,0.0,4.2443673464731546e-08
1862,1.7574966193478758e-07,0.0,3.975828022362293e-08
1863,1.633241026866017e-07,0.0,4.4951587341302e-08
1864,2.3014693795175845e-07,4.794727948009836e-10,3.787835112234461e-08
1865,1.769773518844886e-07,0.0,3.153585836912498e-08
1866,1.8975890725414502e-07,0.0,2.8220554781910323e-08
1867,1.4606962395191658e-07,0.0,4.464586567110018e-08
1868,1.5461806412986334e-07,9.87974813071446e-10,5.1374691167893616e-08
1869,2.2610693406477367e-07,0.0,3.2231227464762924e-08
1870,1.7316827438662585e-07,0.0,3.096386436141074e-08
1871,2.0711296144781954e-07,0.0,6.585129597169725e-08
1872,2.1709948327952588e-07,1.2094678591978436e-09,3.9912439575573444e-08
1873,1.6820672499306966e-07,5.986004469882289e-10,4.309923085088485e-08
1874,1.7864081769403128e-07,0.0,5.257655999457711e-08
1875,2.3057754106048378e-07,0.0,2.7463329388410784e-08
1876,1.729160175045763e-07,0.0,3.083467703390852e-08
1877,1.9544017959560733e-07,0.0,4.2056747417973384e-08
1878,1.497694057661647e-07,0.0,3.985798358030479e-08
1879,1.6861737606177485e-07,6.10932526790009e-10,4.215434401544371e-08
1880,1.9381896265713294e-07,0.0,1.6686399817444908e-08
1881,1.701291836297969e-07,1.3945015142624584e-09,7.111957955885373e-08
1882,1.9766493153383635e-07,0.0,4.059785041476971e-08
1883,1.6872634489573102e-07,0.0,3.033282780506852e-08
1884,1.524991972701173e-07,0.0,2.970763546272792e-08
1885,1.443822412738882e-07,6.445635691854079e-10,2.5782542323327107e-08
1886,1.5101105077519605e-07,0.0,1.8069698626277386e-08
1887,1.7171072386190644e-07,0.0,2.546280519766242e-08
1888,1.6422191606579872e-07,6.340614699951175e-10,2.2192152115962926e-08
1889,1.6539961222861166e-07,0.0,4.009687515349469e-08
1890,1.8286738168171723e-07,6.554386478008212e-10,1.5730527991308918e-08
1891,1.6636714406104147e-07,0.0,2.8046567734918426e-08
1892,1.962044393621909e-07,0.0,2.0686091062316336e-08
1893,1.7058813739367906e-07,0.0,1.9091091374434654e-08
1894,1.7077171321489004e-07,6.301539290376468e-10,3.465846631911518e-08
1895,1.6551189219171647e-07,1.2037228991346183e-09,1.8657704714541978e-08
1896,1.592197804711759e-07,0.0,1.592197840238896e-08
1897,1.35762419972707e-07,0.0,2.3889525024856084e-08
1898,1.6182895024030586e-07,0.0,2.4330926606808134e-08
1899,1.790935471035482e-07,0.0,2.8743407654019393e-08
1900,1.4067754250390863e-07,1.038210628578895e-09,1.8168686111152965e-08
1901,1.1568689473051563e-07,1.1177477832191585e-09,1.956058603980182e-08
1902,1.5958423205120198e-07,4.910283846193408e-10,2.4060391012881155e-08
1903,1.2744520461183129e-07,0.0,9.1803746826713e-09
1904,1.2576623475979432e-07,0.0,9.674325340824907e-09
1905,1.3572795865002263e-07,0.0,3.4577084306874895e-08
1906,1.383785672715021e-07,0.0,2.8807432883581896e-08
1907,1.604567074764418e-07,0.0,3.291419758966185e-08
1908,1.7042519573351456e-07,0.0,2.6521501439447093e-08
1909,1.8098235443630983e-07,0.0,2.475442606453271e-08
1910,1.9506150295001135e-07,0.0,1.5498036631811374e-08
1911,1.6865585905634362e-07,0.0,3.5646507967612706e-08
1912,1.7712032729377825e-07,4.167536982180309e-09,2.6047105805560022e-08
1913,1.606805852816251e-07,0.0,1.484837142129436e-08
1914,1.372832514334732e-07,2.0090231700464756e-09,2.8795998474606677e-08
1915,1.3194453174492082e-07,0.0,3.180805663305364e-08
1916,1.801943767532066e-07,1.0987462051303964e-09,2.6369908923129515e-08
1917,1.4256352187658194e-07,1.0966424435210342e-09,3.728584374584898e-08
1918,1.6884973774722312e-07,0.0,3.331049214239101e-08
1919,1.2062281484759296e-07,0.0,1.2890987832747669e-08
1920,1.499301873764125e-07,0.0,3.48322650722821e-08
