year,véritables_ADJ airs_NOUN,véritables_ADJ mères_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,9.524730337773235e-09
1802,0.0,1.1189200677108602e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,0.0
1805,0.0,0.0
1806,3.458002950651462e-08,5.76333825108577e-09
1807,0.0,1.4234775136401367e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,9.360507036149102e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,2.6466848268569265e-08
1818,0.0,1.9073883805731384e-08
1819,0.0,3.1053151161586356e-09
1820,2.3732962262101864e-09,2.7292905713238724e-08
1821,0.0,6.903041693817613e-09
1822,9.023054303725075e-09,4.010246357211145e-09
1823,0.0,9.882686891060644e-10
1824,0.0,8.421112696055388e-10
1825,0.0,1.7610886082763955e-09
1826,8.807984341885344e-10,1.7615968683770689e-09
1827,0.0,9.217273055917019e-10
1828,0.0,4.586150570418113e-09
1829,0.0,6.858540846366168e-09
1830,0.0,1.1480519646056564e-08
1831,3.1182412207897414e-09,0.0
1832,2.705993873419743e-09,2.705993873419743e-09
1833,8.108539617524002e-09,0.0
1834,6.534171426153534e-09,0.0
1835,9.075705520444899e-09,7.563087933704082e-09
1836,5.376600054063374e-09,6.048674894287842e-09
1837,6.262101948095733e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,1.7042836475411605e-08
1839,3.4957374772659477e-09,1.6080392128969834e-08
1840,3.821813088222825e-09,5.095750932326837e-09
1841,0.0,8.988767952189392e-09
1842,2.0124795163667386e-09,2.4149754196400863e-08
1843,2.3627644285539873e-09,1.4176587015413133e-08
1844,0.0,5.488561161115513e-09
1845,0.0,1.2834524554250493e-08
1846,3.5127007969038004e-09,1.3465353276842507e-08
1847,0.0,1.5101026207275936e-08
1848,8.045221711050488e-10,5.63165514222419e-09
1849,0.0,6.703531951757213e-09
1850,0.0,3.394498016007219e-09
1851,0.0,1.9348316282474798e-09
1852,1.9531636308300904e-09,6.510545436100301e-09
1853,4.180352064508952e-09,2.9859659189668264e-09
1854,5.195664454227256e-10,7.27393034694046e-09
1855,0.0,5.306937111981824e-09
1856,2.5885946719483854e-09,1.1389816201301528e-08
1857,2.4407544874094356e-09,8.78671624349181e-09
1858,0.0,1.0766087576996597e-08
1859,5.092173349652285e-10,1.8331824946926645e-08
1860,4.119465657481669e-09,1.785101666484934e-08
1861,9.431927461278633e-10,1.4147890858851042e-08
1862,9.035972525772706e-10,4.9697850279528666e-09
1863,4.994620828036034e-10,6.99246927027275e-09
1864,0.0,1.1986819536957682e-08
1865,1.882737743486018e-09,8.001635798393636e-09
1866,0.0,7.298419202328432e-09
1867,9.7056229719783e-10,7.76449837758264e-09
1868,0.0,6.915823469455518e-09
1869,2.441759683335931e-09,6.348574999037737e-09
1870,1.1468097582678638e-09,1.77755516972411e-08
1871,0.0,5.3105884134652115e-09
1872,7.256807155187062e-09,6.652073114565837e-09
1873,0.0,8.380406590902112e-09
1874,2.9873046258899194e-09,7.766991494406739e-09
1875,0.0,1.3159512590732447e-08
1876,4.232210137899983e-09,6.04601479992084e-09
1877,1.2369631985365004e-09,1.2369631985365004e-09
1878,0.0,1.268208649207736e-08
1879,0.0,1.0996785704264767e-08
1880,0.0,5.776061406947974e-09
1881,6.972507571312292e-10,6.2752567586699115e-09
1882,6.655385131892899e-09,4.6587693702804245e-09
1883,0.0,7.58320695126713e-09
1884,6.601696966868076e-10,5.941527270181268e-09
1885,2.5782542767416317e-09,4.511945039809007e-09
1886,4.5174246565693466e-09,3.872078213618124e-09
1887,5.876032105334161e-09,7.834709769838355e-09
1888,0.0,9.510921827882157e-09
1889,5.6386229019267375e-09,9.397704836544563e-09
1890,4.5880703680722945e-09,1.5730527991308918e-08
1891,1.2748440081367107e-09,8.286486163910922e-09
1892,0.0,6.268512375839919e-09
1893,3.079208221734575e-09,4.310891643655168e-09
1894,3.150769645188234e-09,1.3233232287745977e-08
1895,6.018614495673091e-10,5.416753268150387e-09
1896,0.0,6.486732040400511e-09
1897,1.1653427112179315e-09,4.661370844871726e-09
1898,1.6975064687230201e-09,6.224190496340043e-09
1899,6.080336234504102e-09,1.6582735185011188e-09
1900,0.0,2.07642125715779e-09
1901,5.029864968975062e-09,5.029864968975062e-09
1902,0.0,5.4013122863239005e-09
1903,3.2401321625741275e-09,8.100330184390714e-09
1904,4.837162670412454e-09,2.1498500757388683e-09
1905,5.160759042333041e-10,2.580379465655369e-09
1906,2.572092316910357e-09,1.1317205839134203e-08
1907,2.5714217422034835e-09,1.1828539925318182e-08
1908,2.9468334439286537e-09,5.40252820258047e-09
1909,1.6502950117569526e-09,2.2003934230241384e-09
1910,1.068830135508847e-09,5.34415089958884e-09
1911,3.1922244847493175e-09,2.128149656499545e-09
1912,7.293189607793238e-09,6.251305251225858e-09
1913,4.242391771214216e-09,4.242391771214216e-09
1914,2.0090231700464756e-09,2.678697486047099e-09
1915,0.0,1.1780761921542648e-09
1916,0.0,2.197492410260793e-09
1917,0.0,0.0
1918,0.0,4.594550517822427e-09
1919,1.8415696745321952e-09,6.4454939163738345e-09
1920,3.028892692213958e-09,9.086678076641874e-09
1921,1.2873671018098776e-08,8.330022005509363e-09
