year,deux_DET auteurs_NOUN,deux_DET moteurs_NOUN
1800,4.999221658863462e-07,2.2009151834367913e-08
1801,4.476623232108068e-07,7.143547975374531e-09
1802,4.095247447821748e-07,2.4616241489638924e-08
1803,1.7553052611418707e-07,3.900678446910888e-09
1804,4.10327245958797e-07,1.9774807569206132e-08
1805,5.429896425823699e-07,8.528632911009026e-09
1806,3.6020862914654117e-07,2.881669125542885e-09
1807,4.6120673147242996e-07,8.540865792383556e-09
1808,4.826737693974792e-07,0.0
1809,5.579805559818851e-07,0.0
1810,5.873718436077979e-07,1.1700633351097167e-08
1811,3.8107568300915773e-07,0.0
1812,5.921202443914808e-07,1.0668832928217853e-08
1813,7.275626217051467e-07,8.627225156487839e-09
1814,7.268824120387762e-07,3.1466771410748606e-09
1815,6.284530940092736e-07,0.0
1816,3.012885105846408e-07,1.622322720606917e-08
1817,5.277800738667793e-07,0.0
1818,4.148569772155497e-07,1.5497530370112145e-08
1819,4.2025264335165957e-07,0.0
1820,5.541646856954685e-07,2.966620371580575e-08
1821,5.542156351623362e-07,1.97229765852569e-09
1822,4.321040307786461e-07,8.02049271442229e-09
1823,4.0617843666268527e-07,8.894418535021487e-09
1824,3.5873940618103006e-07,1.0947446504872005e-08
1825,4.5788304348093334e-07,1.937197424695114e-08
1826,3.33822612219592e-07,6.1655889282974385e-09
1827,4.599419156647855e-07,9.217273166939322e-09
1828,3.3570623259038257e-07,1.0089530988466322e-08
1829,3.6435996975114904e-07,1.2859763920403111e-08
1830,3.736387270691921e-07,7.305785310052215e-09
1831,2.946738053566378e-07,0.0
1832,3.4366123102813617e-07,0.0
1833,3.359252289669712e-07,1.1583628278799551e-08
1834,3.649801740834846e-07,4.667265685043276e-09
1835,3.2370014935168e-07,5.294161553592858e-09
1836,3.7905029870444196e-07,1.1425274948351216e-08
1837,4.091239880210651e-07,3.478945576063097e-09
1838,4.4185132708207675e-07,3.1560809521380406e-09
1839,3.558660885971676e-07,1.6080392128969834e-08
1840,3.8027040361043873e-07,1.6561189752906103e-08
1841,3.492778510860717e-07,1.4767261191650505e-08
1842,3.501714402887046e-07,1.0062397137744483e-08
1843,5.227616277636571e-07,1.594865928211675e-08
1844,2.7168378480268984e-07,1.591682796675542e-08
1845,4.0958874336638473e-07,9.48638767539478e-09
1846,3.0150682306384624e-07,9.952652035849496e-09
1847,3.9855922118192666e-07,4.314578916364553e-09
1848,2.3894309109095957e-07,9.65426583121598e-09
1849,3.326627862065834e-07,3.016589289472904e-08
1850,2.8921122563474455e-07,2.647708541303473e-08
1851,2.870000237464865e-07,1.9348316726564008e-08
1852,4.700613871477799e-07,8.463708844885787e-09
1853,3.6488504306930736e-07,8.957897978945084e-09
1854,3.377181982955335e-07,2.7537021218826396e-08
1855,3.353984219245376e-07,1.2205955357558196e-08
1856,2.9872383144891046e-07,1.915560043919129e-08
1857,3.1925069876592715e-07,1.9526035899275485e-08
1858,3.361955531744343e-07,2.300027723833864e-08
1859,3.880236221220912e-07,2.2405563182559263e-08
1860,3.098753609265259e-07,1.0985241161165504e-08
1861,3.1691275736989155e-07,1.4147890858851042e-08
1862,3.058676689704498e-07,2.4397126097142063e-08
1863,3.88082035840398e-07,3.0467187883687075e-08
1864,3.480972594616105e-07,2.4932585773740357e-08
1865,3.6101495837215225e-07,3.0594488331647796e-08
1866,3.775715740061969e-07,1.751620715140234e-08
1867,4.013275187730869e-07,3.639608614491863e-08
1868,4.095155645700288e-07,5.236266598096506e-08
