year,dix_DET in_ADJ,dix_DET mines_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,1.3334622295246845e-07
1802,0.0,1.7902721083373763e-07
1803,0.0,1.3457341196954076e-07
1804,0.0,4.993138773556893e-07
1805,0.0,1.1371510844071508e-08
1806,0.0,3.1698361269150155e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,4.5321478125970316e-08
1809,0.0,7.68070356205186e-08
1810,0.0,7.020380365929668e-08
1811,2.5070767684098882e-09,8.774768422981083e-08
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,4.3136125782439194e-08
1814,0.0,8.810695817373926e-08
1815,0.0,2.966945977789237e-08
1816,0.0,3.476405652236281e-08
1817,0.0,3.89218364205135e-08
1818,0.0,7.867976847819591e-08
1819,0.0,1.8631890696951814e-08
1820,0.0,1.2341140998017863e-07
1821,0.0,1.7750678260597397e-07
1822,0.0,5.3135764233047666e-08
1823,0.0,7.313188632451784e-08
1824,0.0,8.58953512761218e-08
1825,1.937197424695114e-08,3.6982861217893515e-08
1826,1.7615968683770689e-09,4.051672775062798e-08
1827,0.0,4.977327350275118e-08
1828,9.172301251858528e-10,1.3758452155343548e-08
1829,0.0,2.0575622983187714e-08
1830,0.0,3.339787468803479e-08
1831,0.0,7.327867024287116e-08
1832,0.0,2.0294953273491956e-08
1833,0.0,1.9692167896323554e-08
1834,0.0,3.173740381612333e-08
1835,7.563087933704082e-10,5.52105419160398e-08
1836,1.3441500135158435e-09,7.863277740050023e-08
1837,0.0,6.818733044866576e-08
1838,0.0,5.807189085160758e-08
1839,0.0,3.495737477265948e-08
1840,1.9109065441114126e-09,5.414235459966221e-08
1841,0.0,2.1829864138567245e-08
1842,0.0,5.567860128508073e-08
1843,1.1813822142769936e-09,3.36693943836508e-08
1844,1.097712254427563e-09,3.238251100601275e-08
1845,0.0,8.035528509253709e-08
1846,5.854501328173001e-10,3.688335681317767e-08
1847,0.0,1.88762818709165e-08
1848,8.84974404868899e-09,1.850401026848303e-08
1849,0.0,1.8434713311421547e-08
1850,4.073397619208663e-09,3.258718273002614e-08
