year,sans_ADP hériter_VERB,sans_ADP mériter_VERB
1800,1.2576657937302116e-08,1.8550569791386806e-07
1801,0.0,7.857902772911984e-08
1802,8.951360541686881e-09,1.1412984690650774e-07
1803,4.095712213825209e-08,1.0531831673432634e-07
1804,4.943701981119375e-08,1.7797326345991848e-07
1805,3.1271653710973624e-08,1.165579879280898e-07
1806,3.1698359492793315e-08,1.498467980809437e-07
1807,2.2775640928784924e-08,4.839823697366796e-08
1808,4.758755522971114e-08,8.611080914988634e-08
1809,9.036122072814123e-09,6.777091243748146e-08
1810,7.254393041833396e-08,1.6146874459721516e-07
1811,4.512738271955641e-08,8.273353557797236e-08
1812,4.267533171287141e-08,9.335229123053068e-08
1813,1.7254450312975678e-08,1.1790540810352468e-07
1814,3.1466771410748606e-09,1.8565394555025705e-07
1815,1.8880564667256294e-08,1.0788894400093341e-07
1816,3.0128852301913867e-08,7.879853214376453e-08
1817,2.490997452753163e-08,1.229929929014162e-07
1818,1.7881765401739358e-08,9.656153565629211e-08
1819,9.315945348475907e-09,1.5526575281032962e-07
1820,1.6613073583471305e-08,1.2222476186707354e-07
1821,3.8459806006585495e-08,1.7257603923681586e-07
1822,5.514088741165324e-08,1.664252238242625e-07
1823,5.0401702367253165e-08,1.3341626792229277e-07
1824,3.536867154707579e-08,1.254745747303332e-07
1825,2.6416328680056722e-08,9.774041842547376e-08
1826,2.025836387531399e-08,1.2331177856594877e-07
1827,3.871254605769536e-08,1.520850068104096e-07
1828,1.3758452155343548e-08,1.4033620721054518e-07
1829,1.7146351893870815e-08,9.259030325781126e-08
1830,8.349468672008697e-09,1.315041373572967e-07
1831,1.870944643656003e-08,5.6128341974215346e-08
1832,1.488296597074168e-08,1.2041672747820087e-07
1833,3.4750886612755494e-08,1.2510318470049242e-07
1834,3.360431222176885e-08,9.894602470694736e-08
1835,3.327758690829796e-08,9.378229037793062e-08
1836,1.4785650037651976e-08,8.535352796767981e-08
1837,1.3915782304252389e-08,6.401259611266141e-08
1838,2.019891809368346e-08,1.0667553840271182e-07
1839,1.0487213319976263e-08,1.3213888827579012e-07
1840,1.910906521906952e-08,1.1401742838756945e-07
1841,8.988767952189392e-09,1.2520069514465604e-07
1842,2.817471322913434e-08,1.1739463978699405e-07
1843,1.9492807368237663e-08,1.175475294878936e-07
1844,2.085653344474636e-08,1.1251550402491262e-07
1845,1.0044410636567136e-08,1.060243306483244e-07
1846,2.6345256864956923e-08,1.4577708107310627e-07
1847,1.0247124926365814e-08,9.92353141882063e-08
1848,1.609044275596716e-08,1.2228737489294872e-07
1849,1.3407064125559032e-08,9.133561951202296e-08
1850,2.308258650884909e-08,1.2559643369769447e-07
1851,1.805842941848823e-08,1.3285843181165546e-07
1852,2.1484799939130994e-08,9.89602917389476e-08
1853,2.20961471342207e-08,1.6243654243908168e-07
1854,1.454786069388092e-08,1.6678083358812046e-07
1855,2.2289135870323662e-08,1.1728331017479832e-07
1856,1.9155600661235894e-08,1.1338044075825948e-07
1857,1.0739319711294826e-08,1.4742157494751496e-07
1858,2.3489644007668176e-08,1.1304391800415203e-07
1859,2.3423996742266695e-08,1.1661076726454667e-07
1860,1.1900677776566226e-08,1.1076785355612628e-07
1861,2.3108222446666105e-08,1.1318313042352202e-07
1862,1.8523744316212287e-08,1.0933526817247241e-07
1863,1.9479021062807078e-08,1.323574503331315e-07
1864,1.5343129433631475e-08,1.543902441447642e-07
1865,1.5061901947888146e-08,1.1955384515704992e-07
1866,1.3623716377253459e-08,9.050040183922192e-08
1867,1.067618526917613e-08,1.3248175179114696e-07
1868,5.433861693937558e-09,8.595381029152804e-08
1869,8.30198221279943e-09,9.278686641245315e-08
1870,1.2614907340946502e-08,1.2844269647871442e-07
1871,3.18635318130589e-09,8.815577245968598e-08
1872,3.0236697590169115e-09,1.0582843490425375e-07
1873,7.183205141814142e-09,1.017620752108428e-07
1874,1.6728906260254917e-08,8.185214389611062e-08
1875,2.8607636259891933e-09,1.1500269891939752e-07
1876,9.069021977836655e-09,7.194757500883497e-08
1877,9.27722432209066e-09,9.029831526952137e-08
1878,1.268208649207736e-08,9.964496294756486e-08
1879,3.0546627449723474e-09,8.308682009072754e-08
1880,1.1552123035940554e-08,1.007601895253174e-07
1881,6.9725074602899895e-09,8.85508433245974e-08
1882,6.655385131892899e-09,8.518892968822911e-08
1883,1.1374810426900694e-08,7.140852842368872e-08
1884,1.2543224237049344e-08,7.657968392749126e-08
1885,9.023890079618013e-09,9.281715396269874e-08
1886,1.613365974151293e-08,6.905206451079948e-08
1887,5.223139698529167e-09,9.075205542607989e-08
1888,6.340614699951175e-09,9.320703941995134e-08
1889,1.3156786771162388e-08,1.0274824280287476e-07
1890,4.5880703680722945e-09,6.423298626323515e-08
1891,1.2748440081367107e-09,6.119250883784844e-08
1892,1.8805537127519756e-09,9.590824001648457e-08
1893,2.463366621796581e-09,5.97366389687437e-08
1894,6.301539290376468e-10,9.515323995401559e-08
1895,3.0093072478365457e-09,8.907549431391715e-08
1896,7.66613794667137e-09,6.545702507798623e-08
1897,1.5149455023788505e-08,8.332200573946125e-08
1898,3.3950129374460403e-09,9.449452642584788e-08
1899,4.9748205555033564e-09,1.0447123166557049e-07
1900,5.19105292084987e-09,7.163653625852362e-08
1901,8.38310842965484e-09,6.091725546220061e-08
1902,6.38336894454028e-09,5.057592322721405e-08
1903,7.020286574288548e-09,7.506306420879127e-08
1904,6.449550227216605e-09,6.772027472123909e-08
1905,1.1353669560065782e-08,7.276670377365235e-08
1906,8.230695014432854e-09,1.1368648134002513e-07
1907,3.5999902503469627e-09,7.765693155192821e-08
1908,3.437972351250096e-09,4.7640474232224506e-08
1909,6.0510818578052294e-09,7.756386466439835e-08
1910,5.878565634276356e-09,6.412981057302147e-08
1911,6.384448858476333e-09,8.831821052268651e-08
1912,8.335073853338315e-09,7.970414550584337e-08
1913,8.484783764473036e-09,6.893886550507489e-08
1914,2.678697486047099e-09,6.361906557117436e-08
1915,3.5342285764627945e-09,8.128725692557737e-08
