year,mêmes_ADJ yeux_NOUN
1800,1.8236154630812962e-07
1801,4.309940493385511e-07
1802,1.6783801015662903e-07
1803,2.2038832980797451e-07
1804,3.163969211072981e-07
1805,2.8713066058116965e-07
1806,1.8442682403474464e-07
1807,1.8505208743135881e-07
1808,3.1498427688347874e-07
1809,1.5135503872443223e-07
1810,4.680253482547414e-07
1811,1.1031137603367824e-07
1812,1.2002436733382638e-07
1813,2.5594101771275746e-07
1814,1.8565394555025705e-07
1815,2.1577788800186681e-07
1816,2.503012126453541e-07
1817,3.409552675748273e-07
1818,2.2173389879753813e-07
1819,2.0288058522055508e-07
1820,3.8922058820389793e-07
1821,4.565869176076376e-07
1822,3.408709403629473e-07
1823,1.8678278479455912e-07
1824,2.5347549126308877e-07
1825,2.835352574948047e-07
1826,2.3164999163327593e-07
1827,2.1937110261660564e-07
1828,2.2380415032330347e-07
1829,2.1775866798634524e-07
1830,2.1812986972236104e-07
1831,2.2763160245631298e-07
1832,2.0700852587651752e-07
1833,2.0271349399081373e-07
1834,1.8202335638761724e-07
1835,2.2008586597621616e-07
1836,1.1828520030121581e-07
1837,1.349830824892706e-07
1838,1.590664737705083e-07
1839,8.040196775027653e-08
1840,1.1019561441116821e-07
1841,1.1428576129901558e-07
1842,1.2276125005428185e-07
1843,1.6598420415903092e-07
1844,1.108689389184292e-07
1845,8.202935219969731e-08
1846,9.718472426811786e-08
1847,5.55502026600152e-08
1848,8.849743693417622e-08
1849,6.703531596485846e-08
1850,7.87523504186538e-08
1851,8.90022562316517e-08
1852,1.2955985084772692e-07
1853,1.43326360557694e-07
1854,2.1354181001242978e-07
1855,1.7088336790038738e-07
1856,1.252879826552089e-07
1857,1.493741734748255e-07
1858,1.3163987944153632e-07
1859,1.2934120263707882e-07
1860,1.3685779265415476e-07
1861,1.2733102039419464e-07
1862,2.1053816112726054e-07
1863,1.5583216850245662e-07
1864,1.9610436652328644e-07
1865,1.6285682136185642e-07
1866,1.4110277390955162e-07
1867,1.5043715961837734e-07
1868,1.2794274084626522e-07
1869,1.4699392636430275e-07
1870,1.399107958377499e-07
1871,1.0408754036461687e-07
1872,8.526748729309475e-08
1873,8.85928628235888e-08
1874,8.66318359271645e-08
1875,1.3445588820104604e-07
1876,1.614286020412692e-07
1877,1.6760851906383323e-07
1878,1.437303041029736e-07
1879,1.6983923956104263e-07
1880,1.4375976320479822e-07
1881,1.4154190353110607e-07
1882,1.3244216745533777e-07
1883,1.0553296192483685e-07
1884,1.241119065298335e-07
1885,1.2568989404826425e-07
1886,1.4326690234156558e-07
1887,1.4037188122983935e-07
1888,9.447516191585237e-08
1889,1.2467621957057418e-07
1890,1.3829755118877074e-07
1891,1.1154885015685068e-07
1892,1.542054093306433e-07
1893,1.4964952299578727e-07
1894,1.6068925390300137e-07
1895,1.5227094252168172e-07
1896,1.4506690604321193e-07
1897,1.363450934377397e-07
1898,1.4259053671139554e-07
1899,1.6803838320811337e-07
1900,1.775340194853925e-07
1901,1.4307171625205228e-07
1902,1.4730851205513318e-07
1903,1.6740682440286037e-07
1904,1.3651548158577498e-07
1905,1.53790622903216e-07
1906,1.6307065209275606e-07
1907,1.2239966906690825e-07
1908,1.5618216764323734e-07
1909,1.6337921238118724e-07
1910,1.8170112525695004e-07
1911,1.4843844553524832e-07
1912,1.521151062888748e-07
1913,1.5113521101284277e-07
1914,1.406316130214691e-07
1915,1.3547875710173685e-07
1916,2.1645300307682191e-07
1917,1.5024001243091334e-07
1918,1.8263338574797672e-07
1919,2.2375071750957432e-07
1920,1.8400523060790874e-07
1921,2.0900782260468986e-07
1922,1.9477749901852803e-07
1923,2.4947479460024624e-07
1924,2.2560342927135935e-07
1925,2.3536101423360378e-07
1926,2.0063049532836885e-07
1927,2.475127871548466e-07
1928,2.2395040844003233e-07
1929,2.2726429449448915e-07
1930,2.0587063431776187e-07
1931,1.7336142832391488e-07
1932,1.6877686448424356e-07
1933,1.6403046743107552e-07
1934,1.6654396972626273e-07
1935,1.6875280550721072e-07
1936,2.0612014850485139e-07
1937,1.523525270386017e-07
1938,1.8799561019022804e-07
1939,1.758815812991088e-07
1940,1.1918179865233469e-07
1941,2.0070217487955233e-07
1942,2.306000936869168e-07
1943,1.9741999324196513e-07
1944,2.570548929270444e-07
1945,2.483494654370588e-07
1946,2.9512742116821755e-07
1947,2.0503898667811882e-07
1948,2.413559059277759e-07
1949,1.7572445187852281e-07
1950,2.063260069462558e-07
1951,2.1855873910681112e-07
1952,1.4657277347396303e-07
1953,2.0362533348361467e-07
1954,2.1401854155556066e-07
1955,2.0929905986122321e-07
1956,2.0058625693764043e-07
1957,2.2794397125380783e-07
