year,mes_DET arrêts_NOUN,mes_DET marais_NOUN
1800,2.829748035892976e-08,0.0
1801,2.6193008650921e-08,5.2386017301842e-08
1802,8.951360541686881e-09,4.475680270843441e-09
1803,5.851017448321727e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,3.1698359492793315e-08
1807,1.0249038240317532e-07,5.693910232196231e-09
1808,9.064295980465431e-09,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,2.106114038724627e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,1.600324850414836e-08,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,1.622322720606917e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.4305412854298538e-08,2.384235475716423e-09
1819,3.105315171669787e-08,1.0351049795076506e-08
1820,2.254631414899677e-08,0.0
1821,1.7750678149575094e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,2.9648061783404955e-08,0.0
1824,3.621078548121659e-08,0.0
1825,7.044354433105582e-09,0.0
1826,1.937756521908085e-08,0.0
1827,1.474763688946723e-08,0.0
1828,2.5682442839070063e-08,5.503380862137419e-09
1829,1.628903412154159e-08,1.714635211591542e-09
1830,2.5048405349892278e-08,1.0436835840010872e-09
1831,1.7150327380477393e-08,0.0
1832,4.464889968858188e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,1.9602515166639023e-08,8.401078055442213e-09
1835,2.117664621437143e-08,0.0
1836,2.6210924986003192e-08,6.720750067579218e-10
1837,1.1828414692161004e-08,0.0
1838,2.209256688701089e-08,0.0
1839,3.5656523511562455e-08,0.0
1840,2.930056819394622e-08,0.0
1841,1.4125206782011901e-08,0.0
1842,6.708265054555795e-09,0.0
1843,8.860366662588604e-09,1.7720733769266417e-09
1844,8.232841963717874e-09,5.488561272137815e-10
1845,1.785672942844485e-08,0.0
1846,1.7563504872697422e-08,0.0
1847,1.294373674909366e-08,0.0
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,5.02764896381791e-09,0.0
1850,7.467895635215882e-09,0.0
1851,1.096404567135778e-08,6.449438760824933e-10
1852,1.1067927019325907e-08,0.0
1853,1.0749477752369785e-08,5.971931837933653e-10
1854,2.0782658038953628e-08,4.1565315633818045e-09
1855,2.2289135870323662e-08,3.714855978387277e-09
1856,2.0708757375587084e-08,2.5885946719483854e-09
1857,2.1966790220151466e-08,0.0
1858,1.1744822003834088e-08,6.8511463169329545e-09
1859,1.1202780925145817e-08,2.036869339860914e-09
1860,1.5562425292880988e-08,0.0
1861,1.7920662842563218e-08,1.4147891747029462e-09
1862,1.490935552794781e-08,2.710791813242963e-09
1863,1.0988165488612367e-08,1.9978483312144135e-09
1864,9.109982990196386e-09,0.0
1865,1.5061902058910448e-08,9.41368871743009e-10
1866,1.7516205930157014e-08,0.0
1867,1.5043715606566366e-08,4.85281148598915e-10
1868,1.333765986544222e-08,1.975949626142892e-09
1869,1.7580668254524312e-08,0.0
1870,9.17447806614291e-09,1.1468097582678638e-09
1871,2.2304472935275044e-08,2.1242354542039266e-09
1872,1.3304146229131675e-08,6.047339295989218e-10
1873,1.496501100817227e-08,0.0
1874,7.169530913397892e-09,0.0
1875,1.9453191668628023e-08,5.721527140956084e-10
1876,4.232210137899983e-09,1.209202959984168e-09
1877,1.6080522136086017e-08,0.0
1878,4.831270938865373e-09,6.039088784604019e-09
1879,1.0996785704264767e-08,0.0
1880,7.059630879879819e-09,0.0
1881,1.3945014920579979e-08,6.972507571312292e-10
1882,1.0648616211028639e-08,1.3310770263785798e-09
1883,7.58320695126713e-09,0.0
1884,6.601696966868076e-09,0.0
1885,5.80107206715752e-09,0.0
1886,9.034849701716752e-09,1.2906927748801422e-09
1887,1.3057849690412127e-08,2.6115698492645834e-09
1888,1.3315291091942072e-08,5.07249175996094e-09
1889,4.385595886446936e-09,1.2530273485467092e-09
1890,5.8989478302073906e-09,0.0
1891,1.1473596295275001e-08,0.0
1892,8.775917326175886e-09,0.0
1893,8.005941687372342e-09,6.158416554491453e-10
1894,8.192000855444803e-09,6.301539290376468e-10
1895,1.3240951446391591e-08,6.018614495673091e-10
1896,1.0024948871034667e-08,1.7691086373616827e-09
1897,6.992056267307589e-09,5.826713556089658e-10
1898,3.960848538042683e-09,0.0
1899,1.1055156790007459e-08,0.0
1900,8.305684695564253e-09,0.0
1901,8.941982321264419e-09,0.0
1902,7.365425602756659e-09,0.0
1903,6.480264325148255e-09,1.0800440541913758e-09
1904,6.449550227216605e-09,0.0
1905,7.2250627702885595e-09,0.0
1906,1.3374879592742417e-08,0.0
1907,8.228549397415463e-09,0.0
1908,4.911388851169818e-09,0.0
1909,2.7504918342913243e-09,2.2003934230241384e-09
1910,1.4963621453034648e-08,0.0
1911,6.384448858476333e-09,0.0
1912,1.3023552902780011e-08,2.6047106693738442e-09
1913,7.42418571064718e-09,0.0
1914,4.018046340092951e-09,0.0
1915,9.424609537234119e-09,0.0
1916,1.7579939282086343e-08,0.0
1917,2.1932848870420685e-09,1.0966424435210342e-09
1918,1.4932289182922887e-08,0.0
1919,4.603924186330488e-09,0.0
1920,6.057785384427916e-09,0.0
1921,8.330022505109724e-09,0.0
1922,8.115729421831475e-09,0.0
1923,4.246379248229459e-09,0.0
1924,1.675911143195208e-08,3.867487219366694e-09
1925,1.0998178368026856e-08,0.0
1926,2.229227691330493e-09,0.0
1927,1.6723836537835268e-08,0.0
1928,6.8556245125250825e-09,0.0
1929,2.6736975522467787e-08,0.0
1930,1.3654685049324655e-08,0.0
1931,4.5621426636444085e-09,1.1405356659111021e-09
1932,4.383814644626227e-09,0.0
1933,0.0,0.0
1934,2.3963160344919743e-09,0.0
1935,7.180970484910176e-09,0.0
1936,7.274828739411987e-09,0.0
1937,6.295559185076627e-09,0.0
1938,6.4826072287971215e-09,0.0
1939,6.117620188206274e-09,0.0
