year,voudrais_VERB être_VERB,voudrais_VERB etre_VERB,voudrais_VERB mettre_VERB
1800,1.8550569791386806e-07,0.0,9.432493897065797e-09
1801,1.6906396638205479e-07,0.0,2.3811825400343878e-08
1802,2.439245747609675e-07,0.0,1.7902721083373763e-08
1803,1.7162984988772223e-07,0.0,9.751696339321825e-09
1804,2.793191526961891e-07,0.0,1.730295728918918e-08
1805,1.904728037516179e-07,0.0,1.1371510844071508e-08
1806,1.671368039524168e-07,0.0,8.645007376628655e-09
1807,2.4768510797912313e-07,0.0,0.0
1808,1.744876954035135e-07,0.0,4.5321479902327155e-09
1809,3.0948717721912544e-07,0.0,0.0
1810,2.9953622515677125e-07,4.680253518074551e-09,2.106114038724627e-08
1811,1.1532553401139012e-07,0.0,0.0
1812,3.867451994210569e-07,0.0,1.8670457180292033e-08
1813,1.1502966401621961e-07,0.0,2.8757416448144113e-09
1814,2.0138733702879108e-07,0.0,0.0
1815,1.4565007688815967e-07,0.0,2.1577788444915313e-08
1816,2.3407798721564177e-07,0.0,1.622322720606917e-08
1817,5.526900395125267e-07,1.556873407970727e-09,3.580808893843823e-08
1818,4.4465991777542513e-07,0.0,1.5497530370112145e-08
1819,3.229527578696434e-07,0.0,7.24573512300708e-09
1820,3.6904756939293293e-07,0.0,1.0679833017945839e-08
1821,8.717555601833737e-07,0.0,1.676452932031225e-08
1822,5.473985993376118e-07,1.0025615893027862e-09,3.107940926838637e-08
1823,4.002488083187927e-07,0.0,7.906149512848515e-09
1824,4.3621363943202596e-07,0.0,2.3579115548955087e-08
1825,4.1913909853974474e-07,1.7610886082763955e-09,3.522177216552791e-09
1826,2.792131112983043e-07,0.0,8.80798456392995e-09
1827,3.871254818932357e-07,0.0,3.6869092223668076e-09
1828,4.842975158680929e-07,0.0,1.834460228167245e-08
1829,4.415185799189203e-07,0.0,5.486832677092934e-08
1830,7.775442441015912e-07,0.0,5.0096812032052185e-08
1831,7.390231644421874e-07,0.0,3.1182413096075834e-08
1832,7.630902700839215e-07,0.0,2.705993829010822e-08
1833,7.587276513731922e-07,1.1583628500844156e-09,1.3900354645102198e-08
