year,deux_DET êtres_NOUN,deux_DET etres_NOUN,deux_DET mètres_NOUN
1800,8.992310593924913e-07,9.432493452976587e-09,1.5154872805567265e-06
1801,7.953149996353659e-07,1.1905912922216544e-08,1.0072402574223815e-06
1802,9.219901073720393e-07,2.2378401354217203e-08,1.3203257083205244e-06
1803,7.664833283627104e-07,9.751696339321825e-09,1.1175443432875909e-06
1804,8.527885508868849e-07,2.4718509905596875e-08,3.1343070077127777e-06
1805,1.0205930962570164e-06,0.0,2.0895151919830823e-06
1806,7.002455841842448e-07,4.034336775760039e-08,2.4811172032457307e-06
1807,6.491057611412998e-07,3.131650672116848e-08,1.494651428401994e-06
1808,6.005095940508909e-07,1.3596443526608937e-08,1.6134447142768238e-06
1809,6.280104924982766e-07,1.1295152813062259e-08,3.7793581668665865e-06
1810,5.569501446700542e-07,3.042164786748458e-08,2.145896132788039e-06
1811,2.9082089625376284e-07,5.0141537144554604e-08,2.492034354872885e-06
1812,6.347955388008586e-07,2.6672082320544632e-09,1.8003655668508145e-06
1813,8.080833993062697e-07,0.0,2.639930926306988e-06
1814,4.688549068987413e-07,0.0,1.696059030109609e-06
1815,6.365447422496118e-07,0.0,1.1193477575943689e-06
1816,5.678129326724957e-07,1.3905623319487859e-08,9.455823715143197e-07
1817,9.419084268103006e-07,1.0898113744772786e-08,1.6051365276936735e-06
1818,9.036252457406135e-07,2.384235475716423e-09,1.381664427313467e-06
1819,8.798392290287893e-07,1.1386154796788617e-08,1.0765091698061724e-06
1820,1.081036458572271e-06,1.3053129244156025e-08,6.004439683238161e-07
1821,7.267916686259923e-07,2.9584463767662328e-09,1.4309019336078421e-06
1822,6.987854135331872e-07,4.010246357211145e-09,1.279268644793774e-06
1823,5.840668002576876e-07,7.90614973489312e-09,1.2481833664423903e-06
1824,6.89689127142401e-07,1.1789557774477544e-08,1.3911678733435906e-06
1825,6.956300033778007e-07,1.7610886082763955e-09,8.462030676170684e-07
1826,5.549030355211926e-07,8.807984341885344e-10,9.847326509770937e-07
1827,7.714857348517512e-07,9.217273055917019e-10,1.2397231774485817e-06
