year,voudrais_VERB mériter_VERB
1800,3.144164484325529e-09
1801,0.0
1802,4.475680270843441e-09
1803,1.1702034896643454e-08
1804,9.887403784603066e-09
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,2.25903047379461e-08
1810,0.0
1811,0.0
1812,1.8670457180292033e-08
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.2454987263765815e-08
1818,5.960588467246453e-09
1819,0.0
1820,7.119888678630559e-09
1821,4.043210211079895e-08
1822,1.604098542884458e-08
1823,7.906149512848515e-09
1824,9.263223965660927e-09
1825,5.283265824829186e-09
1826,8.80798456392995e-09
1827,2.7651818612639545e-09
1828,1.3758452155343548e-08
1829,1.2859763920403111e-08
1830,2.817945699007396e-08
1831,9.354723218280014e-09
1832,1.8941957335982806e-08
1833,1.3900354645102198e-08
1834,1.8669062740173104e-08
1835,5.294161553592858e-09
1836,2.688300027031687e-09
1837,3.478945576063097e-09
1838,2.5248647617104325e-09
1839,1.0487212875887053e-08
1840,3.821813088222825e-09
1841,2.5682194149112547e-09
1842,0.0
1843,3.5441467538532834e-09
1844,6.586273748609983e-09
1845,5.580227946389016e-10
1846,4.6836010625384006e-09
1847,1.6179670936367074e-09
1848,8.045221711050488e-10
1849,0.0
1850,2.7155984128057753e-09
1851,3.8696632564949596e-09
1852,5.208436348880241e-09
1853,2.388772735173461e-09
1854,6.234797567117312e-09
1855,1.5920811335945473e-09
1856,3.6240324075009767e-09
1857,1.4644527812635033e-09
1858,6.8511463169329545e-09
1859,1.5276520048956854e-09
1860,1.0069804545764782e-08
1861,1.131831339762357e-08
1862,3.6143890103090826e-09
1863,4.495158911765884e-09
1864,4.794728170054441e-09
1865,9.413688495385486e-09
1866,9.731225603104576e-09
1867,8.249779526181555e-09
1868,1.975949626142892e-09
1869,7.813630631403612e-09
1870,9.17447806614291e-09
1871,3.18635318130589e-09
1872,1.1489944995446422e-08
1873,5.9860045809045914e-09
1874,4.779687312606029e-09
1875,8.58229043387837e-09
1876,3.627608879952504e-09
1877,9.895705588292003e-09
1878,1.0870359723469392e-08
1879,4.27652757650776e-09
1880,1.8611753915820373e-08
1881,8.367009307619355e-09
1882,8.652000893505374e-09
1883,0.0
1884,6.601696966868076e-09
1885,6.445635691854079e-10
1886,1.936039106809062e-09
1887,6.528924623161458e-10
1888,5.07249175996094e-09
1889,1.8795409673089125e-09
1890,4.5880703680722945e-09
1891,6.374220040683554e-10
1892,4.387958441043338e-09
1893,0.0
1894,1.1972924873759894e-08
1895,1.2037228991346183e-09
1896,2.948514543632541e-09
1897,3.4960281336537946e-09
1898,3.960848538042683e-09
1899,2.2110313580014918e-09
1900,4.671947717582725e-09
1901,5.029864968975062e-09
1902,1.9641135384773634e-09
1903,8.640352433531007e-09
1904,4.837162670412454e-09
1905,3.096455536422127e-09
1906,2.572092316910357e-09
1907,1.028568674676933e-09
1908,0.0
1909,1.6502950117569526e-09
1910,4.275320542035388e-09
1911,7.448523575703803e-09
1912,1.5628263128064646e-09
1913,4.772690687104841e-09
1914,2.0090231700464756e-09
1915,0.0
1916,0.0
1917,3.289927441585405e-09
1918,0.0
1919,2.762354567309444e-09
1920,3.028892692213958e-09
1921,1.2873671018098776e-08
1922,6.640141769764796e-09
1923,3.1847844361720945e-09
1924,1.2891624656674594e-08
1925,5.499089184013428e-09
1926,2.229227691330493e-09
1927,4.4596899506643695e-09
1928,6.8556245125250825e-09
