year,nos_DET in_ADJ,nos_DET mines_NOUN
1800,6.288328968651058e-09,2.200915076855381e-07
1801,7.143547975374531e-09,1.6906396149707348e-07
1802,3.1329761895904085e-08,2.774921767922933e-07
1803,3.900678446910888e-09,3.3935903331894224e-07
1804,9.887403784603066e-09,1.2606439336870778e-07
1805,2.842877711017877e-09,3.2124519133702734e-07
1806,2.881669125542885e-09,1.3543845511776453e-07
1807,2.8469551160981155e-09,2.2775640218242188e-07
1808,4.5321479902327155e-09,2.1074488465444574e-07
1809,4.518061036407062e-09,1.0843346331945725e-07
1810,0.0,2.0827128466294198e-07
1811,2.5070767684098882e-09,1.2535383575595915e-07
1812,4.000812481308458e-08,2.3471432086807908e-07
1813,0.0,2.473137818981286e-07
1814,3.1466771410748606e-09,2.73760917934851e-07
1815,2.697223555614414e-09,4.855002266879183e-07
1816,2.3176038865813098e-09,8.343374169328399e-08
1817,0.0,2.288603884181839e-07
1818,1.1921177378582115e-09,1.2159600704109153e-07
1819,9.315945348475907e-09,2.453198986174243e-07
1820,2.3732962262101864e-09,1.2815799976806375e-07
1821,1.577838126820552e-08,9.664258726616026e-08
1822,4.010246357211145e-09,2.2657891918242967e-07
1823,8.894418535021487e-09,9.586206406453357e-08
1824,3.3684450784221553e-09,1.5073792170028355e-07
1825,1.7610886082763955e-09,1.2327619991481242e-07
1826,0.0,1.285965698372138e-07
1827,2.7651818612639545e-09,2.4425774114433807e-07
1828,4.586150570418113e-09,1.1098484731242308e-07
1829,5.143905745796928e-09,3.300672872796895e-07
1830,1.0436835395921662e-08,1.1584888071070054e-07
1831,3.1182412207897414e-09,1.2317052622279334e-07
1832,4.058990921151917e-09,1.691246107604627e-07
1833,5.791814139399776e-09,1.6564588278811243e-07
1834,4.667265685043276e-09,1.2508271884925648e-07
1835,1.5126175867408165e-09,2.2613632921775206e-07
1836,4.704525213838906e-09,1.2635009927208785e-07
1837,4.174734336004349e-09,2.0247462462208432e-07
1838,5.680945491803868e-09,1.836839089719433e-07
1839,4.894032734625853e-09,1.8876982821325328e-07
1840,7.0066574764382494e-09,1.9109066151656862e-07
1841,1.0272877659645019e-08,1.3418946487320227e-07
1842,2.0124795163667386e-09,1.0733224220516036e-07
1843,4.134837805480629e-09,1.1754753259651807e-07
