year,nouveaux_ADJ auteurs_NOUN,nouveaux_ADJ moteurs_NOUN
1800,0.0,0.0
1801,4.7623652577044595e-08,0.0
1802,6.713520406265161e-09,0.0
1803,4.8758479920252285e-08,0.0
1804,4.202146608456303e-08,2.4718509461507665e-09
1805,3.41145314219915e-08,1.421438877713399e-08
1806,5.76333825108577e-09,5.76333825108577e-09
1807,5.4092147649953404e-08,0.0
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,2.9367396514601296e-08,3.162642769893864e-08
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,1.504245972228091e-08,0.0
1812,2.1337665856435706e-08,2.6672082320544632e-09
1813,6.039057343087961e-08,0.0
1814,6.608021863030444e-08,0.0
1815,6.203614244526534e-08,8.091670444798638e-09
1816,5.3304891167726964e-08,0.0
1817,7.940054302935096e-08,0.0
1818,2.1458118837358597e-08,1.9073883805731384e-08
1819,7.65977690164732e-08,0.0
1820,3.20394981656591e-08,0.0
1821,2.7612166331181243e-08,9.86148829262845e-10
1822,4.3110148340019805e-08,2.8071724500478012e-08
1823,4.5460360809101985e-08,9.882686669016039e-09
1824,4.463189640091514e-08,0.0
1825,4.754939197937347e-08,3.522177216552791e-09
1826,2.9947145208097936e-08,1.145037931138404e-08
1827,3.7790819362726324e-08,2.7651818612639545e-09
1828,3.393751413227619e-08,1.8344602503717056e-09
1829,3.943661042171698e-08,6.001223074036943e-09
1830,3.965997663613052e-08,5.218417697960831e-09
1831,4.5214498811674275e-08,1.5591206103948707e-09
1832,1.27181706943702e-07,1.3529969367098715e-09
1833,3.70676112027013e-08,3.4750886612755494e-09
1834,4.293884248163238e-08,2.240287422239362e-08
1835,3.781543966852041e-08,1.5126175867408165e-08
1836,7.594447737346854e-08,1.5457725766054864e-08
1837,4.313892532081809e-08,8.349468672008697e-09
1838,3.408567295082321e-08,3.1560809077291196e-08
1839,2.0974425751774106e-08,2.1673573158409454e-08
1840,2.8026629905752998e-08,3.1848443882154243e-09
1841,1.0529699778771828e-07,1.733548105065097e-08
1842,4.494537675370225e-08,5.366612043644636e-09
1843,5.7887728388550386e-08,6.497602011990011e-09
1844,3.732221642849254e-08,8.781698035420504e-09
1845,3.850357188639464e-08,2.2320911785556063e-09
1846,5.561776106333127e-08,1.7563503984519002e-09
1847,4.1527822958187244e-08,2.1572894581822766e-08
1848,3.7008019537765335e-08,1.930853166243196e-08
1849,4.776266493422554e-08,1.0893239199560867e-08
1850,2.5798184921654865e-08,6.788996032014438e-10
1851,6.384944128967618e-08,3.2247193804124663e-09
1852,6.250123618656289e-08,9.114764054629632e-09
1853,4.18035241978032e-08,1.6124216628554677e-08
1854,2.6497888327980945e-08,3.63696517347023e-09
1855,2.653468555990912e-08,9.552486801567284e-09
1856,8.904765280703941e-08,9.836659486950339e-09
1857,1.8549734193129552e-08,9.763018171682347e-10
1858,4.4043084512779274e-08,1.9574704079872163e-09
1859,6.059686064041614e-08,0.0
1860,3.707519136142423e-08,1.0527522853465143e-08
1861,1.3676294763342867e-08,1.0846716413936974e-08
1862,3.027050965442868e-08,1.1746764450037972e-08
1863,2.996772607843923e-08,1.7980635647063536e-08
1864,6.520829742839851e-08,2.1096802527154068e-08
1865,6.118897705187365e-08,1.4591217234460885e-08
1866,3.843834051053818e-08,1.3137154475373336e-08
1867,3.396968040192405e-08,4.85281148598915e-09
1868,2.9145256874585357e-08,2.0253484223076157e-08
1869,1.7580669364747337e-08,3.4184632902167778e-09
1870,2.8096838633473453e-08,1.7202146374017957e-09
1871,1.911811864374613e-08,1.0621177271019633e-09
1872,2.237515595027162e-08,9.071008832961525e-09
1873,2.9331422624068182e-08,6.584604861359367e-09
1874,2.0911132381229436e-08,1.2546679251101978e-08
1875,7.437985338754061e-09,4.005069165202713e-09
1876,1.753344314181504e-08,1.209202959984168e-08
1877,2.4739264858908427e-08,9.895705588292003e-09
1878,4.952052701234777e-08,1.8721175609748286e-08
1879,2.016077260691418e-08,2.749196403861731e-08
1880,1.6044616302224313e-08,4.685027699125044e-08
1881,2.370652651961791e-08,1.4642265677711208e-08
1882,3.527354053289855e-08,7.986461936226874e-09
1883,1.7062214752172622e-08,2.4013488308938236e-08
1884,2.442627788923346e-08,8.582206056928499e-09
1885,3.674012216681177e-08,2.191516146332617e-08
1886,4.646493845239519e-08,2.5813855053513635e-08
1887,2.8727267675776602e-08,2.0239665943222462e-08
1888,2.5362458133670884e-08,3.4239318047468714e-08
1889,2.5687061366852504e-08,1.5662841412744655e-08
1890,1.6385966361553983e-08,2.621754602305515e-08
1891,1.9760081571007504e-08,7.967775217387896e-08
1892,1.0656471260972467e-08,1.059378580414716e-07
1893,1.7243566574620672e-08,1.5272873110649954e-07
1894,1.1342770278588432e-08,5.986462370266565e-08
1895,3.310238128051424e-08,3.91209944439197e-08
1896,2.7716035688740703e-08,5.248355922082837e-08
1897,4.952706689209663e-08,4.0204324314174755e-08
1898,1.697506513131941e-08,4.130599162710524e-08
1899,1.3818945987509323e-08,4.8089932036532446e-08
1900,1.9206897405865675e-08,3.27036350222798e-08
1901,2.9061443085343086e-08,4.973977585365219e-08
1902,2.0623191820945408e-08,4.71387240352783e-08
1903,1.6200660368781428e-08,3.294134387488157e-08
1904,2.9022976022474722e-08,7.201997753725209e-08
1905,2.0643035725242953e-08,6.605771718515285e-08
1906,4.0639058340730116e-08,5.555719440053508e-08
1907,2.982849167665336e-08,5.708556066741366e-08
1908,1.8663277590036387e-08,5.304300265684958e-08
1909,2.3104130164597336e-08,6.491160586818978e-08
1910,3.6874638453809894e-08,4.008112863829183e-08
1911,2.7133907565257687e-08,7.288912651226553e-08
1912,2.7088990606216612e-08,9.793711863714805e-08
1913,2.0151361468379037e-08,7.10600616127266e-08
1914,3.080502075647473e-08,3.884111277052682e-08
1915,1.295883844676382e-08,3.0629980107832466e-08
1916,8.789969641043172e-09,2.7468654906215306e-08
1917,2.631941953268324e-08,3.5092558192673096e-08
1918,1.1486376294556067e-08,1.9526840588923733e-08
1919,2.8544329566670967e-08,4.69600275887494e-08
1920,3.634671053021066e-08,5.3005621225565847e-08
1921,4.0892835007078077e-08,9.087297059284793e-08
1922,1.8444838267850372e-08,5.607230890714021e-08
1923,2.866306081372727e-08,4.2463792482294593e-08
1924,3.351822286390416e-08,1.3020540512442835e-07
1925,2.6395626573361142e-08,2.4195991654707427e-08
1926,4.2355327800613907e-08,4.4584552605364536e-08
1927,5.2401357142350946e-08,4.7941666192485854e-08
1928,4.456156144083678e-08,4.341895620818548e-08
1929,3.676334259239411e-08,3.8991420758804907e-08
1930,1.8906487042613662e-08,4.7266215830177316e-08
1931,2.8513390759599133e-08,8.439964194195682e-08
1932,4.493410110661955e-08,7.014103309277431e-08
1933,3.555905436769535e-08,5.276504477791377e-08
1934,1.9170528275935794e-08,5.032263672433146e-08
1935,3.7101681726881e-08,2.752705263731059e-08
1936,2.9099314957647948e-08,9.699771963411763e-08
1937,2.1404900962807005e-08,4.280980003823487e-08
1938,2.8523472250796544e-08,6.482607284308273e-08
1939,3.976452944698394e-08,4.894096328200703e-08
1940,1.2678914806940611e-08,2.7893612308815818e-08
1941,3.836953554881006e-08,5.9030051957620344e-09
1942,3.944475457373642e-08,9.102635090130207e-09
1943,4.6451763546784264e-08,5.806470415592457e-09
1944,3.213186161588055e-08,9.639558484764166e-09
1945,4.1391576388605245e-08,2.178504043826024e-08
1946,5.150808490839154e-08,5.150808579656996e-08
1947,5.7220179483508105e-08,2.861009051891017e-08
1948,2.174377655705939e-08,6.958008391677595e-08
1949,5.988375306742455e-08,6.773735883314203e-08
1950,5.7430952438153327e-08,5.530388147434451e-08
1951,4.584402901741669e-08,3.731490694214301e-08
1952,5.377849987553418e-08,4.007025544705556e-08
1953,7.649417654853607e-08,4.094054262271385e-08
1954,8.208930135644721e-08,5.179444140246403e-08
1955,3.754243271814062e-08,3.660386926895853e-08
1956,3.662879421995058e-08,2.877976768012047e-08
1957,3.534015036166238e-08,9.718541194025931e-09
1958,7.031407278645929e-08,3.639787077291956e-08
1959,5.348016129946842e-08,2.712761748568937e-08
1960,5.8134999758596706e-08,3.183583396904055e-08
1961,5.83645380913822e-08,3.752005905965916e-08
1962,7.420088721232787e-08,5.517501905361044e-08
1963,7.17731923893794e-08,2.7157424309365297e-08
1964,6.023128740206829e-08,3.163663575556086e-08
1965,6.183409162474618e-08,3.775709800368787e-08
1966,8.087048819493958e-08,3.489617161900327e-08
1967,9.416941004758428e-08,2.317257774553383e-08
1968,7.904892043719691e-08,3.77278933649805e-08
1969,7.403065027666855e-08,3.0883952645277546e-08
1970,6.48420238891223e-08,4.920635909844151e-08
1971,9.043579529688373e-08,6.320229073430994e-08
1972,7.233507370862924e-08,7.028301451939001e-08
1973,7.828749126748136e-08,4.686223054051197e-08
