year,peux_VERB être_VERB,peux_VERB etre_VERB,peux_VERB mettre_VERB
1800,1.477757365364596e-07,0.0,1.2576657937302116e-08
1801,1.5239568540437176e-07,0.0,2.1430643926123594e-08
1802,2.752543366568716e-07,1.1189200677108602e-08,4.475680270843441e-09
1803,1.4822578009443532e-07,0.0,3.900678446910888e-09
1804,1.5325475999361515e-07,0.0,1.4831105232815389e-08
1805,1.0802935435094696e-07,0.0,2.842877711017877e-09
1806,8.06867319624871e-08,0.0,8.645007376628655e-09
1807,1.395007984683616e-07,0.0,8.540865792383556e-09
1808,4.078933102391602e-08,0.0,4.5321479902327155e-09
1809,6.09938268780752e-08,0.0,1.8072244145628247e-08
1810,1.2870697219113936e-07,0.0,7.020380277111826e-09
1811,6.267691787797958e-08,0.0,5.0141535368197765e-09
1812,1.226915742336132e-07,0.0,2.6672082320544632e-09
1813,8.052076339026826e-08,0.0,0.0
1814,1.0384034254684593e-07,6.293354282149721e-09,4.72001566720337e-08
1815,1.9420009778059466e-07,0.0,0.0
1816,1.321034233114915e-07,0.0,0.0
1817,1.8682480629195197e-07,0.0,1.401186100480345e-08
1818,1.227881227805483e-07,1.1921177378582115e-09,1.4305412854298538e-08
1819,1.8321358652428898e-07,0.0,2.2772310259711048e-08
1820,1.044250339532482e-07,0.0,3.441279616822612e-08
1821,1.9525747063653398e-07,0.0,9.861488514673056e-09
1822,2.325942887182464e-07,0.0,1.303330066093622e-08
1823,1.956772024414022e-07,9.882686891060644e-10,1.2847492847356534e-08
1824,1.4147468618830317e-07,0.0,1.1789557774477544e-08
1825,1.2063456722444243e-07,0.0,1.6730341556581152e-08
1826,1.2066938381849468e-07,0.0,1.7615968683770689e-09
1827,8.848581956044654e-08,0.0,3.6869092223668076e-09
1828,8.713686128203335e-08,0.0,1.8344602503717056e-09
1829,1.2688300898844318e-07,0.0,5.143905745796928e-09
1830,1.1897992635567789e-07,2.0873671680021744e-09,1.0436835395921662e-08
1831,1.886535869743966e-07,0.0,0.0
1832,1.569476495433264e-07,0.0,8.117981842303834e-09
1833,1.4942881421120546e-07,2.3167257001688313e-09,8.108539617524002e-09
1834,1.2694961526449333e-07,0.0,5.600718555598405e-09
1835,1.2100940693926532e-07,7.563087933704082e-10,2.2689263801112247e-08
1836,1.0417162599196672e-07,0.0,2.4866775305554256e-08
1837,1.4194097275321838e-07,0.0,5.5663127440652715e-09
1838,1.3003052856674913e-07,0.0,1.64116205070286e-08
1839,1.0207553913232914e-07,0.0,2.7965900706306e-09
1840,8.981260890550402e-08,0.0,7.64362617644565e-09
1841,8.346712832008052e-08,6.420548537278137e-10,9.630822361827995e-09
1842,1.0330727917562399e-07,2.683306021822318e-09,1.1404051036834062e-08
1843,1.0691508833815533e-07,5.906911071384968e-10,1.3585895075607368e-08
1844,1.1635749785909866e-07,5.488561272137815e-10,1.2074834465636286e-08
1845,8.7051553521178e-08,0.0,8.37034175305007e-09
1846,7.025401771443285e-08,0.0,5.854501328173001e-09
1847,7.065123242000482e-08,0.0,2.6966118227278457e-09
1848,9.171552761699786e-08,0.0,4.02261068899179e-09
1849,7.206296714912241e-08,0.0,1.256912263158938e-08
1850,6.042206734946376e-08,6.788996032014438e-10,1.425689166723032e-08
1851,8.384270699934859e-08,0.0,9.029214709244116e-09
1852,6.380334838240742e-08,0.0,3.906327261660181e-09
1853,9.196774897191062e-08,5.971931837933653e-10,5.971931837933653e-09
1854,8.313062949127925e-08,0.0,1.506742641765868e-08
1855,8.544168395019369e-08,0.0,1.539011762474729e-08
1856,7.455152228885709e-08,0.0,8.28350277259915e-09
1857,1.0641689840440449e-07,0.0,1.4156376515472857e-08
