year,meilleurs_ADJ effets_NOUN
1800,4.024530539936677e-07
1801,7.381665909633739e-07
1802,5.147032311469957e-07
1803,5.363432933336298e-07
1804,3.9302429399867833e-07
1805,4.946606964040257e-07
1806,3.054569219784753e-07
1807,2.875424627291068e-07
1808,2.447359861434961e-07
1809,4.4954705913369253e-07
1810,2.0593115834799391e-07
1811,2.707643034227658e-07
1812,4.027484408197779e-07
1813,3.8822511783109803e-07
1814,3.2725441201364447e-07
1815,2.9939181445115537e-07
1816,3.6154619920125697e-07
1817,3.487396327273018e-07
1818,2.3365507217931736e-07
1819,3.136368036393833e-07
1820,4.153268378104258e-07
1821,2.3273112503829907e-07
1822,2.917454366979655e-07
1823,2.9450407623698993e-07
1824,2.0379093257361092e-07
1825,2.571189270383911e-07
1826,2.4750434590714576e-07
1827,2.2213627914879908e-07
1828,2.9901701736889663e-07
1829,3.0349042390298564e-07
1830,2.243919681177431e-07
1831,2.650505166457151e-07
1832,2.1783250758744543e-07
1833,2.0271349399081373e-07
1834,2.2962946388815908e-07
1835,2.6319546009290207e-07
1836,2.674858592399687e-07
1837,2.6370406658315915e-07
1838,2.3670607163239765e-07
1839,2.251255040164324e-07
1840,2.4268513243441703e-07
1841,2.52969613256937e-07
1842,2.8174713406770024e-07
1843,2.2209985672816401e-07
1844,3.0187086963451293e-07
1845,2.5222630029020365e-07
1846,2.1427474905522104e-07
1847,1.8768417930914438e-07
1848,1.922807939536142e-07
1849,2.6227567673231533e-07
1850,2.7291764581605094e-07
1851,2.128314804394904e-07
1852,2.2396275767277984e-07
1853,2.496267370588612e-07
1854,2.166592025787395e-07
1855,2.4624188199595665e-07
1856,2.1951282747068035e-07
1857,2.6311334977435763e-07
1858,2.1825795215590915e-07
1859,1.5632971894774528e-07
1860,2.3618268585323676e-07
1861,1.9995685818230413e-07
1862,1.947252030731761e-07
1863,1.6632087351808877e-07
1864,2.0233751740761363e-07
1865,2.697021841413516e-07
1866,1.8732609419203072e-07
1867,2.2419989420541242e-07
1868,1.7388356354786083e-07
1869,2.158515428618557e-07
1870,2.0470554318308132e-07
1871,1.9436754428170389e-07
1872,2.64268720684413e-07
1873,2.6098979333255556e-07
1874,2.2046307890377648e-07
1875,2.1512941827950272e-07
1876,1.4631355327310303e-07
1877,2.276012338597866e-07
1878,2.3250491665294248e-07
1879,2.0405146017310472e-07
1880,2.2013212230831414e-07
1881,2.5728553509907215e-07
1882,2.6421878374094376e-07
1883,2.034827133456929e-07
1884,2.3105938851131214e-07
1885,2.404222243512777e-07
1886,2.2522588949414057e-07
1887,1.9717352017778467e-07
1888,2.0163155056707183e-07
1889,2.2554492318249686e-07
1890,2.4120143393702165e-07
1891,1.7529104923141858e-07
1892,1.9557758434984862e-07
1893,1.9275843499144685e-07
1894,2.1236186853457184e-07
1895,2.2750363370960258e-07
1896,1.9637106163372664e-07
1897,1.80628120460824e-07
1898,1.8672571400202287e-07
1899,1.7024942167154222e-07
1900,1.822059658707076e-07
1901,1.738097807901795e-07
1902,1.8757283726245078e-07
1903,1.782072729383799e-07
1904,1.332907118012372e-07
1905,1.8011049007782276e-07
1906,1.8313296834548964e-07
1907,1.6097099830858497e-07
1908,1.6109356693050358e-07
1909,1.8758353803605132e-07
1910,1.6139334491072077e-07
1911,1.5482288517887355e-07
1912,1.4430096939577197e-07
1913,1.4583221741304442e-07
1914,1.5067674041802093e-07
1915,1.6610874808975495e-07
1916,1.2635581470021862e-07
1917,1.1405081323800914e-07
1918,1.2405286042849184e-07
1919,1.114149625891514e-07
1920,1.2872793320184428e-07
1921,9.9202992487335e-08
1922,1.165713783279898e-07
1923,1.0191310195750702e-07
1924,1.0571132236236735e-07
1925,1.0888196300129493e-07
1926,1.2818058792163356e-07
1927,1.0814748208076708e-07
1928,9.940655587570291e-08
1929,9.246537047147285e-08
1930,1.1869072125136881e-07
1931,1.0606981959426776e-07
1932,9.425201596968691e-08
1933,9.176530113563786e-08
1934,1.0543790551764687e-07
1935,8.497481474023516e-08
1936,1.0427254437672673e-07
1937,7.176937089070634e-08
1938,7.001215607260747e-08
1939,7.647025057622159e-08
1940,7.353770570261986e-08
1941,4.7224041566096275e-08
1942,7.282108072104165e-08
1943,7.548411673496958e-08
1944,7.069009200222354e-08
1945,9.149717072887142e-08
1946,6.821341003160342e-08
1947,6.675687558299614e-08
1948,6.958008214041911e-08
1949,8.63896758573901e-08
1950,7.019338710279044e-08
1951,7.036525317971609e-08
1952,4.112473561690422e-08
1953,5.602390373837807e-08
1954,8.697556808101581e-08
1955,7.320774386698758e-08
1956,5.232685040823526e-08
1957,4.50586910005768e-08
1958,7.031407278645929e-08
1959,7.905762799964577e-08
1960,6.990041612198183e-08
1961,6.322824930293791e-08
1962,9.00557779459632e-08
1963,5.754787224532265e-08
1964,6.205647906654121e-08
1965,6.019247678068496e-08
1966,6.5361085432869e-08
1967,7.444806726653042e-08
1968,4.850729240502005e-08
1969,8.44766958607579e-08
1970,5.334521091526767e-08
1971,4.932861585871251e-08
1972,5.591860130493842e-08
1973,5.458071683506205e-08
1974,5.006758740933037e-08
1975,4.112265727940212e-08
1976,5.713526718409412e-08
1977,3.761140376923322e-08
1978,3.9207904478644195e-08
1979,5.14973663712226e-08
1980,4.43441763309238e-08
1981,4.99718417756867e-08
1982,4.903926864585628e-08
1983,4.4207212113178684e-08
1984,5.3930779841948606e-08
1985,4.3913573222198465e-08
