year,sans_ADP être_VERB,sans_ADP etre_VERB,sans_ADP mettre_VERB
1800,3.1089498520486814e-05,7.231578535993322e-08,6.571303501345938e-07
1801,3.130540875417864e-05,1.0000967165524344e-07,9.57235386067623e-07
1802,2.898898191006083e-05,5.818384352096473e-08,1.0025524090906401e-06
1803,3.060862366055517e-05,5.070881914370773e-08,7.177248591005991e-07
1804,3.37902013711755e-05,4.943701981119375e-08,6.698716177311326e-07
1805,3.0475649225536472e-05,5.970043304159844e-08,4.832892184225557e-07
1806,3.330344827645604e-05,7.492339815229343e-08,9.163707836989943e-07
1807,3.256916738791915e-05,6.263301344233696e-08,7.288205363664702e-07
1808,3.1691043432147126e-05,5.6651849433819734e-08,5.959774700414755e-07
1809,3.12085068117085e-05,7.228897658251299e-08,7.070765448702332e-07
1810,3.454962973137299e-05,7.254392642153107e-08,5.803514619984185e-07
1811,2.8319939588072884e-05,4.011322829455821e-08,4.7133043423741583e-07
1812,3.373751553681359e-05,3.467370524035118e-08,5.921202284042693e-07
1813,3.40401534231205e-05,2.8757416004054903e-08,7.16059695093918e-07
1814,3.0239566967793508e-05,7.237357690925705e-08,7.174423828359977e-07
1815,2.6637779171778675e-05,3.236668266737297e-08,5.879947513331985e-07
1816,3.002455787282088e-05,3.9399267848239106e-08,9.80346467116533e-07
1817,3.1160821208686684e-05,3.736496234640896e-08,8.080172761992799e-07
1818,3.2106116691466013e-05,3.5763533023924765e-08,5.960588858044957e-07
1819,2.9891762835632107e-05,3.9333990287104825e-08,7.597670759196262e-07
1820,2.984182674481417e-05,2.7292905713238724e-08,9.054125378327171e-07
1821,3.0065705345805327e-05,2.859831660373402e-08,1.1587248884836754e-06
1822,2.9370041374932043e-05,3.107940926838637e-08,1.0637178320394014e-06
1823,2.8466090725487447e-05,2.9648061450338048e-08,1.132555929928003e-06
1824,2.785367234992009e-05,2.863178316658832e-08,7.637949295258295e-07
1825,2.8868644676549593e-05,2.377469665582055e-08,8.963941056094882e-07
1826,2.8738692151364376e-05,2.0258363653269384e-08,9.177919437775017e-07
1827,2.9172669314903033e-05,1.935627425009301e-08,8.903885575506365e-07
1828,2.8247936597836087e-05,2.109629271274116e-08,8.273415463833089e-07
1829,3.001811950298361e-05,3.0863434308248117e-08,9.396200795208642e-07
1830,2.9919276869350142e-05,4.174734447026651e-08,9.257473596591126e-07
1831,2.751536084133477e-05,4.521449681327283e-08,7.951515179627222e-07
1832,2.7326479084877064e-05,2.4353944638733083e-08,9.525098221274675e-07
1833,2.8421591196092777e-05,2.89590715851773e-08,7.274518800670648e-07
1834,2.7299769044475397e-05,6.347480763224667e-08,8.42908118414698e-07
1835,2.7607539720975183e-05,6.277362984974388e-08,8.251328722508333e-07
1836,2.5935374765140295e-05,6.922372575157709e-08,9.261193767429177e-07
1837,2.647894910978721e-05,5.775049638501173e-08,1.0631657296755748e-06
1838,2.5838834176283854e-05,4.355391669541575e-08,9.531364231207817e-07
1839,2.5722335578848288e-05,5.2436064379435265e-08,8.305872682967674e-07
1840,2.696926088674445e-05,7.00665750974494e-08,8.688255412891976e-07
1841,2.6223446923268057e-05,3.980739915476761e-08,8.853936535047069e-07
1842,2.6059596905270155e-05,4.427454936006825e-08,8.137125284690683e-07
1843,2.5089605401262816e-05,5.906910982567126e-08,8.31102372700343e-07
1844,2.5825327725215175e-05,5.653218076995259e-08,7.667519845711013e-07
1845,2.5710900956710248e-05,5.1896120289995906e-08,8.202935291024005e-07
1846,2.5846452047062485e-05,3.6883358811579114e-08,8.623680436414816e-07
