year,des_DET arbres_NOUN,des_DET marbres_NOUN
1800,9.724900536411951e-06,6.82283666009198e-07
1801,8.503203275722626e-06,5.786273420405053e-07
1802,8.118883783936326e-06,5.952654760221776e-07
1803,1.3268157857737606e-05,9.420138660232169e-07
1804,1.0695698733798054e-05,5.438071823959945e-07
1805,1.073470616574923e-05,3.496739642283586e-07
1806,7.841021869126052e-06,7.175355980493237e-07
1807,7.871830888461773e-06,5.380745435878964e-07
1808,8.613347063146648e-06,1.0809172912296106e-06
1809,1.186668706054661e-05,6.257514471030845e-07
1810,7.909628521929335e-06,3.4867889597833823e-07
1811,7.889770529345697e-06,6.493328754686445e-07
1812,6.721364854911371e-06,7.974952764833176e-07
1813,6.1138268279137264e-06,4.917518161562384e-07
1814,4.650788838489461e-06,4.7200155961490964e-07
1815,5.157091450769258e-06,3.8570296112538927e-07
1816,8.109295805525107e-06,4.4266235477152804e-07
1817,7.362454155668274e-06,3.6742211140250447e-07
1818,5.729317720692961e-06,6.675859072213797e-07
1819,4.992311289697682e-06,4.5441110041455346e-07
1820,5.5309667175151844e-06,4.877123922497617e-07
1821,5.492849027177726e-06,6.025369057027774e-07
1822,4.7721930940269885e-06,5.233371354051997e-07
1823,5.0688299637613454e-06,5.366299076214887e-07
1824,4.926351010681174e-06,5.136878549194535e-07
1825,5.978015181540286e-06,5.793981792123759e-07
1826,5.532295006105414e-06,4.897239289647359e-07
1827,5.735909027748676e-06,6.5719156872035e-07
1828,5.330941476699991e-06,5.879444842094017e-07
1829,5.511694922688548e-06,7.090016591604353e-07
1830,5.733997539891789e-06,5.886375475938621e-07
1831,6.3705669788305386e-06,3.882210179995127e-07
1832,6.172372224000355e-06,7.116763622860844e-07
1833,7.3498123356330325e-06,5.872899579983937e-07
1834,6.113184412015471e-06,6.627517130652905e-07
1835,6.434675469790818e-06,6.330304884727411e-07
1836,5.662903816983089e-06,5.551339734566341e-07
1837,5.451507689713253e-06,5.246249674684123e-07
1838,4.833853566310609e-06,5.64938497316092e-07
1839,4.75000835820083e-06,5.061828076691199e-07
1840,4.307183644414181e-06,4.439672913747472e-07
1841,4.98684005378891e-06,5.354737537821563e-07
1842,4.457642290844888e-06,3.957876284488293e-07
1843,4.558953861533155e-06,3.5854949409497294e-07
1844,4.575264625827913e-06,4.950682512827598e-07
1845,4.477575032524328e-06,4.0791465139022876e-07
1846,5.132056045908939e-06,4.642619444439333e-07
1847,3.918716402040445e-06,3.964019494873128e-07
1848,5.042745087280309e-06,4.0789275335129105e-07
1849,6.023961276468981e-06,3.812633782018793e-07
1850,4.61991200495504e-06,4.983123123025734e-07
1851,4.591355235561423e-06,4.205034200843727e-07
1852,4.7403279239688345e-06,5.501410718089517e-07
1853,4.739325106584147e-06,5.159748981409251e-07
1854,4.081194518334996e-06,4.5306193818817064e-07
1855,5.0421207475892516e-06,5.572284145216599e-07
1856,4.162977646160471e-06,5.705262537958333e-07
1857,4.509538001684632e-06,4.520277467889855e-07
1858,4.501692444591754e-06,4.042176315888213e-07
1859,4.701094496795122e-06,3.589982131568803e-07
1860,4.612886158383844e-06,4.2796670934874825e-07
1861,4.577786029358322e-06,4.4141420141308174e-07
1862,4.645845066875154e-06,4.6806338449556506e-07
1863,4.524626817214994e-06,3.730981812388734e-07
1864,4.549717175450496e-06,4.161823869974768e-07
1865,4.2615770752263415e-06,4.0149381663745487e-07
1866,4.212160945371579e-06,4.1163086450524133e-07
1867,4.535923096682382e-06,4.7169326578000437e-07
1868,4.321895829662026e-06,5.013971928757854e-07
1869,4.218872007299979e-06,5.630697804681617e-07
1870,4.527604829718257e-06,4.6617815785410244e-07
1871,4.270775235681867e-06,3.0588991117852515e-07
