year,véritables_ADJ arrêts_NOUN,véritables_ADJ marais_NOUN
1800,0.0,3.144164395507687e-08
1801,0.0,0.0
1802,0.0,1.1189200677108602e-08
1803,0.0,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,2.0171682990621775e-08
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,4.518061036407062e-09
1810,4.680253518074551e-09,0.0
1811,0.0,3.008491944456182e-08
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,2.8320094713762956e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,0.0
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,6.903041693817613e-09,0.0
1822,0.0,6.015369535816717e-09
1823,0.0,1.9765373782121287e-09
1824,2.6947560627377243e-08,0.0
1825,5.283265824829186e-09,4.4027217427355936e-09
1826,9.688783109140786e-09,2.642395191543301e-09
1827,0.0,1.1982455028203276e-08
1828,0.0,3.668920500743411e-09
1829,0.0,1.714635211591542e-09
1830,1.0436835840010872e-09,1.878630406793036e-08
1831,0.0,3.1182412207897414e-09
1832,1.352996914505411e-08,3.6530916958099624e-08
1833,1.3900354645102198e-08,6.950177322551099e-09
1834,1.0267983796552471e-08,4.667265685043276e-09
1835,5.294161553592858e-09,9.075705520444899e-09
1836,1.0753200108126748e-08,6.048674894287842e-09
1837,8.349468672008697e-09,6.957890930081589e-10
1838,1.199310784016916e-08,6.312161904276081e-09
1839,2.1673573158409454e-08,9.788065469251706e-09
1840,1.0828470564661075e-08,1.0191501864653674e-08
1841,6.420548537278137e-09,3.2102742686390684e-09
1842,8.049918065466954e-09,7.379091560011375e-09
1843,1.8311423488626133e-08,2.3627644285539873e-09
1844,4.9397050894128824e-09,6.586273748609983e-09
1845,1.1160455892778032e-09,6.696273757711424e-09
1846,1.7563503984519002e-09,1.1123552745573306e-08
1847,5.393223645455691e-10,3.235934187273415e-08
1848,2.413566457803995e-09,1.045878850192139e-08
1849,5.865590679832167e-09,1.6758829879393033e-09
1850,9.504594444820214e-09,2.1724787302446202e-08
1851,3.8696632564949596e-09,1.4188765717904062e-08
1852,4.557382027314816e-09,6.510545436100301e-09
1853,4.180352064508952e-09,1.1943863675867306e-08
1854,1.0391328908454511e-09,9.871762074453727e-09
1855,6.368324534378189e-09,7.429711956774554e-09
1856,1.1907535402144731e-08,2.3815070804289462e-08
1857,5.857811125054013e-09,1.610898081594314e-08
1858,1.8595969208945462e-08,3.9149408159744326e-09
1859,2.036869339860914e-09,2.036869339860914e-09
1860,1.373155145145688e-09,1.9224172476128842e-08
1861,0.0,4.2443675241088386e-09
1862,6.325180823552046e-09,1.671654992208005e-08
1863,1.4484400345793347e-08,5.9935452156878455e-09
1864,3.3563094525845827e-09,4.315254997777629e-08
1865,2.3534221238463715e-09,1.835669216632141e-08
1866,9.244664589402873e-09,1.8002767276925624e-08
1867,2.135237053835226e-08,1.8925964795357686e-08
1868,4.93987406535723e-10,2.0747471296544973e-08
1869,2.9301114867763545e-09,2.5882650689368347e-08
1870,2.8670243956696595e-09,2.121598008386627e-08
1871,2.6552942955504477e-08,4.248470730772169e-08
1872,1.9956219787786722e-08,1.814201766592305e-08
1873,1.4366410283628284e-08,1.0176207432266438e-08
1874,2.9873046258899194e-09,1.3741600746186577e-08
1875,4.577221712764867e-09,2.1741803024610817e-08
1876,1.209202959984168e-09,8.464420275799966e-09
1877,4.9478527941460015e-09,1.855444864418132e-08
1878,4.22736201599605e-09,4.831270938865373e-09
1879,1.832797580370027e-09,2.993569481191116e-08
1880,1.9253539207397807e-08,4.492492600149944e-09
1881,6.9725074602899895e-09,1.6036766581351003e-08
1882,5.324308105514319e-09,1.3310770263785798e-08
1883,0.0,1.2006744043446815e-08
1884,3.300848483434038e-09,3.3668655419205606e-08
1885,2.5782542767416317e-09,5.80107206715752e-09
1886,7.098810428374236e-09,1.8069698626277386e-08
1887,1.697520346510828e-08,1.1099172247952538e-08
1888,8.242799331981132e-09,1.8387781963724592e-08
1889,1.0024218788373673e-08,1.566284169030041e-08
1890,5.898947996740844e-09,2.4906668727453507e-08
1891,7.0116419337296065e-09,1.1473596295275001e-08
1892,1.1283322720601063e-08,1.3163876211308434e-08
1893,1.2316833108982905e-09,1.1700991287000306e-08
1894,4.411077725308132e-09,1.5123694296903523e-08
1895,6.018614495673091e-09,1.625025980445116e-08
1896,1.4152869098893461e-08,7.66613794667137e-09
