year,leurs_DET oies_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,2.2378401354217203e-09
1803,2.3404069793286908e-08
1804,4.943701892301533e-09
1805,5.685755422035754e-09
1806,0.0
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,3.6144488291256494e-08
1810,1.1700633351097167e-08
1811,0.0
1812,5.3344164641089264e-09
1813,8.627225156487839e-09
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,2.384235386898581e-08
1819,0.0
1820,3.322614716694261e-08
1821,1.2819934447350079e-08
1822,2.0051231786055723e-09
1823,8.894418535021487e-09
1824,1.431589158329416e-08
1825,7.924898959288385e-09
1826,3.5231937367541377e-09
1827,1.3825909306319772e-08
1828,1.4675682002973645e-08
1829,3.3435387791769244e-08
1830,2.0873671680021744e-09
1831,1.5591206103948707e-09
1832,5.411987746839486e-09
1833,3.4750886612755494e-09
1834,5.600718555598405e-09
1835,0.0
1836,3.36037508930076e-09
1837,5.5663127440652715e-09
1838,1.3886756633496589e-08
1839,9.788065469251706e-09
1840,0.0
1841,3.852329122366882e-09
1842,0.0
1843,1.7720733769266417e-09
1844,5.488561272137815e-10
1845,6.138250796539069e-09
1846,5.269050973311096e-09
1847,8.089835468183537e-09
1848,2.172209789819135e-08
1849,0.0
1850,6.788996032014438e-10
1851,7.739326512989919e-09
1852,2.278690836021724e-08
1853,1.0749477752369785e-08
1854,6.754363734984281e-09
1855,4.2455496895854594e-09
1856,3.6240324075009767e-09
1857,3.905207268672939e-09
1858,7.34051397444091e-09
1859,2.036869339860914e-09
1860,1.373155145145688e-09
1861,1.8863854922557266e-09
1862,1.0391368654438793e-08
1863,2.9967726078439227e-09
1864,9.589456340108882e-09
1865,1.2237795665726026e-08
1866,5.838735717134114e-09
1867,9.7056229719783e-10
1868,2.9639244392143382e-09
1869,4.883519366671862e-09
1870,4.587239033071455e-09
1871,4.248470908407853e-09
1872,7.256807155187062e-09
1873,3.591602570907071e-09
1874,5.974609140757536e-10
1875,1.0298748520654044e-08
1876,1.209202959984168e-09
1877,3.0924081073635534e-09
1878,7.2469061862534545e-09
1879,3.665595160740054e-09
1880,6.417846254436199e-10
1881,1.6036766581351003e-08
1882,9.983077475794744e-09
1883,5.687405213450347e-09
1884,9.902545450302114e-09
1885,3.86738152613475e-09
1886,5.808117542471791e-09
1887,5.876032105334161e-09
1888,3.804368819970705e-09
1889,6.265136853755848e-09
1890,3.9326319978272295e-09
1891,7.0116419337296065e-09
1892,6.268512375839919e-09
1893,6.158416554491453e-10
1894,4.411077725308132e-09
1895,3.611168697403855e-09
1896,3.5382172747233653e-09
1897,8.740070001067579e-09
1898,8.487532454637403e-09
1899,8.291367592505594e-09
1900,7.26747462209687e-09
1901,1.0059729937950124e-08
1902,9.820567692386817e-10
1903,7.020286574288548e-09
1904,3.7622376325430196e-09
1905,1.5482277682110634e-09
1906,7.716276506641861e-09
1907,1.1828539925318182e-08
1908,2.4556945366072114e-09
1909,4.950885035270858e-09
1910,1.6032452032632705e-09
1911,4.788336838146279e-09
1912,5.730363294986773e-09
1913,9.545381374209683e-09
1914,7.366418142140674e-09
1915,8.246533234057551e-09
1916,3.2962386153911893e-09
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,1.3811772170413406e-08
1920,3.028892692213958e-09
1921,3.0290989716519334e-09
1922,3.6889677978990676e-09
1923,1.3800733000834953e-08
1924,3.867487219366694e-09
1925,9.898360353588487e-09
1926,3.343841648018042e-09
1927,7.804457524684949e-09
1928,2.2852082448565625e-09
1929,4.4561625500705304e-09
1930,7.352522590764465e-09
1931,3.4216069977333063e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,0.0
1937,5.0364472592434595e-09
1938,2.5930428915188486e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,0.0
1945,2.178504043826024e-09
1946,1.2528993842408909e-08
1947,7.152522574216391e-09
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,5.317680518146517e-09
1951,4.264560704569931e-09
1952,1.0544804140977249e-08
1953,9.69644453618912e-09
1954,9.772536113672459e-10
1955,1.8771215692936494e-09
1956,6.976913269340912e-09
1957,3.534015080575159e-09
1958,1.6544486891589827e-09
1959,5.425523585955716e-09
1960,4.844583401109048e-09
1961,3.47407969059077e-09
1962,3.805173953708163e-09
1963,4.526237162849611e-09
1964,3.6503808864551957e-09
1965,6.5664522708175355e-09
1966,4.431259803538978e-09
1967,3.451234853457663e-09
1968,7.186265360559219e-09
1969,6.358460868938209e-09
1970,7.817832603507213e-09
1971,1.541519245584766e-09
1972,2.565073486948677e-09
1973,1.6539611902288698e-09
1974,6.1881286761433785e-09
1975,5.140332159925265e-09
1976,8.570290255249802e-09
1977,1.057820764316375e-08
1978,2.3762365408686037e-09
1979,5.266775904289034e-09
1980,7.390696055153967e-09
1981,5.69299452024552e-09
1982,5.586751949948621e-09
1983,1.2630632095778083e-09
1984,5.799008384599347e-09
1985,4.210890747202711e-09
1986,5.395036861699509e-09
1987,4.277571630240118e-09
1988,2.99827696004229e-09
1989,1.0976244357863152e-09
1990,4.358920779878872e-09
1991,2.9307325455363298e-09
1992,3.30596661157756e-09
1993,6.647049133334804e-09
1994,1.0549853213248639e-09
1995,3.795715741716776e-09
1996,1.067618438099771e-09
1997,1.917957792585412e-09
1998,2.86087753487152e-09
1999,5.0272213059088244e-09
2000,3.092622158362701e-09
2001,4.8193329327261836e-09
2002,4.381221607729913e-09
2003,3.333538334260311e-09
2004,1.7619165015858584e-09
2005,4.5037495954858286e-10
2006,4.117890028965121e-09
