year,des_DET eaux_NOUN,des_DET mots_NOUN
1800,1.2161627836348998e-05,1.1645985310337892e-05
1801,1.0810568916497232e-05,9.950962152061038e-06
1802,1.0750584408469877e-05,9.11919855184351e-06
1803,1.2193521158110343e-05,9.50595310200697e-06
1804,1.1934096463050992e-05,7.160952321783043e-06
1805,1.0493061409988513e-05,7.519411539647081e-06
1806,8.725694257805117e-06,6.691235611810953e-06
1807,1.0451171831959982e-05,5.716686068524268e-06
1808,9.442730757314166e-06,9.614951579806075e-06
1809,1.143069447095968e-05,6.553447562396286e-06
1810,9.154575806746834e-06,7.715397870811103e-06
1811,1.0775416043884434e-05,7.087505792924276e-06
1812,1.0788856940280311e-05,6.766707301153474e-06
1813,9.303023773554742e-06,7.011058158923333e-06
1814,7.325464238761015e-06,6.585995265595557e-06
1815,9.127404766218206e-06,6.716086566882495e-06
1816,8.081484850208653e-06,7.928522634870205e-06
1817,7.968077664344264e-06,7.220778776684256e-06
1818,8.528410489816451e-06,7.17535677097203e-06
1819,8.172153641794466e-06,7.239524464353053e-06
1820,7.181594508409717e-06,7.105648791139174e-06
1821,6.7215905588113856e-06,8.27871916442291e-06
1822,8.149823329972605e-06,8.286171095051031e-06
1823,6.7113327801848754e-06,6.36247371232912e-06
1824,7.527632703840936e-06,6.6509949760984455e-06
1825,7.487268231187727e-06,6.525713942551192e-06
1826,8.103345280119356e-06,6.816499173112334e-06
1827,7.783987014065019e-06,6.349779440029124e-06
1828,7.69739506267797e-06,6.836116284603122e-06
1829,8.64176151793572e-06,7.612123084754785e-06
1830,8.167867537878237e-06,6.668094499673316e-06
1831,8.966502967666656e-06,6.959914557569391e-06
1832,8.223515258976022e-06,7.404952441447676e-06
1833,9.679280147167901e-06,7.086863703875679e-06
1834,8.237723786663764e-06,6.84687863383715e-06
1835,8.491078808958719e-06,7.1713197939971e-06
1836,6.8820482610476574e-06,6.345732138868243e-06
1837,7.70795137583491e-06,6.004660093594794e-06
1838,7.458450674846517e-06,6.215585891311548e-06
1839,6.9446324175714835e-06,6.3622423454035015e-06
1840,7.442981001304361e-06,6.7869034978684795e-06
1841,7.3110786047436704e-06,6.787803727092978e-06
1842,6.6042869377724855e-06,6.961837598851162e-06
1843,7.415536231292208e-06,7.169218150693268e-06
1844,7.332169111862186e-06,6.068153169280777e-06
1845,7.733079932847886e-06,6.823502701536199e-06
1846,7.986125666548105e-06,6.941096771129196e-06
1847,6.925438384541849e-06,6.415239539592221e-06
1848,6.943831074579521e-06,6.240678573021796e-06
1849,7.152668619170299e-06,6.395169293682557e-06
1850,6.721785084096155e-06,6.181380982184237e-06
1851,7.5155312018182485e-06,5.827068008557035e-06
1852,8.450037128682197e-06,6.951960315859651e-06
1853,7.715138671926525e-06,6.6049568232529055e-06
1854,8.09380572519558e-06,5.983846762092071e-06
1855,8.42688534419267e-06,7.060348949039508e-06
1856,7.945431899969435e-06,6.532059472874607e-06
1857,8.011532955265466e-06,6.460677496988865e-06
1858,7.1614053993585e-06,7.400216873065801e-06
1859,8.112850899522073e-06,6.345866523815857e-06
1860,7.203114428477875e-06,6.30232464970959e-06
1861,7.572423086799063e-06,6.699969659962335e-06
1862,7.998191151159517e-06,6.271868670637559e-06
1863,7.627784853525554e-06,7.212232617348491e-06
1864,7.602041137033666e-06,6.989275107116555e-06
1865,7.054618528457013e-06,6.118897644569188e-06
1866,7.208892000676315e-06,6.204143105037474e-06
1867,7.036091247414333e-06,6.712894034421879e-06
1868,7.288290028384381e-06,6.586827993260158e-06
1869,6.767580892130809e-06,7.255444344878015e-06
1870,7.1973782382883655e-06,6.804022149253797e-06
1871,6.624428294799145e-06,6.438557790033883e-06
1872,6.733107710488184e-06,6.974396470127431e-06
1873,8.112831608286797e-06,6.040477202873262e-06
1874,7.736521247636574e-06,6.319344052485576e-06
1875,7.623934770606411e-06,7.631945166508558e-06
1876,7.904559844007508e-06,6.945057293705759e-06
1877,7.546712389228105e-06,6.7581482312562e-06
1878,7.1859116275163615e-06,6.016139963094247e-06
1879,7.152798069398614e-06,6.780740022804821e-06
1880,7.279762776590815e-06,6.557113422900329e-06
1881,7.238857200775328e-06,6.556248735023473e-06
1882,7.0413976160921266e-06,6.574189583830048e-06
1883,7.053014144275949e-06,6.591702515379438e-06
1884,6.847280161537128e-06,6.991857333105145e-06
1885,7.208154563898006e-06,6.845265033916803e-06
1886,6.695468691475526e-06,6.550910995883896e-06
1887,7.375726312375264e-06,6.625552643413357e-06
1888,6.678569661744405e-06,6.956922618428507e-06
1889,6.352222271743813e-06,6.770733079974889e-06
1890,6.851300383914349e-06,6.996151938665207e-06
1891,6.857385699277074e-06,6.5641717270636946e-06
1892,7.3040705999005695e-06,6.9455116715744225e-06
1893,6.971327501048563e-06,6.626456197977859e-06
1894,7.339402820605301e-06,6.8856917891935154e-06
1895,6.161255665659837e-06,7.150715774173477e-06
1896,6.510909507539964e-06,7.252755764852736e-06
1897,6.841144177371916e-06,7.5170431728111e-06
1898,6.608392482121417e-06,7.340018129298187e-06
1899,6.924950255893236e-06,8.039862478881332e-06
1900,6.856861965331973e-06,7.577380046086546e-06
1901,6.472318631267626e-06,7.4246395058708e-06
1902,6.062236636239504e-06,6.43787309684285e-06
1903,7.404242083453028e-06,7.537627254805557e-06
1904,6.919829928619947e-06,7.426657248288393e-06
1905,6.729629639323775e-06,7.398980386597032e-06
1906,6.96574034719788e-06,7.640657457841371e-06
1907,6.356554379749468e-06,7.906607180530045e-06
1908,6.3288159140029165e-06,8.547290292426624e-06
1909,6.2133607130476776e-06,8.281180981839498e-06
1910,7.122683996385604e-06,7.90292992292052e-06
1911,6.413179164610483e-06,8.488656533245376e-06
