year,mais_CONJ ils_PRON,mais_CONJ mille_DET
1800,5.594412004938931e-05,6.602745239447927e-08
1801,4.931429157295497e-05,1.4287095595477695e-07
1802,4.867078678216785e-05,1.4769744893783354e-07
1803,5.5680234709143406e-05,9.751696339321825e-08
1804,4.868063115281984e-05,1.6314216377821822e-07
1805,4.629626300811651e-05,1.8478705143820662e-07
1806,4.464569951778685e-05,1.3543844712415876e-07
1807,4.572779243972036e-05,1.736642687433232e-07
1808,5.0610496600711485e-05,1.0877155354194201e-07
1809,5.3182095598458545e-05,6.09938268780752e-08
1810,4.56324733022484e-05,8.658469141664682e-08
1811,4.601739419740625e-05,1.504246105454854e-08
1812,4.6646803866678965e-05,1.3869482096140473e-07
1813,4.3567487637119484e-05,6.039057609541487e-08
1814,4.3663292217388516e-05,5.66401889834367e-08
1815,4.427762246450584e-05,4.5852800667489646e-08
1816,5.219707509240834e-05,1.0429217844887262e-07
1817,4.9530369778949535e-05,1.2610674815505263e-07
1818,5.273213491818751e-05,1.204038890811887e-07
1819,5.097892199046328e-05,5.175524986356095e-08
1820,5.30443585375906e-05,1.1510486430665878e-07
1821,4.8895232339418726e-05,1.0354562629544262e-07
1822,4.862724335907842e-05,1.082766516447009e-07
1823,4.766123265653732e-05,1.0574474984537119e-07
1824,4.8575505843473366e-05,1.44843134819439e-07
1825,4.833923958358355e-05,7.660735534820162e-08
1826,4.951848632117617e-05,1.0481501178105646e-07
1827,4.5659605120818014e-05,8.479891189239197e-08
1828,4.742446753880358e-05,6.695779575238703e-08
1829,4.367004339655978e-05,6.858540890775089e-08
1830,4.6799816573184216e-05,9.914994159032631e-08
1831,4.2085343466169434e-05,1.1537492472513122e-07
1832,4.184413523944386e-05,9.741578210764601e-08
1833,4.7087448820093414e-05,1.505871729534647e-07
1834,4.317220509619801e-05,1.3815106036929592e-07
1835,4.5235585730551975e-05,1.5201806746745206e-07
1836,4.6994844069558894e-05,1.25005954032531e-07
1837,4.616699834514293e-05,7.51452233771488e-08
1838,4.7746456857566955e-05,1.262432371973432e-07
1839,4.339888391768909e-05,1.055712726127922e-07
1840,4.4820314542448614e-05,1.0255198468200888e-07
