year,ces_DET amants_NOUN,ces_DET mamans_NOUN
1800,6.91716168788048e-08,6.288328968651058e-09
1801,2.9764781572794163e-07,0.0
1802,1.7902721083373763e-08,0.0
1803,4.095712213825209e-08,5.851017448321727e-09
1804,5.6852570651244605e-08,0.0
1805,1.1087223206196484e-07,0.0
1806,5.187004514795035e-08,0.0
1807,5.693910054560547e-08,0.0
1808,1.1556977375093425e-07,0.0
1809,5.421673332506316e-08,2.259030518203531e-09
1810,2.10611408757444e-07,1.4040760110134443e-08
1811,9.526891409095128e-08,0.0
1812,5.3344166417446104e-08,0.0
1813,1.8979895344273245e-07,0.0
1814,1.2586708209028075e-07,0.0
1815,6.473336533474594e-08,2.697223555614414e-09
1816,9.270415546325239e-08,0.0
1817,2.9891970676487745e-07,0.0
1818,1.382856602560878e-07,1.1921177378582115e-09
1819,8.591371347677068e-08,2.070210003424222e-09
1820,1.0442503661778346e-07,0.0
1821,2.0216050522492424e-07,1.97229765852569e-09
1822,1.523893615740235e-07,6.015369535816717e-09
1823,1.4033415052239206e-07,2.9648061783404955e-09
1824,2.223173822812896e-07,1.6842225392110777e-09
1825,1.6906451349996132e-07,8.805443041381977e-10
1826,1.6647090639310136e-07,0.0
1827,1.1060727933553949e-07,9.217273055917019e-10
1828,7.521287176404101e-08,0.0
1829,1.080220206617355e-07,5.143905579263475e-09
1830,7.61889031863916e-08,2.0873671680021744e-09
1831,1.4032085493553836e-08,1.5591206103948707e-09
1832,1.0553376050825847e-07,2.705993873419743e-09
1833,7.066013663070692e-08,3.4750886612755494e-09
1834,9.427876523915302e-08,9.334530925997342e-10
1835,6.126101226300307e-08,7.563087933704082e-10
1836,6.98957980382886e-08,4.032449929525228e-09
1837,1.5307360090588418e-07,6.957890930081589e-10
1838,1.4076120891104438e-07,6.312161904276081e-10
1839,8.110111071601978e-08,6.9914751765765e-10
1840,1.0828470475843233e-07,1.2739377330817092e-09
1841,8.796151362844284e-08,6.420548537278137e-10
1842,1.2544455429974732e-07,6.708265054555795e-10
1843,1.1577546032981445e-07,1.1813822142769936e-09
1844,9.989181837255501e-08,5.488561272137815e-10
1845,9.988607718725007e-08,0.0
1846,7.845032090614268e-08,0.0
1847,6.310072020454527e-08,5.393223645455691e-10
1848,8.849744204120213e-08,1.6090443422100975e-09
1849,7.876649732452279e-08,8.379414939696517e-10
1850,8.554135266791718e-08,0.0
1851,6.126966889397067e-08,6.449438760824933e-10
1852,1.1393454535379988e-07,1.9531636308300904e-09
1853,8.957897712491558e-08,2.9859659189668264e-09
1854,1.3456771430497838e-07,1.558699391779328e-09
1855,1.6239227562664382e-07,0.0
1856,1.4392585856448648e-07,1.0354378465748937e-09
1857,1.6401870173154975e-07,2.4407544874094356e-09
1858,1.6589561724345003e-07,4.893676019968041e-10
1859,1.3494259398783015e-07,0.0
1860,1.3319605884909436e-07,1.373155145145688e-09
