year,aux_ADP amants_NOUN,aux_ADP mamans_NOUN
1800,4.087413785214267e-08,0.0
1801,2.50024171588592e-07,0.0
1802,7.161088433349505e-08,2.2378401354217203e-09
1803,6.826187615160961e-08,1.755305234496518e-08
1804,4.69651695311768e-08,2.4718509461507665e-09
1805,8.52863308864471e-08,0.0
1806,1.4984679008733792e-07,0.0
1807,6.263301344233696e-08,5.693910232196231e-09
1808,9.517511045942229e-08,2.2660739951163578e-09
1809,6.099382598989678e-08,4.518061036407062e-09
1810,2.7145469516653975e-07,1.6380887757350138e-08
1811,1.353821472704908e-07,7.521229861140455e-09
1812,1.4669645054254943e-07,1.600324850414836e-08
1813,7.476928232108548e-08,1.1502966579257645e-08
1814,1.1642705377568063e-07,0.0
1815,1.4295284511689488e-07,2.697223555614414e-09
1816,7.416332259424507e-08,1.622322720606917e-08
1817,2.2886039463543284e-07,0.0
1818,1.299408314281436e-07,9.536941902865692e-09
1819,1.0144028772529623e-07,4.140420006848444e-09
1820,1.8630374842842912e-07,7.119888678630559e-09
1821,1.5975611633578524e-07,0.0
1822,1.2933044502005941e-07,7.017931125119503e-09
1823,1.9468893430740764e-07,1.680056804787e-08
1824,1.4905368850293144e-07,1.6842225392110777e-09
1825,1.5145362208812685e-07,6.163809906922779e-09
1826,1.9553725127963162e-07,4.403992170942672e-09
1827,5.899054877911425e-08,3.6869092223668076e-09
1828,1.0915038228809237e-07,2.7516904310687096e-09
1829,7.201467799866634e-08,3.429270423183084e-09
1830,9.601889283672449e-08,3.1310507520032616e-09
1831,1.0290196228446291e-07,3.1182412207897414e-09
1832,9.065079309422686e-08,1.3529969367098715e-09
1833,1.5637898143072704e-07,1.50587169400751e-08
1834,1.0921401427665955e-07,6.534171648198139e-09
1835,1.2554725969948777e-07,2.2689263801112247e-09
1836,1.6062593211074727e-07,4.032449929525228e-09
1837,1.5655254248514439e-07,3.478945576063097e-09
1838,1.8115905087157103e-07,1.2624323808552163e-09
1839,1.3493546768827969e-07,3.4957375882882502e-09
1840,1.5796827312897221e-07,4.458782232319436e-09
1841,1.1685398026983762e-07,1.926164561183441e-09
1842,2.1198117661214155e-07,8.720745015011744e-09
1843,1.7070973235000508e-07,5.906911015873817e-09
1844,1.1471093258608178e-07,2.7442806360689076e-09
1845,1.83031482248186e-07,5.580227946389016e-10
1846,1.3699533263356045e-07,6.439951683034906e-09
1847,8.952751073820764e-08,5.393223645455691e-10
1848,1.2630997758833473e-07,1.528592186161859e-08
1849,7.541473623362549e-08,3.3517659758786067e-09
1850,1.425689166723032e-07,2.7155984128057753e-09
1851,1.747797917506233e-07,4.514607354622058e-09
1852,1.5039359868573854e-07,9.114764054629632e-09
1853,1.0988354848251447e-07,1.134667093616315e-08
1854,1.9379828142263023e-07,3.63696517347023e-09
1855,2.4040425117277664e-07,1.5920811335945473e-09
1856,1.5635111383360822e-07,2.070875637638636e-09
1857,1.664594566630484e-07,5.36965993891414e-09
1858,2.0895996089009827e-07,7.34051397444091e-09
1859,1.726246787736585e-07,2.036869339860914e-09
1860,1.6249002543489155e-07,2.2885919548354394e-09
1861,1.876953611423815e-07,1.1789909493131745e-08
1862,1.9969499565064552e-07,4.969785055708442e-09
1863,1.608267888308923e-07,6.992469103739296e-09
1864,1.4767762612777346e-07,9.109983323263293e-09
1865,1.2426068513038402e-07,5.648213119435752e-09
1866,1.2747905753229816e-07,1.1190909532388105e-08
1867,1.4849602969491116e-07,7.279217228983725e-09
1868,1.724016118753724e-07,7.409810875991241e-09
1869,1.74829979937563e-07,1.4650557433881772e-09
1870,1.5940655595514386e-07,5.734048791339319e-09
1871,9.346636176132961e-08,3.18635318130589e-09
1872,9.131482592295015e-08,8.4662747923403e-09
1873,1.0774807956970278e-07,7.781805422268917e-09
1874,1.1172519298607853e-07,9.559374625212058e-09
1875,1.5104832129519963e-07,8.010138330405425e-09
1876,2.406313925895631e-07,1.1487428563938806e-08
1877,1.725563656407303e-07,1.1751150608141359e-08
1878,1.3648340235761225e-07,9.058632954861423e-09
1879,1.4418007443506298e-07,1.221865097988939e-08
1880,1.0974517250517124e-07,6.417846032391594e-09
1881,1.3456939473854845e-07,1.1853262982253199e-08
1882,1.4109416790475393e-07,1.1314154280128719e-08
1883,1.4218512411900974e-07,2.2749619355000306e-08
1884,1.208110553818642e-07,7.922036360241691e-09
1885,1.0957580842685388e-07,2.7716232864349877e-08
1886,9.357522923192363e-08,1.2261580972783293e-08
1887,9.923965338387575e-08,1.828098838974057e-08
1888,7.672143520487396e-08,1.0779044545827787e-08
1889,9.523007538092543e-08,1.5036328404605115e-08
1890,9.110597520844976e-08,1.5075089621063853e-08
1891,1.1919791409464864e-07,1.8485238229004608e-08
1892,8.023695796666175e-08,8.149066310636499e-09
1893,7.698020842994424e-08,1.8475250052052417e-08
1894,1.16578474429474e-07,1.3863386882917439e-08
1895,9.027922098781005e-08,2.2268874300124253e-08
1896,1.3622136973978627e-07,1.6511680689390573e-08
1897,9.322741711947913e-08,1.8062811357744124e-08
1898,1.0071871892058937e-07,1.1316709347397591e-08
1899,1.0834053831842994e-07,9.949641111006713e-09
1900,7.94231101997056e-08,1.6092265187062083e-08
1901,1.279821236210843e-07,7.824234649067563e-09
1902,1.1097241614521636e-07,1.964113566232939e-08
1903,1.0692436269721384e-07,8.640352433531007e-09
1904,9.996803207457106e-08,2.042357483134083e-08
1905,1.56370995263444e-07,3.096455403195364e-08
1906,1.100855480107299e-07,2.5206504494779125e-08
1907,1.3319964375924087e-07,2.6228501481817545e-08
1908,1.3604547333123662e-07,3.143289117879533e-08
1909,1.3367389950502684e-07,3.2455801324271505e-08
1910,1.3734467740889045e-07,2.7255168455475598e-08
1911,1.2715694408527156e-07,2.447372160485628e-08
1912,1.469056836178595e-07,3.177746837890183e-08
1913,1.4265041858863015e-07,2.5984648988064407e-08
1914,1.3661356546013081e-07,2.5447626228469744e-08
1915,6.008188424555527e-08,4.9479201069679846e-08
1916,4.8344831693469814e-08,2.5271162940043723e-08
1917,6.68951898319392e-08,1.7546279096336548e-08
1918,1.079719362806486e-07,5.6283243843324726e-08
1919,1.3719693481295536e-07,3.9593746559152265e-08
1920,1.6658909451905402e-07,4.240449946735225e-08
1921,2.0673600076293042e-07,3.559191263935446e-08
1922,2.006798474063487e-07,2.8773948279603445e-08
1923,2.2505809749162609e-07,2.1231896685236507e-08
1924,1.7145860065070906e-07,4.125319763570445e-08
1925,2.6615589332479317e-07,3.629398692694963e-08
1926,2.5413194448820065e-07,2.3406890647947876e-08
1927,2.1406511185873e-07,3.567751938327035e-08
1928,1.7824624265472266e-07,3.8848539829494655e-08
1929,1.7156226084225068e-07,2.116677166874581e-08
1930,1.638562130423793e-07,2.835972989778668e-08
1931,1.2773999813475712e-07,2.623232031595535e-08
1932,1.1617108808259502e-07,4.7126008984044176e-08
1933,1.5944220077557247e-07,2.982372038218273e-08
1934,1.2341027932905035e-07,2.875579241390369e-08
1935,1.2566698082139283e-07,4.0692166969336085e-08
1936,1.3700926881909936e-07,3.273672843917552e-08
1937,1.2842940133594993e-07,2.770046003686133e-08
1938,7.130868118210287e-08,3.500607870243755e-08
1939,9.788192301130039e-08,3.058810182920979e-08
1940,1.141102288215734e-07,5.325144192269704e-08
1941,1.505266338241995e-07,3.246652724442356e-08
1942,1.0316319776215721e-07,3.034211704111556e-08
1943,1.132261724379191e-07,2.6129116648121453e-08
1944,1.0282195717081777e-07,3.534504600111177e-08
1945,1.3288875155836877e-07,9.149716895251458e-08
1946,1.6009270442651768e-07,3.480276244971492e-08
1947,1.835814078532394e-07,4.053096014366986e-08
1948,1.174163868356004e-07,3.587723140796584e-08
1949,1.8455975236975064e-07,3.8286334103077024e-08
