year,aucuns_ADJ effets_NOUN
1800,1.0061326349841693e-07
1801,4.524246932646747e-08
1802,2.0140561218795483e-08
1803,1.1702034896643454e-08
1804,4.2021465418429216e-08
1805,5.401467717547348e-08
1806,3.458002950651462e-08
1807,1.7081731584767113e-08
1808,4.758755522971114e-08
1809,9.487928309681593e-08
1810,4.212228077449254e-08
1811,7.521229861140455e-09
1812,2.400487453257938e-08
1813,4.888760685162197e-08
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,3.476405652236281e-08
1817,3.113746771532533e-08
1818,2.384235386898581e-08
1819,4.45095160728215e-08
1820,1.3053129244156025e-08
1821,5.5224333550540905e-08
1822,5.9151133768864383e-08
1823,1.9765373338032077e-08
1824,2.6105450245950124e-08
1825,3.3460683113162304e-08
1826,2.906634755106552e-08
1827,2.2121454890111636e-08
1828,2.8434133270138773e-08
1829,2.1432940755516938e-08
1830,3.965997663613052e-08
1831,1.4032085715598441e-08
1832,1.2176972319366541e-08
1833,2.89590715851773e-08
1834,1.213489042584115e-08
1835,1.5126175867408165e-08
1836,1.8818100855355624e-08
1837,2.2961039292113128e-08
1838,3.1560809077291196e-08
1839,4.894032734625853e-09
1840,1.592422194107712e-08
1841,1.4125206782011901e-08
1842,1.1404051036834062e-08
1843,1.4176587015413133e-08
1844,2.7442805805577564e-09
1845,1.562463758375543e-08
1846,2.2832555401919308e-08
1847,1.6718992412734224e-08
1848,1.287235473768078e-08
1849,3.3517659758786067e-09
1850,2.0366988096043315e-08
1851,1.483370937194195e-08
1852,3.190167419120371e-08
1853,4.777545470346922e-09
1854,1.1430461910322265e-08
1855,6.368324534378189e-09
1856,1.0354378465748937e-09
1857,4.881508974818871e-09
1858,1.1744822003834088e-08
1859,4.582956236731661e-09
1860,5.492620580582752e-09
1861,1.6034276129062164e-08
1862,1.8071945051545413e-09
1863,7.491931519609807e-09
1864,1.1986819536957682e-08
1865,5.177528628053096e-09
1866,2.432806400776144e-09
1867,2.91168689159349e-09
1868,5.433861360870651e-09
1869,1.6115613732381462e-08
1870,1.204150201772336e-08
1871,1.805600113868877e-08
