year,ses_DET ondes_NOUN,ses_DET mondes_NOUN
1800,8.929427242065913e-07,6.60274537267469e-08
1801,6.405381327567738e-07,3.5717739876872656e-08
1802,7.720548182987841e-07,4.0281122437590966e-08
1803,5.890024374899383e-07,5.851017670366332e-09
1804,1.4509764696413185e-06,6.921182738039988e-08
1805,1.111565200773157e-06,2.558589873302708e-08
1806,8.328023675119312e-07,2.881669125542885e-09
1807,6.377179602168326e-07,3.701041606518629e-08
1808,6.254364244284716e-07,4.078933102391602e-08
1809,6.280105009359715e-07,7.454800865502875e-08
1810,8.471258690079253e-07,2.8081521108447305e-08
1811,8.900122452359938e-07,5.264861258069686e-08
1812,5.681153538716899e-07,8.00162425207418e-08
1813,7.591957853492204e-07,7.189354001013726e-08
1814,7.30029082518513e-07,1.8880062846449164e-08
1815,8.010753926868119e-07,7.2825036667723e-08
1816,4.7279119108623036e-07,1.8540831092650478e-08
1817,4.2969706548490194e-07,5.1376823684279316e-08
1818,3.600195661590533e-07,6.318223921830679e-08
1819,5.361843886664275e-07,5.693077653745604e-08
1820,5.304317340915077e-07,3.9159386844289656e-08
1821,6.173291762223698e-07,4.339054981983281e-08
1822,6.516650188359563e-07,4.110502516141423e-08
1823,4.5361531597620797e-07,1.3835761980551808e-08
1824,7.427421593320105e-07,3.115811608722652e-08
1825,7.317323067468351e-07,5.2832657360113444e-08
1826,6.526716678223465e-07,4.315912160990365e-08
1827,4.977327643373997e-07,2.488663808364322e-08
1828,4.980559298317644e-07,5.503380862137419e-08
1829,4.792405290388047e-07,5.229637345394167e-08
1830,6.888311676611636e-07,3.026682460216534e-08
1831,6.579488933677879e-07,4.677361786775691e-08
1832,5.317277924632435e-07,6.900284432731496e-08
1833,5.919234284945674e-07,4.0542699197843035e-08
1834,6.412822504131555e-07,5.414027870465077e-08
1835,5.785762482446444e-07,3.403389570166837e-08
1836,7.769186840533848e-07,3.696412420595152e-08
1837,6.01857585103005e-07,2.5048406904204512e-08
1838,6.615145498045649e-07,4.3553916917460356e-08
1839,5.544239680688179e-07,3.495737610492711e-08
1840,4.2549520173906785e-07,2.8026630349842208e-08
1841,5.881222406856068e-07,3.338685328202473e-08
1842,4.6756607474662815e-07,2.0795621669122966e-08
1843,6.267232777190657e-07,3.5441467094443624e-08
1844,4.110932385614774e-07,1.4819115268238647e-08
1845,3.5657657027066136e-07,2.8459162582095132e-08
1846,3.752735384665584e-07,3.102885770545072e-08
1847,3.866941220564968e-07,2.534815202182017e-08
1848,3.0893651992158766e-07,9.654266219794039e-09
1849,4.516504752416495e-07,1.0055297705591215e-08
1850,5.729912686547323e-07,1.425689166723032e-08
1851,4.959618680189237e-07,2.9022474201667592e-08
1852,3.925858860220899e-07,4.7526981461487594e-08
1853,3.6189906804651173e-07,3.2248431480752515e-08
1854,3.366790481962312e-07,1.3508727469968562e-08
1855,4.797471220285843e-07,4.086341576226005e-08
1856,4.1831690000826427e-07,3.831119954611495e-08
1857,4.5251590519157503e-07,3.612316756829159e-08
1858,3.1123779709041344e-07,4.012814236453721e-08
