year,les_DET oies_NOUN,les_DET mois_NOUN
1800,1.2576657759666432e-06,9.542539373796899e-06
1801,1.1977348979286262e-06,9.510442822602272e-06
1802,1.163676898841004e-06,8.57540348420116e-06
1803,2.1687771649681054e-06,9.615172132271255e-06
1804,1.3867083934471225e-06,8.700915088866168e-06
1805,2.2146017630841897e-06,7.994172079861528e-06
1806,5.79215488016871e-07,9.129127676033022e-06
1807,5.523092792003581e-07,7.943004817434485e-06
1808,9.789439445739845e-07,9.759980514445488e-06
1809,1.5790623262290637e-06,1.0321510814037538e-05
1810,8.284048975681912e-07,7.790281955522005e-06
1811,6.86939027438882e-07,9.075617526832502e-06
1812,3.040617375660304e-07,6.3719603815570736e-06
1813,4.486156939265129e-07,8.471934734188835e-06
1814,4.6256154684343187e-07,6.68668877779055e-06
1815,5.772058635500343e-07,6.667536581517197e-06
1816,7.207747927395758e-07,8.169554092773978e-06
1817,6.896949305001954e-07,8.209393769220696e-06
1818,1.624856460047397e-06,8.20653892219525e-06
1819,3.560761119292266e-07,8.956763736023277e-06
1820,6.028172503391716e-07,8.222284918701916e-06
1821,3.8361188581248484e-07,6.782731645671447e-06
1822,7.128213184159904e-07,5.981282271250166e-06
1823,6.453394680860924e-07,6.799288570391582e-06
1824,4.7326652907742073e-07,6.58362594663231e-06
1825,8.04817498867294e-07,6.826860087016939e-06
1826,4.862007410011415e-07,7.773927194421049e-06
1827,7.521294603796136e-07,7.2374028832200565e-06
1828,6.741641236374107e-07,6.296784917481091e-06
1829,5.332515518041703e-07,6.812245487708424e-06
1830,5.604580937124126e-07,7.0093787485348e-06
1831,5.347783620379687e-07,7.511843136853713e-06
1832,4.7354891563600177e-07,6.365850737211076e-06
1833,5.444305370971847e-07,7.121614629568285e-06
1834,6.823541847111869e-07,7.583372763519947e-06
1835,6.239547474251594e-07,6.9224942649270815e-06
1836,6.431757593183818e-07,6.817528714009313e-06
1837,5.656765456052426e-07,6.966936211938446e-06
1838,5.655697066231369e-07,6.6170392756248475e-06
1839,5.949745203182033e-07,7.322870942516602e-06
1840,4.834593818614508e-07,7.174180382207851e-06
1841,4.25040309615099e-07,6.365974002164876e-06
1842,4.320122641843227e-07,7.0845988489054434e-06
1843,4.690087438419255e-07,7.439754426741274e-06
1844,4.7476054065853646e-07,6.500102955442344e-06
1845,6.679532877917893e-07,6.953522216690544e-06
1846,3.9225158054989606e-07,7.298221305518382e-06
1847,7.286245065074581e-07,6.984224739881029e-06
1848,5.044354058902911e-07,7.193232676172556e-06
1849,4.047257355921374e-07,7.745931100089365e-06
1850,4.4332145066050543e-07,6.975014400723012e-06
1851,5.559416085265667e-07,6.8886456006111985e-06
1852,5.162862439789251e-07,7.26511754578496e-06
1853,6.819946207770045e-07,7.412959007524478e-06
1854,4.494249861153321e-07,6.932574933671276e-06
1855,5.046897229021852e-07,7.019485735781927e-06
1856,4.902798327321989e-07,6.684268811341099e-06
1857,4.115112304248214e-07,7.375472051762699e-06
1858,4.0519638666580704e-07,7.253896143311067e-06
1859,5.412980277341717e-07,6.376928524787218e-06
1860,4.641264600979689e-07,6.6053342493432865e-06
1861,4.7253954882364724e-07,6.870216111565242e-06
1862,4.716777590729748e-07,6.69610753334382e-06
1863,4.390271755028152e-07,6.935530592500072e-06
1864,5.489963399440967e-07,6.9446841166609374e-06
1865,5.492887309443972e-07,6.8268070378962875e-06
1866,4.1406367046192827e-07,6.9626920549126226e-06
1867,5.74572872835688e-07,7.317069332657411e-06
1868,6.001947054912193e-07,6.784423078443069e-06
1869,4.903053287819148e-07,6.224533535714727e-06
1870,4.656047671858232e-07,6.524200784951972e-06
1871,5.703572205639773e-07,7.122561470396249e-06
1872,4.3540843108758054e-07,6.778462619649872e-06
1873,5.225781896101012e-07,7.01440001193987e-06
1874,5.580284909711963e-07,6.944288145405153e-06
1875,4.828969011327899e-07,6.840657988504972e-06
1876,4.6554313826163707e-07,7.2304289915336994e-06
1877,6.110598054220873e-07,8.475053391521215e-06
1878,4.813153733351783e-07,7.4957170284051244e-06
1879,4.661415058393459e-07,7.72157613937452e-06
1880,6.327996473487474e-07,7.426090093076709e-06
1881,5.68956634694473e-07,7.723446515228716e-06
1882,5.051437419467675e-07,7.582480179735285e-06
1883,6.243506760483797e-07,7.398050257734212e-06
1884,5.644450800090794e-07,7.276390476818051e-06
1885,4.10586999510798e-07,7.618741193482492e-06
1886,4.5238780543854773e-07,7.913237595857936e-06
1887,4.968511522207564e-07,7.969858245360228e-06
1888,4.3496617152527506e-07,7.805296831975284e-06
1889,4.4858378878132044e-07,7.925397852659444e-06
1890,4.817473957530183e-07,7.891481459409988e-06
1891,4.2707273628650455e-07,7.55600055413197e-06
1892,5.904938618073174e-07,7.574870409143841e-06
1893,5.413248107544177e-07,7.988081762277943e-06
1894,3.7494157112405446e-07,7.834704007336768e-06
1895,3.9482110825161953e-07,7.482341771947176e-06
1896,5.183488394067126e-07,8.098979208170931e-06
1897,4.492396001865018e-07,8.056596840333441e-06
1898,4.837893285980499e-07,7.789857022544311e-06
1899,5.378333831629334e-07,8.311266810778761e-06
1900,4.2981919623485965e-07,8.033154614395244e-06
1901,3.917705884148859e-07,7.765552510363705e-06
1902,3.3831854984178733e-07,7.499476367911484e-06
1903,3.9529613271582775e-07,7.550048053417413e-06
1904,4.6651745932990707e-07,7.677114837179033e-06
1905,4.180214836502216e-07,7.92641000657568e-06
1906,4.840677552131467e-07,7.867515620318954e-06
1907,4.4639880325547665e-07,7.4416942936750274e-06
1908,4.16976919659362e-07,7.815984531589493e-06
1909,3.9001974716512677e-07,7.654618769947774e-06
1910,5.509819449578401e-07,7.563042004221643e-06
1911,4.878783039785617e-07,8.056110630150215e-06
1912,4.3759138845800294e-07,8.053764901205795e-06
1913,3.887091333254489e-07,8.30501218729296e-06
1914,4.855139064119385e-07,8.35954520539417e-06
1915,2.473959943571913e-07,9.365705466279906e-06
1916,2.6809406961092463e-07,9.34154058995773e-06
1917,3.893080684491679e-07,9.433318325591245e-06
1918,3.652667697195966e-07,8.790523565949115e-06
1919,4.797288877256278e-07,8.664585664064361e-06
1920,4.3616053879702577e-07,8.446067312206651e-06
1921,4.4300572987765463e-07,7.911249269909604e-06
1922,4.84730355410079e-07,8.0065356655723e-06
1923,4.299459046563925e-07,8.047950302625395e-06
1924,4.963275417324553e-07,7.812324582801011e-06
1925,3.838364168728958e-07,7.90658998539584e-06
1926,4.514186233706141e-07,7.501350978600385e-06
1927,4.325899194412841e-07,6.7686945612877025e-06
1928,3.850575769348552e-07,7.279530649384469e-06
1929,4.1999331834574605e-07,7.679082102640677e-06
1930,3.497700085119959e-07,7.697040530274535e-06
1931,3.25052660343772e-07,7.74993964114401e-06
1932,2.487814780849362e-07,7.084244316502009e-06
1933,4.886502225076583e-07,8.222170748695135e-06
1934,3.9059950296405077e-07,8.177428128419706e-06
1935,4.176931147625851e-07,7.727920859679216e-06
1936,4.910509403543983e-07,7.643419934311169e-06
1937,3.361828575521031e-07,8.104902576633322e-06
1938,3.656190541434512e-07,7.242368667448318e-06
1939,4.863508173968967e-07,7.445143921813724e-06
1940,3.52473818132637e-07,8.144934980691687e-06
1941,1.345885138448466e-06,6.891758772553658e-06
1942,5.006449459443729e-07,7.667453019166715e-06
1943,6.532279093196536e-07,7.365507713075203e-06
1944,4.530592363494179e-07,7.024024796464801e-06
1945,4.6837837075486277e-07,7.184706134921726e-06
1946,4.705333092047681e-07,7.220876938163201e-06
1947,3.7193117963241207e-07,7.512532988585008e-06
1948,5.175018493730477e-07,7.448330393344804e-06
1949,3.16107669373622e-07,8.031294385091314e-06
1950,4.094614123317797e-07,7.53196314917659e-06
1951,4.040671335303614e-07,7.4960314861982624e-06
1952,4.112473401818306e-07,7.085053908895134e-06
1953,3.8247087186249473e-07,7.49750660133941e-06
1954,4.3780963210338086e-07,7.66460004797409e-06
1955,3.144178606362402e-07,7.26821474472672e-06
1956,3.1657744337110216e-07,7.276048506810184e-06
1957,3.454499761801344e-07,7.07333106220176e-06
1958,4.309838868010729e-07,6.66742815269572e-06
1959,6.960171283765249e-07,6.6578923281213065e-06
1960,4.429333402278246e-07,6.870311267448415e-06
1961,4.2383771337028975e-07,6.759169252745778e-06
1962,3.640283017247725e-07,6.872144069802744e-06
