year,moindres_ADJ eaux_NOUN,moindres_ADJ maux_NOUN
1800,0.0,8.174827570428533e-08
1801,0.0,1.0715321963061797e-07
1802,0.0,3.1329761895904085e-08
1803,0.0,6.241085515057421e-08
1804,0.0,3.707776485839531e-08
1805,0.0,3.4114531644036106e-08
1806,1.4408345627714425e-08,6.339671898558663e-08
1807,0.0,7.402083213037258e-08
1808,0.0,4.5321478125970316e-08
1809,0.0,2.4849335034105025e-08
1810,0.0,6.786367379163494e-08
1811,0.0,3.760615285841595e-08
1812,0.0,4.000812481308458e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,9.440030979135372e-09
1815,0.0,5.1247248222807684e-08
1816,0.0,6.721051448721482e-08
1817,0.0,3.580808893843823e-08
1818,0.0,3.9339884239097955e-08
1819,0.0,3.2088255608186955e-08
1820,0.0,4.034603762193001e-08
1821,0.0,5.1279737789400315e-08
1822,0.0,5.6143449000956025e-08
1823,9.882686891060644e-10,3.360113609574e-08
1824,0.0,3.8737120178211626e-08
1825,0.0,4.402721387464226e-08
1826,0.0,3.52319382557198e-08
1827,0.0,3.96342727526644e-08
1828,0.0,2.0179061976932644e-08
1829,0.0,2.6576845613135447e-08
1830,0.0,4.4878394334091354e-08
1831,0.0,4.053713453799901e-08
1832,0.0,2.705993829010822e-08
1833,0.0,1.50587169400751e-08
1834,0.0,1.5868701908061666e-08
1835,0.0,2.0420337421001022e-08
1836,0.0,1.747394939854985e-08
1837,0.0,2.5744196108234974e-08
1838,0.0,1.5780404538645598e-08
1839,0.0,2.7266752411492234e-08
1840,0.0,2.5478755105723394e-08
1841,0.0,1.6051371787284552e-08
1842,0.0,3.6895457355967665e-08
1843,0.0,3.36693943836508e-08
1844,0.0,3.402907822191992e-08
1845,0.0,2.7343116215661212e-08
1846,0.0,1.4050803187615202e-08
1847,0.0,2.2651539310913904e-08
1848,0.0,2.091757700384278e-08
1849,0.0,1.8434713311421547e-08
1850,0.0,3.394497838371535e-08
1851,0.0,1.805842941848823e-08
1852,0.0,1.7578472011337e-08
1853,0.0,3.762317035693741e-08
1854,4.1565315633818045e-09,6.702406807335137e-08
1855,0.0,2.812676669350367e-08
1856,0.0,3.36517302912398e-08
1857,0.0,2.0502337605421417e-08
1858,0.0,3.425573069648635e-08
1859,0.0,3.360834455179429e-08
1860,0.0,1.9224172476128842e-08
1861,1.8863854922557266e-09,2.169343282787395e-08
1862,4.517986262886353e-10,4.156547461775517e-08
1863,4.994620828036034e-10,2.5472566278494924e-08
1864,0.0,1.726102105692462e-08
1865,0.0,2.118079933666195e-08
1866,0.0,5.20620595523269e-08
1867,4.85281148598915e-10,1.1161466417775046e-08
1868,4.93987406535723e-10,2.0747471296544973e-08
1869,0.0,2.197583626184496e-08
1870,1.7202146374017957e-09,3.7844721134661086e-08
1871,0.0,3.080141297573391e-08
1872,0.0,2.116568786902917e-08
1873,0.0,2.6338419445437466e-08
1874,0.0,2.8678122987457755e-08
1875,0.0,1.0870901512305409e-08
1876,6.04601479992084e-10,2.1765654167893445e-08
1877,0.0,1.855444864418132e-08
1878,6.039088673581716e-10,1.5701630218245555e-08
1879,0.0,2.077170613290491e-08
1880,0.0,1.2193908105473383e-08
1881,0.0,1.045876096839038e-08
1882,1.3310770263785798e-09,1.7969540522244642e-08
1883,1.8958017378167824e-09,8.847074184359371e-09
1884,0.0,2.178559910248623e-08
1885,6.445635691854079e-10,9.66845359329227e-09
1886,0.0,1.1616235084943582e-08
1887,0.0,9.793386546164129e-09
1888,3.1703073499755874e-09,1.5851536971922542e-08
1889,1.2530273485467092e-09,1.7542383545787743e-08
1890,0.0,2.3595791986963377e-08
1891,0.0,1.5935549768641977e-08
1892,0.0,1.191017329205124e-08
1893,0.0,1.2932674486876294e-08
1894,0.0,6.9316934414587195e-09
1895,0.0,2.347259631108045e-08
1896,1.179405795248556e-09,1.8280790214930676e-08
1897,5.826713556089658e-10,1.8645483379486905e-08
1898,0.0,1.0750873968845553e-08
