year,des_DET auteurs_NOUN
1800,4.166017873785677e-06
1801,3.136017454608009e-06
1802,4.06167995947726e-06
1803,4.199080336775296e-06
1804,3.645980044097996e-06
1805,4.454789291230554e-06
1806,4.1553668097549235e-06
1807,3.6611842091360813e-06
1808,4.910582291017818e-06
1809,4.470621348673376e-06
1810,4.404118783440936e-06
1811,4.826122733447846e-06
1812,5.038356121644938e-06
1813,4.463151014988398e-06
1814,3.908172942601595e-06
1815,4.617646681026599e-06
1816,3.803187937023722e-06
1817,5.470853309930135e-06
1818,4.352421886011371e-06
1819,4.876379669838116e-06
1820,4.146148494754698e-06
1821,4.121115990685098e-06
1822,4.067392382012258e-06
1823,3.4836471201060704e-06
1824,3.524235623331151e-06
1825,3.795146003682248e-06
1826,3.476511489353129e-06
1827,3.2546191781612777e-06
1828,3.5029019231913594e-06
1829,3.7507645060941286e-06
1830,3.5840093541850138e-06
1831,3.431624429950375e-06
1832,3.0401840573901495e-06
1833,3.542273484313796e-06
1834,3.3949689397516636e-06
1835,2.880780137104466e-06
1836,3.081463906262627e-06
1837,3.0044173637833183e-06
1838,3.2488696835031305e-06
1839,2.987457236258706e-06
1840,2.9835621671026047e-06
1841,3.311719028786797e-06
1842,2.9570032733516882e-06
1843,3.687684632325272e-06
1844,2.7997150828795725e-06
1845,2.8727014438345577e-06
1846,3.383901765019459e-06
1847,3.035306209930866e-06
1848,2.881798494058785e-06
1849,2.737554751774951e-06
1850,3.1752134503904017e-06
1851,3.280829439233912e-06
1852,3.640697025630857e-06
1853,3.018811632671259e-06
1854,2.9225613635830427e-06
1855,3.178324533337218e-06
1856,2.939608116037107e-06
1857,2.7819720216371024e-06
1858,2.847630113933519e-06
1859,3.075672625030279e-06
1860,2.8094754185303827e-06
1861,2.922954379869225e-06
1862,2.849493960788152e-06
1863,2.6666280561471467e-06
1864,2.749776525590164e-06
1865,2.578880025083663e-06
1866,2.94466887140743e-06
1867,2.5472408395899038e-06
1868,2.3978148533387866e-06
1869,2.6932607894991634e-06
1870,2.6508508543798825e-06
1871,2.0690052986438445e-06
1872,2.2877083445393964e-06
1873,2.5811651056528717e-06
1874,2.496191591205843e-06
1875,2.4419477711035142e-06
1876,2.7412630920764514e-06
1877,2.637823985907062e-06
1878,2.751408732848404e-06
1879,2.601961699433275e-06
1880,2.7994645943607566e-06
1881,2.6063233597994895e-06
1882,2.673468200597995e-06
1883,2.5315272278447765e-06
1884,2.5766423510376057e-06
1885,2.760665777756799e-06
1886,2.2935611632135533e-06
1887,2.630503694867059e-06
1888,2.758167381600174e-06
1889,2.5812364405908284e-06
1890,2.737767228921939e-06
1891,2.4120048696119056e-06
1892,2.623999229456331e-06
1893,2.5846874374124695e-06
1894,2.398996111985241e-06
1895,2.3093424239561955e-06
1896,2.377092305216877e-06
1897,2.65989474179662e-06
1898,2.442711773298356e-06
1899,2.3602759178231736e-06
1900,2.430970123867837e-06
1901,2.646826677832337e-06
1902,2.2896652502879533e-06
1903,2.6039862852655915e-06
1904,2.8077042522056672e-06
1905,2.6108279769232468e-06
1906,2.68886535614854e-06
1907,2.4829647955471046e-06
1908,2.64674759264949e-06
1909,2.591513359462283e-06
1910,2.7276544294352334e-06
1911,2.7522294665516256e-06
1912,2.961035134418921e-06
1913,2.7883119901872533e-06
1914,2.7443254850822996e-06
1915,2.4185905291851384e-06
1916,2.1359625463901466e-06
1917,2.2196042488431544e-06
1918,2.1491009842833364e-06
1919,2.4934854332414602e-06
1920,2.800968413652072e-06
1921,2.7867710130635714e-06
1922,2.8714924589223756e-06
1923,3.1157808084714134e-06
1924,3.0656281886365377e-06
1925,2.9519110444908847e-06
1926,3.246870070583441e-06
1927,3.3180092842144404e-06
1928,3.1295927644947596e-06
1929,3.1159717064355164e-06
1930,3.301282564649455e-06
1931,3.13761357872977e-06
1932,3.410607742893035e-06
1933,3.3092860824979198e-06
1934,3.142768459696299e-06
1935,3.4684087957259635e-06
1936,3.3585459000562423e-06
1937,3.132670197913967e-06
1938,3.625073919266697e-06
1939,3.3478675760534315e-06
1940,3.5095234984794388e-06
1941,3.3647129100700113e-06
1942,3.683533051912491e-06
1943,3.4548498391018256e-06
1944,3.486307027955604e-06
1945,3.208936504961457e-06
1946,3.2450093288005633e-06
1947,3.550035270194485e-06
1948,3.392029045201639e-06
1949,3.1139551044390146e-06
1950,3.6798349860589497e-06
1951,3.416979353687566e-06
1952,3.4724038595612683e-06
1953,3.583374930116179e-06
1954,3.6881551555012493e-06
1955,3.4989545518726572e-06
1956,3.559969918853767e-06
1957,3.592326274670654e-06
1958,3.4759966496267225e-06
1959,3.567669320858613e-06
1960,3.5974491865431446e-06
1961,3.4629625282889265e-06
1962,3.6510642971165908e-06
1963,3.566675001565045e-06
1964,3.7592841408695676e-06
1965,3.8008812524026325e-06
1966,3.8263927848447565e-06
1967,3.887569675953273e-06
1968,3.833423392052282e-06
1969,3.620235162316021e-06
1970,4.128735426434105e-06
1971,4.368665628362578e-06
1972,4.063076247007302e-06
1973,4.108439398464725e-06
1974,4.097103863287543e-06
1975,3.9169331707000765e-06
1976,4.025751076497386e-06
1977,3.881614340173201e-06
1978,4.021186359892681e-06
1979,4.1560715011712546e-06
1980,4.005757144653899e-06
1981,4.461410044953595e-06
1982,4.47747128617948e-06
1983,4.711857354067206e-06
1984,4.7517076211534e-06
1985,4.803422935850676e-06
1986,5.073732587845825e-06
1987,5.050590319299886e-06
1988,5.109063947017489e-06
1989,4.9469932292822705e-06
1990,5.13535362500761e-06
1991,5.131712665473742e-06
1992,5.505536030625535e-06
1993,5.262247285031663e-06
1994,5.377787598348505e-06
1995,5.360634697026967e-06
1996,5.513181410066181e-06
1997,5.832989080190032e-06
1998,5.82140875238224e-06
1999,6.01849793113729e-06
2000,5.91441862063391e-06
2001,6.006641170230864e-06
2002,5.961966371259564e-06
2003,5.867444093254903e-06
2004,5.977742040030876e-06
2005,6.435407737370724e-06
2006,6.10024226421757e-06
2007,5.950576245083994e-06
2008,5.22685845716353e-06
2009,5.084800566379499e-06
2010,4.55940491139728e-06
2011,3.8059993849870466e-06
2012,3.153018750978731e-06
2013,3.1076430691001633e-06
2014,2.922701345386969e-06
2015,3.1597281813233735e-06
2016,3.2774814484604065e-06
2017,3.2765838549053683e-06
2018,3.1398379891633965e-06
2019,2.922156562945588e-06
