year,deux_DET effets_NOUN,deux_DET méfaits_NOUN
1800,9.652584882502424e-07,3.144164484325529e-09
1801,5.905332862710111e-07,0.0
1802,4.609950678968744e-07,0.0
1803,6.689663596404216e-07,0.0
1804,5.240323872612862e-07,0.0
1805,4.491746703472188e-07,0.0
1806,6.97363947033125e-07,0.0
1807,6.377179389005505e-07,0.0
1808,5.61986370328782e-07,0.0
1809,5.286131568027486e-07,0.0
1810,3.9080117630874156e-07,0.0
1811,3.835827548925863e-07,0.0
1812,1.0642161321072763e-06,0.0
1813,5.83775578322232e-07,0.0
1814,2.2026739543434815e-07,0.0
1815,3.9109742910881096e-07,0.0
1816,6.327058503785565e-07,0.0
1817,3.4718276786804836e-07,0.0
1818,4.6731014613499156e-07,0.0
1819,4.2646324782680267e-07,0.0
1820,3.1564839098052744e-07,0.0
1821,5.009636208086476e-07,0.0
1822,5.243397112053572e-07,0.0
1823,3.3601136095740003e-07,0.0
1824,4.85056101062753e-07,0.0
1825,3.25801402745185e-07,0.0
1826,3.2589543064176496e-07,0.0
1827,4.7192437424570244e-07,0.0
1828,4.2376031217372656e-07,0.0
1829,4.7323930818521376e-07,0.0
1830,3.2354191148442624e-07,0.0
1831,3.648342286055595e-07,0.0
1832,4.7354894228135436e-07,0.0
1833,4.49444774730523e-07,0.0
1834,3.7804850805400747e-07,0.0
1835,3.705912945406453e-07,0.0
1836,3.17219390311152e-07,1.0753200108126748e-08
1837,3.9590397982181e-07,0.0
1838,2.935155238859011e-07,2.5248647617104325e-09
1839,3.2650188508398514e-07,0.0
1840,3.605243907855993e-07,0.0
1841,4.057786799904761e-07,0.0
1842,3.6895459132324504e-07,0.0
1843,3.5264258180234265e-07,0.0
1844,3.611473395892517e-07,3.841992946007622e-09
1845,4.207491777208361e-07,3.348136878855712e-09
1846,3.9225158943168026e-07,1.7563503984519002e-09
1847,3.306046014728281e-07,0.0
1848,2.6146971210394554e-07,0.0
1849,3.6031483841014733e-07,0.0
1850,4.1141317286275125e-07,1.3577992064028876e-09
1851,2.5991238006284334e-07,6.449438760824933e-10
1852,3.684968703510094e-07,2.6042181744401205e-09
1853,3.654822169352201e-07,0.0
