year,grands_ADJ êtres_NOUN,grands_ADJ maîtres_NOUN,grands_ADJ etres_NOUN
1800,1.5720821977538435e-08,3.515175912127688e-06,0.0
1801,4.7623651688866175e-09,2.6907364134576284e-06,0.0
1802,4.475680270843441e-09,2.501905328244902e-06,0.0
1803,4.4857802805609026e-08,3.861671590499327e-06,0.0
1804,2.7190360185613827e-08,3.7374385613020422e-06,0.0
1805,5.1171799242411e-08,3.9089570282868635e-06,0.0
1806,1.4408345627714425e-08,6.575969120348191e-06,0.0
1807,0.0,3.59570442398649e-06,0.0
1808,4.078933102391602e-08,4.008684790335337e-06,0.0
1809,0.0,2.656619948027128e-06,0.0
1810,0.0,4.682593669258495e-06,0.0
1811,2.2563691359778204e-08,3.695431109562719e-06,0.0
1812,2.400487453257938e-08,4.488911409250562e-06,0.0
1813,0.0,4.992287461647038e-06,0.0
1814,0.0,3.448758226554105e-06,0.0
1815,0.0,2.6297929522911545e-06,0.0
1816,0.0,2.771854163086118e-06,4.6352077731626196e-09
1817,2.1796227045456362e-08,3.546557544753526e-06,0.0
1818,5.9605886892910576e-09,2.738294335946634e-06,3.5763532135746345e-09
1819,1.1386155129855524e-08,2.4956381281526774e-06,0.0
1820,2.3732962262101864e-09,2.3519365663915437e-06,0.0
1821,1.2819934891439289e-08,3.1260917463526994e-06,0.0
1822,4.110502516141423e-08,2.9314900018562184e-06,3.0076847679083585e-09
1823,9.882686891060644e-10,3.1258938222311627e-06,0.0
1824,2.5263338088166165e-09,2.4926494210930628e-06,0.0
1825,1.584979791857677e-08,2.3942000382248807e-06,1.7610886082763955e-09
1826,1.4973573381205085e-08,1.9254254106648716e-06,8.807984341885344e-10
1827,5.530363889061363e-09,2.2112237711979787e-06,9.217273055917019e-10
1828,2.7516904310687096e-09,2.101374116991739e-06,0.0
1829,1.0287811491593857e-08,2.557378407097577e-06,1.714635211591542e-09
1830,2.7135772739939057e-08,2.5601558919507994e-06,0.0
1831,3.1182412207897414e-09,2.019061112079612e-06,0.0
1832,2.705993873419743e-09,2.0836152159198207e-06,0.0
1833,1.853380560135065e-08,2.0966368087238507e-06,0.0
1834,2.8003592777992026e-09,2.000389932144131e-06,0.0
1835,3.025235173481633e-09,1.951276679790226e-06,0.0
1836,1.6129800384234727e-08,2.1997014040819884e-06,0.0
