year,pas_ADV annuel_ADJ,pas_ADV manuel_ADJ
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,1.1866481131050932e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,4.210556348027694e-09,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,2.7651818612639545e-09,0.0
1828,1.2841221419535032e-08,0.0
1829,2.571952872898464e-09,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,6.050470346963266e-09,0.0
1836,1.2097349788575684e-08,0.0
1837,6.957890930081589e-10,6.957890930081589e-10
1838,6.943378316748294e-09,0.0
1839,2.7965900706306e-09,1.3982950353153e-09
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,6.708265054555795e-10
1843,5.906911071384968e-10,2.953455480181333e-09
1844,5.488561272137815e-10,5.488561272137815e-10
1845,3.348136878855712e-09,0.0
1846,9.952652035849496e-09,0.0
1847,9.707802561820245e-09,0.0
1848,6.43617736884039e-09,0.0
1849,5.02764896381791e-09,1.005529792763582e-08
1850,0.0,0.0
1851,1.2898877521649865e-09,0.0
1852,6.510545436100301e-10,6.510545436100301e-10
1853,3.5831591027601917e-09,0.0
1854,5.195664454227256e-10,0.0
1855,6.368324534378189e-09,0.0
1856,1.5531567143511893e-09,0.0
1857,1.122747050885664e-08,0.0
1858,7.829881631948865e-09,4.893676019968041e-10
1859,5.092173349652285e-10,0.0
1860,9.154367819341758e-10,0.0
1861,6.13075279431996e-09,0.0
1862,4.9697850279528666e-09,0.0
1863,1.9978483312144135e-09,0.0
1864,5.753673537611803e-09,0.0
1865,4.23615986733239e-09,0.0
1866,4.865612912574591e-10,0.0
1867,3.88224918879132e-09,4.85281148598915e-10
1868,3.951899252285784e-09,0.0
1869,6.348574999037737e-09,0.0
1870,5.160643912205387e-09,3.4404292748035914e-09
1871,5.3105884134652115e-09,0.0
1872,1.2094678591978436e-09,0.0
1873,5.986004469882289e-10,0.0
1874,5.974609140757536e-10,0.0
1875,2.2886108563824337e-09,0.0
1876,5.441413541973361e-09,0.0
1877,0.0,0.0
1878,6.039088784604019e-09,0.0
1879,0.0,0.0
1880,6.417846254436199e-09,0.0
1881,7.669758161910067e-09,0.0
1882,1.4641846846075168e-08,0.0
1883,2.5277355764075082e-09,6.319338941018771e-10
1884,1.3203393933736152e-09,0.0
1885,4.511945039809007e-09,0.0
1886,6.453463874400711e-10,0.0
1887,1.3057849246322917e-09,0.0
1888,6.340614699951175e-09,0.0
1889,6.265136853755848e-09,0.0
1890,6.554386478008212e-10,0.0
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,6.268512375839919e-10,0.0
1893,6.774258043407144e-09,0.0
1894,1.2603078580752936e-09,0.0
1895,4.814891596538473e-09,0.0
1896,6.486732040400511e-09,5.89702897624278e-10
1897,4.078699600285063e-09,1.1653427112179315e-09
1898,3.3950129374460403e-09,0.0
1899,5.527578395003729e-10,5.527578395003729e-10
1900,0.0,1.038210628578895e-09
1901,1.1177477832191585e-09,0.0
1902,7.365425602756659e-09,0.0
1903,4.320176216765503e-09,3.7801539676252105e-09
1904,1.1824175416563776e-08,6.449550227216605e-09
1905,5.676835002077496e-09,3.6125313851442797e-09
1906,5.658602919567102e-09,1.0288369045596824e-09
1907,2.5714217422034835e-09,3.599990305858114e-09
1908,4.4202499438483756e-09,0.0
1909,2.2003934230241384e-09,0.0
1910,5.878565634276356e-09,0.0
