year,plusieurs_DET amants_NOUN,plusieurs_DET mamans_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,2.881669125542885e-08,0.0
1807,5.693910232196231e-09,0.0
1808,2.039466551195801e-08,0.0
1809,2.259030518203531e-09,0.0
1810,3.7442028144596406e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,9.777521370324394e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,3.476405652236281e-08,0.0
1817,6.227493631882908e-09,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,3.1053151161586356e-09,0.0
1820,2.7292905713238724e-08,0.0
1821,1.676452932031225e-08,0.0
1822,7.017931125119503e-09,0.0
1823,3.5577674140085946e-08,0.0
1824,1.9368560089105813e-08,0.0
1825,7.044354433105582e-09,8.805443041381977e-10
1826,1.5854372037438225e-08,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,5.503380862137419e-09,9.172301251858528e-10
1829,9.430493719264632e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,3.1182413096075834e-08,0.0
1832,5.411987746839486e-09,0.0
1833,8.108540172635514e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,2.2689263801112247e-09,2.2689263801112247e-09
1836,1.344150035720304e-08,0.0
1837,7.653680356156656e-09,0.0
1838,6.943378316748294e-09,0.0
1839,1.5381244722334486e-08,0.0
1840,4.45878195476368e-09,6.369688665408546e-10
1841,3.2102742686390684e-09,6.420548537278137e-10
1842,2.6162233268678392e-08,0.0
1843,2.7171790151214736e-08,1.7720733769266417e-09
1844,9.879410178825765e-09,0.0
1845,1.0044410636567136e-08,5.580227946389016e-10
1846,1.9319854160926297e-08,0.0
1847,3.074137566727586e-08,0.0
1848,2.252662056889676e-08,0.0
1849,4.022119171054328e-08,0.0
1850,1.8330290174617403e-08,1.3577992064028876e-09
1851,1.096404567135778e-08,0.0
1852,1.7578472011337e-08,0.0
1853,2.030456869306363e-08,0.0
1854,2.3900057044556888e-08,0.0
1855,4.0332722051061864e-08,0.0
1856,2.8992259260007813e-08,0.0
1857,3.514686497396724e-08,0.0
1858,3.474509924217273e-08,9.787352039936081e-10
1859,1.6294954496842706e-08,0.0
1860,2.7920821210614122e-08,0.0
1861,1.792066256500746e-08,4.715963730639317e-10
1862,1.5812951947857812e-08,9.035972525772706e-10
1863,3.196557385454213e-08,0.0
1864,1.0548401596643942e-08,0.0
1865,1.553258638375965e-08,0.0
1866,2.432806489593986e-08,0.0
1867,1.844068364675877e-08,0.0
1868,2.6675320063951347e-08,0.0
1869,8.790334127262156e-09,4.883519144627257e-10
1870,3.268407811063412e-08,0.0
1871,2.7615060460561835e-08,0.0
1872,1.6327815544059376e-08,0.0
1873,1.616221290134945e-08,0.0
1874,2.9873046258899194e-09,5.974609140757536e-10
1875,1.716458086775674e-08,0.0
1876,1.5115036333668286e-08,1.813804439976252e-09
1877,1.3606595072879202e-08,0.0
1878,9.662541877730746e-09,6.039088673581716e-10
1879,1.8938908108445673e-08,0.0
1880,2.9522093214495726e-08,0.0
1881,1.8825771164188154e-08,0.0
1882,2.5956001570293097e-08,0.0
1883,1.4534479397809719e-08,0.0
1884,2.0465261485469455e-08,5.281357573494461e-09
1885,2.320428826863008e-08,9.023890079618013e-09
1886,1.0325542199041138e-08,6.453463874400711e-10
1887,1.3057849246322917e-08,4.570247291724172e-09
1888,1.5851536971922542e-08,2.53624587998047e-09
1889,1.7542383545787743e-08,6.265136742733546e-10
1890,1.2453334363726754e-08,1.3108772956016423e-09
1891,2.6134301833735663e-08,1.2748440081367107e-09
1892,1.3790726782758611e-08,0.0
1893,4.310891643655168e-09,1.847525021858587e-09
1894,1.638400193293421e-08,0.0
