year,autres_ADJ êtres_NOUN,autres_ADJ etres_NOUN,autres_ADJ maîtres_NOUN
1800,1.3708556707570096e-06,0.0,6.634187030840621e-07
1801,1.250120817530842e-06,0.0,5.786273877816939e-07
1802,1.1748660426746937e-06,6.713520406265161e-09,2.8196785706313676e-07
1803,1.7631066384637961e-06,5.851017670366332e-09,6.475125946536764e-07
1804,1.1444669780757977e-06,2.4718509461507665e-09,7.736893561371971e-07
1805,1.4242817769627436e-06,1.421438877713399e-08,4.0368863096773566e-07
1806,8.270390594589117e-07,1.3832011802605848e-07,6.88718898800289e-07
1807,7.829126502656436e-07,3.4732852327579167e-07,6.348709860048984e-07
1808,9.336224593425868e-07,1.3596443526608937e-08,9.177599720189278e-07
1809,7.545161793132138e-07,0.0,4.495470715681904e-07
1810,7.067182536957262e-07,0.0,4.399438373603459e-07
1811,2.8831382792304794e-07,3.008491944456182e-08,4.16174740447417e-07
1812,5.014351245336002e-07,0.0,5.254400470278142e-07
1813,4.744973693959764e-07,4.026038169513413e-08,5.377637060099971e-07
1814,3.8704129678990284e-07,0.0,7.237357442235748e-07
1815,9.035699122250662e-07,0.0,3.5063907510846093e-07
1816,1.6269578964056564e-06,4.6352077731626196e-09,3.499581975319188e-07
1817,1.8993855519511271e-06,1.556873407970727e-09,7.862210638087674e-07
1818,1.6212801483561634e-06,2.384235475716423e-09,4.1247274840117143e-07
1819,1.2152132740084198e-06,5.175525119582858e-09,4.482004705153031e-07
1820,1.0193307389272377e-06,1.898636980968149e-08,5.233117956748856e-07
1821,1.0502485565666575e-06,4.930744257336528e-09,4.161548048386976e-07
1822,1.1208638852622244e-06,1.1028177482330648e-08,5.433883671912554e-07
1823,7.421897976200853e-07,4.941343556552624e-09,4.61521487693517e-07
1824,8.463218250653881e-07,8.421112696055388e-09,4.244240718875858e-07
1825,8.338754469150444e-07,8.805443041381977e-10,4.068114718425164e-07
1826,8.42924123389821e-07,1.7615968683770689e-09,4.333528242916884e-07
1827,8.27711119200103e-07,9.217273055917019e-10,3.474911860479324e-07
1828,9.906085551847355e-07,1.8344602503717056e-09,3.2469947086610773e-07
1829,9.344761906504573e-07,0.0,3.7379047057584103e-07
1830,8.787815772848262e-07,5.218417920005436e-09,4.5817708382855926e-07
1831,8.621937013231218e-07,4.677361609140007e-09,2.4166368461919774e-07
1832,8.320931215166638e-07,0.0,7.820322124318935e-07
