year,moindres_ADJ effets_NOUN,moindres_ADJ méfaits_NOUN
1800,8.174827570428533e-08,0.0
1801,7.143547975374531e-08,0.0
1802,5.594600338554301e-08,0.0
1803,5.265916058760922e-08,0.0
1804,3.9549615138412264e-08,0.0
1805,5.685755422035754e-09,0.0
1806,4.034336598124355e-08,0.0
1807,5.693910054560547e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,6.325285539787728e-08,0.0
1810,5.8503168531842675e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,4.800974906515876e-08,0.0
1813,5.176335093892703e-08,0.0
1814,6.608021863030444e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,7.184571870766376e-08,0.0
1817,7.317304806520042e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,5.2790355198339967e-08,0.0
1820,3.9159388620646496e-08,0.0
1821,4.536284592404627e-08,0.0
1822,2.4061478143266868e-08,0.0
1823,7.115534828017189e-08,0.0
1824,3.536867154707579e-08,0.0
1825,5.547429182684027e-08,0.0
1826,4.932471142637951e-08,0.0
1827,1.935627302884768e-08,0.0
1828,3.118582370120748e-08,0.0
1829,5.658296231558779e-08,0.0
1830,4.383471008395645e-08,1.0436835840010872e-09
1831,9.354723218280014e-09,0.0
1832,2.705993829010822e-08,0.0
1833,3.59092489077284e-08,1.1583628500844156e-09
1834,4.1071935186209885e-08,0.0
1835,5.596685070941021e-08,7.563087933704082e-10
1836,3.427582484505365e-08,8.736974699274924e-09
1837,3.6181031504156635e-08,2.0873671680021744e-09
1838,3.7241754569095065e-08,1.8936485712828244e-09
1839,3.146163862766116e-08,6.9914751765765e-10
1840,3.248541347034006e-08,0.0
1841,2.8892468861840825e-08,0.0
1842,5.0311989241436095e-08,0.0
1843,2.5990408047960045e-08,0.0
1844,2.8540519281250454e-08,5.488561272137815e-10
1845,1.2834524554250493e-08,1.0044410636567136e-08
1846,2.3418005312692003e-08,0.0
1847,1.7258315665458213e-08,5.393223645455691e-10
1848,5.712107409294731e-08,4.82713291560799e-09
1849,2.9327951622803994e-08,0.0
1850,2.1045888587423178e-08,3.394498016007219e-09
1851,1.7413483988093503e-08,3.2247193804124663e-09
1852,1.6927417689771573e-08,5.208436348880241e-09
1853,2.030456869306363e-08,1.7915795513800958e-09
1854,2.286092382064453e-08,1.2989160858012383e-08
1855,1.6451505047143655e-08,9.021793090369101e-09
1856,2.7439103433835044e-08,2.0708756931497874e-09
1857,2.3431244500216053e-08,6.8341128311999455e-09
1858,2.397901255335455e-08,4.893676019968041e-10
1859,2.189634606963864e-08,3.5645213447565993e-09
1860,3.3413442679375294e-08,1.8308735638683515e-09
1861,1.1789909493131745e-08,4.2443675241088386e-09
1862,3.975828022362293e-08,1.1746764450037972e-08
1863,2.5472566278494924e-08,1.0988165932701577e-08
1864,3.691940619887646e-08,4.794728170054441e-09
1865,2.3534221682552925e-08,1.882737743486018e-09
1866,1.3623716377253459e-08,0.0
1867,1.0190904120577216e-08,4.85281148598915e-10
1868,2.420538258718352e-08,2.9639244392143382e-09
1869,1.5138908793232986e-08,2.441759683335931e-09
1870,4.759260363584872e-08,0.0
1871,2.973929724703339e-08,1.0621176826930423e-08
1872,7.861540751719076e-09,4.23313739617015e-09
1873,1.9155214303623325e-08,2.9930022904522957e-09
1874,1.1351757756017378e-08,1.7923826867161097e-09
1875,1.2587359599081083e-08,2.2886108563824337e-09
1876,2.2974855795609983e-08,3.627608879952504e-09
1877,4.7004601100297805e-08,1.8554447978047506e-09
1878,1.509772218355465e-08,6.039088673581716e-10
1879,1.649517855639715e-08,1.832797580370027e-09
1880,1.6686399817444908e-08,1.9253538763308597e-09
1881,1.1156012114099667e-08,4.8807553554297556e-09
1882,1.9300616216355593e-08,8.652000893505374e-09
1883,1.2006744043446815e-08,1.8958017378167824e-09
1884,1.7824582698722224e-08,1.9805090900604227e-09
1885,1.933690718658454e-08,5.80107206715752e-09
1886,1.677900662855336e-08,3.872078213618124e-09
1887,2.0239665943222462e-08,2.6115698492645834e-09
1888,1.268122939990235e-08,3.804368819970705e-09
1889,9.397704836544563e-09,3.132568426877924e-09
1890,1.7041404731799048e-08,3.9326319978272295e-09
1891,1.9760081571007504e-08,1.466070642663908e-08
1892,3.322311670217459e-08,5.014809900671935e-09
1893,1.7243566574620672e-08,6.15841644346915e-09
1894,1.1342770278588432e-08,4.411077725308132e-09
1895,1.6852119699706236e-08,2.4074457982692365e-09
1896,1.8280790214930676e-08,2.948514543632541e-09
1897,2.0976168357833558e-08,6.992056267307589e-09
1898,1.4145887128336199e-08,1.1882545614128048e-08
1899,8.291367592505594e-09,2.7637891975018647e-09
1900,2.076421168339948e-08,1.038210628578895e-09
1901,7.824234593556412e-09,1.0059729937950124e-08
1902,6.38336894454028e-09,6.874397495693074e-09
1903,1.3500550899436803e-08,2.1600881083827517e-09
1904,1.1286712897629059e-08,4.299700151477737e-09
1905,1.2901897328276846e-08,2.580379465655369e-09
1906,9.773950537805831e-09,1.0802787109298606e-08
1907,2.3142794347563722e-08,9.771402353919711e-09
1908,1.2278472460991452e-08,7.858222517143076e-09
1909,3.080550925460557e-08,3.850688656825696e-09
1910,8.01622590529405e-09,2.67207544979442e-09
1911,1.276889793899727e-08,5.3203743632934675e-09
1912,2.917275843117295e-08,3.646594803896619e-09
1913,2.0681659052002033e-08,5.302989602995467e-09
1914,1.875088173619588e-08,2.0090231700464756e-09
1915,2.709575319670421e-08,9.424609537234119e-09
1916,1.3184954461564757e-08,7.69122365795738e-09
1917,8.773139548168274e-09,6.57985488317081e-09
1918,1.722956355365568e-08,2.2972752589112133e-09
1919,1.4732557396257562e-08,1.012863304339362e-08
1920,1.2872794385998532e-08,7.572231730534895e-10
1921,2.196096815509918e-08,3.0290989716519334e-09
1922,1.1066902949607993e-08,4.426761179843197e-09
1923,1.5923921736771263e-08,3.1847844361720945e-09
1924,3.351822286390416e-08,0.0
1925,9.898360353588487e-09,3.299453377181294e-09
1926,1.0031524944054127e-08,3.343841648018042e-09
1927,2.2298449309232637e-08,1.1149224876660924e-09
1928,1.1426041446327417e-08,1.1426041224282812e-09
1929,2.33948540540041e-08,3.342121912552898e-09
1930,2.3107928015519974e-08,0.0
1931,1.3686427990933225e-08,9.124285327288817e-09
1932,4.383814644626227e-09,2.1919073223131136e-09
1933,1.8353059516584835e-08,4.588264879146209e-09
1934,1.0783422155213884e-08,5.990790086229936e-09
1935,1.196828414151696e-08,0.0
1936,2.0612015205756506e-08,2.424942913137329e-09
1937,7.554670666820584e-09,1.2591118148108649e-09
1938,1.1668692678767911e-08,3.8895642262559704e-09
1939,0.0,1.5294050470515685e-09
1940,2.5357829169792012e-09,0.0
