year,vos_DET âges_NOUN,vos_DET mages_NOUN
1800,4.4018303668735825e-08,9.432493897065797e-09
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.1702034896643454e-08,0.0
1804,9.887403562558461e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,4.27043254092041e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.4849335034105025e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,1.5568734301751874e-08
1818,2.741870730460505e-08,2.384235475716423e-09
1819,3.415846561161118e-08,3.519356894798875e-08
1820,9.374520004712394e-08,2.3732962262101864e-09
1821,1.1833785507064931e-08,6.903041693817613e-09
1822,4.6117833107928163e-08,0.0
1823,3.9530747564242574e-09,4.941343556552624e-09
1824,1.6842225392110777e-09,1.6842225392110777e-09
1825,6.163809906922779e-09,0.0
1826,5.284790383086602e-09,4.403992281964975e-09
1827,1.8434546111834038e-09,1.8434546111834038e-09
1828,1.834460228167245e-08,4.586150570418113e-09
1829,8.573175946935407e-09,1.0287811491593857e-08
1830,0.0,1.3567886369969528e-08
1831,1.5591206548037917e-08,3.1182412207897414e-09
1832,2.976593194148336e-08,4.058990921151917e-09
1833,9.266902800675325e-09,1.1583628500844156e-09
1834,3.733812370398937e-09,1.8669061851994684e-09
1835,7.563087933704082e-09,7.563087933704082e-10
1836,3.36037508930076e-09,7.392825185359442e-09
1837,3.478945576063097e-09,2.7831563720326358e-09
1838,3.787297142565649e-09,2.5248647617104325e-09
1839,1.3982949909063791e-08,6.9914751765765e-10
1840,7.64362617644565e-09,6.369688665408546e-10
1841,3.852329122366882e-09,0.0
1842,8.720745015011744e-09,6.708265054555795e-10
1843,1.9492807368237663e-08,5.906911071384968e-10
1844,7.135129875823765e-09,5.488561161115513e-09
1845,7.254296274794569e-09,0.0
1846,4.0981511517657054e-09,0.0
1847,6.310071398729633e-08,2.1572894581822766e-09
1848,1.448139919091318e-08,8.045221711050488e-10
1849,8.379414939696517e-10,0.0
1850,2.5798184921654865e-08,6.788996032014438e-10
1851,5.159551008659946e-09,4.514607354622058e-09
1852,3.1250618093281446e-08,6.510545436100301e-10
1853,1.2541057081705276e-08,1.1943863675867306e-09
1854,1.714569253241649e-08,4.1565315633818045e-09
1855,1.539011762474729e-08,2.1227748447927297e-09
1856,1.9155599773057475e-08,5.177189232874468e-10
1857,7.322263739784063e-09,1.9526036898476207e-09
1858,2.300027723833864e-08,4.893676019968041e-10
1859,8.147477359443656e-09,0.0
1860,3.204028820036342e-09,4.577183909670879e-10
1861,1.2733101534267988e-07,4.715963730639317e-10
1862,1.400575744270327e-08,8.584174315817705e-09
