year,trop_ADV aux_ADP,trop_ADV beaux_ADJ
1800,4.62192190298083e-07,9.432493897065797e-09
1801,4.667117821099964e-07,2.8574191901498125e-08
1802,3.8043282302169246e-07,1.5664880947952042e-08
1803,4.1542224948898365e-07,2.5354410126965377e-08
1804,5.092012997920392e-07,7.168367943677367e-08
1805,4.918178433399589e-07,2.842877755426798e-08
1806,4.5242205715112505e-07,8.933174200365102e-08
1807,3.188589801084163e-07,7.686778502602465e-08
1808,3.08186059783111e-07,4.5321478125970316e-08
1809,4.6536027298316185e-07,5.1957702140725814e-08
1810,4.1888267787726363e-07,3.978215445954447e-08
1811,3.735544282790215e-07,1.6295999216708879e-07
1812,3.8941240632084373e-07,2.400487453257938e-08
1813,3.163315795973176e-07,2.300593315851529e-08
1814,4.0277467405758216e-07,3.776012391654149e-08
1815,3.3985017466875433e-07,1.6183340889597275e-08
1816,4.1485108681627025e-07,1.8540831092650478e-08
1817,4.2035583192046033e-07,4.826307531402563e-08
1818,3.8028557014513353e-07,6.556647491606782e-08
1819,2.7637304356176173e-07,2.794783426907088e-08
1820,3.8328732898662565e-07,3.322614716694261e-08
1821,4.605315098160645e-07,3.944595405869222e-08
1822,3.7796570495629567e-07,1.0627152846609533e-07
1823,4.78322021990607e-07,3.063632902922109e-08
1824,3.7221317938929133e-07,7.663212642228245e-08
1825,4.0945309365270077e-07,7.484626252107773e-08
1826,2.809746888488007e-07,5.108631029315802e-08
1827,3.5117810170959274e-07,2.2121454890111636e-08
1828,2.6874843683799554e-07,2.109629271274116e-08
1829,3.5321485825079435e-07,4.9724420136953995e-08
1830,2.6613932391228445e-07,4.5922078584226256e-08
1831,1.933309619062129e-07,8.575163690238696e-08
1832,3.6395618963069865e-07,5.0060886991332154e-08
1833,2.8264054208193556e-07,5.560141858040879e-08
1834,3.0897297165211057e-07,4.480574844478724e-08
1835,3.766417648876086e-07,6.201732105637348e-08
1836,3.6157635463496263e-07,6.98957975941994e-08
1837,3.4024085948658467e-07,5.6358917532861597e-08
1838,4.134465996230574e-07,6.249040040984255e-08
1839,3.341925207678287e-07,4.334714631681891e-08
1840,2.8854688594037725e-07,7.134051571711097e-08
1841,3.2423770335299196e-07,7.640452537316378e-08
1842,3.622463111696561e-07,5.9032732480091e-08
1843,3.721353891705803e-07,6.73387887673016e-08
1844,2.8979604849155294e-07,4.720162749549672e-08
1845,2.5836456529759744e-07,4.408380149811819e-08
1846,2.8921235184498073e-07,3.8054259077213715e-08
1847,3.5918870366913325e-07,5.285358994910894e-08
1848,2.831918095580477e-07,4.263967667839097e-08
1849,2.664654061845795e-07,1.6758828991214614e-08
1850,2.566240482337889e-07,6.449546141595874e-08
1851,4.0373487308897893e-07,3.289213879043018e-08
