year,beaucoup_ADV aux_ADP
1800,2.024841933234711e-06
1801,2.076391183436499e-06
1802,2.1796563487441745e-06
1803,2.96061489279964e-06
1804,2.0466925434448058e-06
1805,1.972957079487969e-06
1806,1.8471498606231762e-06
1807,1.5373557289422024e-06
1808,1.8377860442342353e-06
1809,2.1844825823791325e-06
1810,1.3783346730633639e-06
1811,1.6095432329166215e-06
1812,1.6483346598761273e-06
1813,1.6276698033834691e-06
1814,1.658298856455076e-06
1815,1.9635788248706376e-06
1816,2.0116801806580042e-06
1817,2.075312295346521e-06
1818,1.7953293536265846e-06
1819,1.4325853499030927e-06
1820,1.55806901602773e-06
1821,1.2376167433103547e-06
1822,1.6672598803779692e-06
1823,1.380611365675577e-06
1824,1.4753788946109125e-06
1825,1.6510206251041382e-06
1826,1.3687607633983134e-06
1827,1.5383628806375782e-06
1828,1.370341806250508e-06
1829,1.9221060938434675e-06
1830,1.5122975582926301e-06
1831,1.3657896715812967e-06
1832,1.3651739436681964e-06
1833,1.6414001038356218e-06
1834,1.7548918549437076e-06
1835,1.4702643511554925e-06
1836,1.420094463355781e-06
1837,1.436108732377761e-06
1838,1.4921951105861808e-06
1839,1.365435082334443e-06
1840,1.2866771612607408e-06
1841,1.4452655250352109e-06
1842,1.3483612519848975e-06
1843,1.2581720056914492e-06
1844,1.2782859357685084e-06
1845,1.3186078149374225e-06
1846,1.229445274475438e-06
1847,1.0721728358475957e-06
1848,9.694491609479883e-07
1849,1.0465889772603987e-06
1850,9.742209385876777e-07
1851,1.090600108000217e-06
1852,1.1230690688535105e-06
1853,1.275604631700844e-06
1854,1.1669462764984928e-06
1855,1.2317401569816866e-06
1856,1.0116227713297121e-06
1857,1.2071972150806687e-06
1858,1.0883535424000002e-06
1859,9.761696446730639e-07
1860,1.2811537999368738e-06
1861,1.0294949106537388e-06
1862,1.1624778153418447e-06
1863,1.000921997729165e-06
1864,9.877139746095054e-07
1865,1.0388005193817662e-06
1866,1.0139937103303964e-06
1867,1.1452634680608753e-06
1868,9.9736053016386e-07
1869,1.0943966799459304e-06
1870,1.146809722740727e-06
1871,1.0366269407313666e-06
1872,1.0401423651273944e-06
1873,1.0074445526697673e-06
1874,1.116056978389679e-06
1875,1.0687812164178467e-06
1876,1.1360461940057576e-06
1877,1.1089374538642005e-06
1878,1.0671069503587205e-06
1879,1.0520258229007595e-06
1880,9.081252301257337e-07
1881,9.719675517771975e-07
1882,9.038013217832486e-07
1883,9.510604854767735e-07
1884,9.592265541868983e-07
1885,9.507312483947317e-07
1886,8.725083375793474e-07
1887,9.388593866788142e-07
1888,9.174869433081767e-07
1889,9.028062208926713e-07
1890,9.798807241168106e-07
1891,8.943030707087019e-07
1892,9.16456485811068e-07
1893,9.520912271909765e-07
1894,9.660259365773527e-07
1895,8.690879553796549e-07
1896,8.963484106061514e-07
1897,9.101326554628031e-07
1898,9.030734418047359e-07
1899,9.092866548598977e-07
1900,8.425079158769222e-07
1901,8.785497698227118e-07
1902,7.81717176323582e-07
1903,8.705155210009252e-07
1904,8.115683840514976e-07
1905,9.12938276087516e-07
1906,8.616509035164199e-07
1907,8.4239775333117e-07
1908,8.575285050937964e-07
1909,8.223970553444815e-07
1910,7.989505093064508e-07
1911,7.751785346954421e-07
1912,8.621591973678733e-07
1913,7.768879868308431e-07
1914,7.84188671332231e-07
1915,7.292291570593079e-07
1916,7.669248702768527e-07
1917,6.590821044483164e-07
1918,6.122238573880168e-07
1919,7.854294494791247e-07
1920,6.678708359686425e-07
1921,7.315273933272692e-07
1922,8.012438001969713e-07
1923,7.378084205811319e-07
1924,7.283767899934901e-07
1925,8.336618861903844e-07
1926,8.125534805003554e-07
1927,8.373067998945771e-07
1928,8.455270403828763e-07
1929,9.023729035106953e-07
1930,8.938566793403879e-07
1931,7.938128305795544e-07
1932,7.573040079478233e-07
1933,8.820939001452643e-07
1934,8.578811616644089e-07
1935,8.258115826720314e-07
1936,8.535798770026304e-07
1937,6.874750511087768e-07
1938,7.623546025570249e-07
1939,6.499971618723066e-07
1940,6.998760682108696e-07
1941,6.84748613366537e-07
1942,7.585529147036141e-07
1943,8.883899909051252e-07
1944,8.739866643736605e-07
1945,8.605090897617629e-07
1946,7.308579483833455e-07
1947,7.820091241228511e-07
1948,8.208275517063157e-07
1949,7.608181249452173e-07
1950,8.114780598589277e-07
1951,7.814807645445399e-07
1952,8.130043624987593e-07
1953,7.703286541982379e-07
1954,7.241449111461407e-07
1955,7.226918228298018e-07
1956,7.090288249855803e-07
1957,7.227060905279359e-07
1958,7.478108159375552e-07
1959,8.169288321369095e-07
1960,7.495262366319366e-07
1961,8.282206067633524e-07
1962,7.768896352899901e-07
1963,8.535190545444493e-07
1964,8.061257972258318e-07
1965,8.158816626746557e-07
1966,8.923449286157847e-07
1967,7.863885116421443e-07
1968,8.574112939641054e-07
1969,8.193330813810462e-07
1970,7.468329386028927e-07
1971,7.805225550328032e-07
1972,7.710610816502594e-07
1973,7.889394737503608e-07
1974,7.99956296759774e-07
1975,7.836150643925066e-07
1976,8.296041187350056e-07
1977,8.015930461624521e-07
1978,7.598016509291483e-07
1979,7.736308589301188e-07
1980,8.544781735508877e-07
1981,8.596421707807167e-07
1982,8.796030783742026e-07
1983,8.475154231746274e-07
1984,8.721708582015708e-07
1985,8.481936788484745e-07
1986,8.452224733446201e-07
1987,8.597919531894149e-07
1988,9.054796237251139e-07
1989,8.588910986873088e-07
1990,8.897646921468549e-07
1991,9.079409437617869e-07
1992,9.769131565917633e-07
1993,9.128613669417973e-07
1994,9.6531152848911e-07
1995,9.944774319592398e-07
1996,1.0313193570254953e-06
1997,1.0160381407331442e-06
1998,9.717447255752631e-07
1999,9.949327477443148e-07
2000,9.918480827764142e-07
2001,9.68685981206363e-07
2002,1.018633952298842e-06
2003,9.688095587989665e-07
2004,9.576016282153432e-07
2005,1.0097406857312308e-06
2006,1.0022944252341404e-06
2007,9.722563163450104e-07
2008,9.945379133569077e-07
2009,9.426716474081331e-07
2010,8.819321806186053e-07
2011,8.324786904267967e-07
2012,8.61275964325614e-07
2013,8.010367196220614e-07
2014,8.440905503448448e-07
2015,8.349839504262491e-07
2016,8.194220981749822e-07
2017,7.177039265116036e-07
2018,7.894125246821204e-07
2019,8.548360028726165e-07
