year,trop_ADV banal_ADJ
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,2.2743021688143017e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,3.113746815941454e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,3.5599443393152796e-09
1821,1.0847637454958203e-08
1822,1.604098542884458e-08
1823,6.917880934764753e-09
1824,4.210556348027694e-09
1825,0.0
1826,6.1655889282974385e-09
1827,1.8434546111834038e-09
1828,8.255071293206129e-09
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,1.091384405071949e-08
1832,1.7588959622116818e-08
1833,1.6217079235048004e-08
1834,8.401078055442213e-09
1835,2.2689263801112247e-09
1836,4.032449929525228e-09
1837,1.0436836284100082e-08
1838,1.2624323808552163e-09
1839,9.788065469251706e-09
1840,6.369688665408546e-10
1841,3.852329122366882e-09
1842,1.341653010911159e-09
1843,2.3627644285539873e-09
1844,4.390849017710252e-09
1845,2.2320911785556063e-09
1846,8.196302303531411e-09
1847,2.1572894581822766e-09
1848,1.6090443422100975e-09
1849,3.3517659758786067e-09
1850,1.3577992064028876e-09
1851,9.029214709244116e-09
1852,3.906327261660181e-09
1853,2.9859659189668264e-09
1854,2.0782657816909023e-09
1855,1.5920811335945473e-09
1856,1.0354378465748937e-09
1857,5.857811125054013e-09
1858,6.361778659424999e-09
1859,4.582956236731661e-09
1860,2.288591982591015e-09
1861,1.3676294763342867e-08
1862,4.9697850279528666e-09
1863,7.991393324857654e-09
1864,7.671564716815737e-09
1865,6.589582213223366e-09
1866,2.092213513549268e-08
1867,6.308654931785895e-09
1868,5.9278488784286765e-09
1869,3.906815315701806e-09
1870,4.587239033071455e-09
1871,1.6993883633631413e-08
1872,8.4662747923403e-09
1873,1.1373408881354408e-08
1874,1.1351757756017378e-08
1875,1.1443054503956773e-08
1876,2.7207066821688386e-08
1877,2.535774612510977e-08
1878,1.4493812816596119e-08
1879,1.0996785704264767e-08
1880,1.6686399817444908e-08
1881,1.9523021421719022e-08
1882,1.7969540522244642e-08
1883,1.2638677659992936e-08
1884,3.8289840631478e-08
1885,1.6758653131887513e-08
1886,1.2906927970846027e-08
1887,1.697520346510828e-08
1888,1.3949351895803375e-08
1889,3.759081934617825e-08
1890,2.1629475099871343e-08
1891,2.2309770031370135e-08
1892,3.2596265242545996e-08
1893,2.6481190573690583e-08
1894,2.6466464575491955e-08
1895,3.5509824414248214e-08
1896,3.4792471126365854e-08
1897,2.3889525024856084e-08
1898,3.1120951149432585e-08
1899,3.758753308602536e-08
1900,2.4397950326715545e-08
1901,4.191554126009578e-08
1902,2.553347577816112e-08
1903,4.3201762167655033e-08
1904,2.5260739278110123e-08
1905,4.6446832158153484e-08
1906,4.83553357355504e-08
1907,3.1371342856800766e-08
1908,3.3397444809679655e-08
1909,5.611003217609323e-08
1910,4.5959694716657395e-08
1911,3.5646507967612706e-08
1912,3.229841283314272e-08
1913,5.568139371803227e-08
1914,3.8841115213017474e-08
1915,2.238344798399794e-08
1916,7.69122365795738e-09
1917,5.04455535121906e-08
1918,4.2499593178035866e-08
1919,5.340552178267899e-08
1920,3.8618381381638756e-08
1921,4.392193631019836e-08
1922,3.6889677090812256e-08
1923,4.0340601970001444e-08
1924,4.898817351772777e-08
1925,3.739380360912037e-08
1926,3.6782257240020044e-08
1927,4.4596898618465275e-08
1928,4.4561559775502246e-08
1929,5.124586976990031e-08
1930,3.151081173768944e-08
1931,5.360517718600022e-08
1932,3.06867029564728e-08
1933,5.6206243215228824e-08
1934,6.11060571031885e-08
1935,3.8298509252854274e-08
1936,3.8799085722018845e-08
1937,3.1477796369472344e-08
1938,3.5006079368571363e-08
1939,3.211750509990452e-08
1940,3.296517903095264e-08
1941,3.836953510472085e-08
1942,4.5513175450651033e-08
1943,2.0322646676618206e-08
1944,3.213186161588055e-08
1945,3.703456741277478e-08
1946,5.4292308426795444e-08
1947,2.9802176726434482e-08
1948,4.5661929126694645e-08
1949,2.9451024508020396e-08
1950,4.360498029321036e-08
1951,3.838104589704017e-08
