year,beaucoup_ADV eu_VERB,beaucoup_ADV bu_VERB
1800,9.432493897065797e-09,1.8864987794131594e-08
1801,1.904946067554647e-08,3.333655484993869e-08
1802,1.5664880947952042e-08,4.923248297927785e-08
1803,1.950339267864365e-08,6.631153581793114e-08
1804,1.730295728918918e-08,6.179627121127851e-08
1805,1.7057265822018053e-08,5.685755510853596e-08
1806,8.645007376628655e-09,5.4751712497136396e-08
1807,1.4234775136401367e-08,3.9857372513552036e-08
1808,1.8128591960930862e-08,3.3991110370834576e-08
1809,9.036122072814123e-09,9.036122072814123e-09
1810,1.8721014072298203e-08,4.212228077449254e-08
1811,5.0141535368197765e-09,1.2535383575595915e-07
1812,1.3336041604361526e-08,1.0668832928217853e-08
1813,8.627225156487839e-09,4.888760685162197e-08
1814,6.293354282149721e-09,1.5733386149463513e-08
1815,1.6183340889597275e-08,7.552225866902518e-08
1816,1.3905623319487859e-08,4.8669683394564345e-08
1817,2.1796227045456362e-08,5.293369653713853e-08
1818,2.384235386898581e-08,4.053200441944682e-08
1819,1.449147024601416e-08,3.001804671498576e-08
1820,1.898636980968149e-08,2.8479554714522237e-08
1821,1.1833785507064931e-08,6.212737702071536e-08
1822,2.3058916553964082e-08,3.107940926838637e-08
1823,1.680056804787e-08,4.15072847204101e-08
1824,5.894778887238772e-09,3.2000230021367315e-08
1825,2.8177417732422327e-08,3.874394849390228e-08
1826,9.688783109140786e-09,3.435113882233054e-08
1827,6.452091305675367e-09,2.949527377893446e-08
1828,5.503380862137419e-09,4.953042775923677e-08
1829,1.2002446148073886e-08,4.200856196234781e-08
1830,1.1480519646056564e-08,4.174734158368665e-08
1831,1.5591206548037917e-08,2.8064171431196883e-08
1832,2.4353944638733083e-08,2.1647950987357945e-08
1833,1.3900354645102198e-08,3.1275796175123105e-08
1834,5.600718555598405e-09,3.547121707470069e-08
1835,2.0420337421001022e-08,5.899208588289184e-08
1836,1.4113575197427508e-08,5.107770206791429e-08
1837,1.8090515752078318e-08,4.87052354003481e-08
1838,2.840472923537618e-08,3.5348108440302894e-08
1839,7.690622361167243e-09,1.8177836125232716e-08
1840,1.6561189752906103e-08,3.694419348221345e-08
1841,1.219904177673925e-08,2.8250413564023802e-08
1842,1.2745703159566801e-08,1.1404051036834062e-08
1843,2.9534556134080958e-08,2.7171790151214736e-08
1844,1.2623690537338916e-08,3.1284798751585186e-08
1845,1.674068350610014e-08,2.3436957263811564e-08
1846,1.8734404250153602e-08,4.4494210982293225e-08
1847,1.5101026207275936e-08,2.9662729161827883e-08
1848,1.448139919091318e-08,3.298540818263973e-08
1849,7.54147322368226e-09,4.692472543865733e-08
1850,1.9009188889640427e-08,2.5798184921654865e-08
1851,9.674158363282004e-09,1.6123596680017727e-08
1852,1.1067927019325907e-08,1.4323200403509873e-08
1853,6.569124799682413e-09,2.508211416341055e-08
1854,1.2989160858012383e-08,2.7017454939937124e-08
1855,2.7065379271107304e-08,3.714855978387277e-08
1856,1.0354378687793542e-08,3.468716869292621e-08
1857,1.5620829074691756e-08,4.149282872845106e-08
1858,1.2723557318849998e-08,3.425573069648635e-08
1859,4.582956236731661e-09,1.9859475841599306e-08
1860,1.0985241161165504e-08,3.158256944857385e-08
1861,1.5091083938045813e-08,1.6034276129062164e-08
1862,1.536115412648087e-08,4.021007882215599e-08
1863,1.1487627737949424e-08,2.3974180862751382e-08
1864,1.726102105692462e-08,3.7398876884253696e-08
1865,1.0825742080555756e-08,2.165148416111151e-08
1866,1.751620715140234e-08,4.281739407474561e-08
1867,1.3102591012170706e-08,4.0278337110066786e-08
1868,1.3831646938911035e-08,3.309715523869272e-08
1869,1.4162205630441349e-08,2.8324411260882698e-08
1870,9.17447806614291e-09,2.6376625328339287e-08
1871,7.434824311758348e-09,2.442870794538976e-08
1872,2.237515595027162e-08,4.354084381930079e-08
1873,9.577607151811662e-09,2.0352414864532875e-08
1874,1.1949218503559678e-08,2.3300975371398636e-08
1875,8.010138330405425e-09,2.460256709468922e-08
1876,1.0882827083946722e-08,2.478866001354163e-08
